Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,class
96,40,68,121,49,8,134,50,18,142,163,261,135,76,7,5,185,186,1
88,41,84,141,60,9,148,45,19,145,172,325,162,72,4,17,188,199,1
90,39,63,117,51,7,135,51,18,144,155,260,151,76,12,8,185,191,1
90,47,81,147,61,9,150,45,19,154,169,329,199,70,11,5,185,196,1
92,35,58,129,56,6,121,55,17,131,139,215,117,64,6,14,197,198,1
92,47,84,133,54,10,157,44,19,153,172,353,168,74,8,9,184,195,1
98,38,66,127,49,7,131,51,18,142,163,260,125,74,3,6,187,189,1
90,43,71,157,65,8,137,48,18,146,160,282,171,65,8,3,194,202,1
95,48,82,134,55,11,157,43,20,160,172,362,182,74,6,9,182,191,1
92,49,80,138,56,11,160,43,20,162,172,366,185,76,6,11,182,191,1
87,45,66,144,58,9,140,48,18,143,168,286,175,71,6,9,191,200,1
89,48,78,146,60,11,160,43,20,161,170,366,185,74,6,9,184,193,1
89,49,82,135,55,11,159,43,20,162,175,368,184,77,1,7,182,193,1
95,49,83,137,56,11,158,43,20,162,174,366,186,75,6,8,183,192,1
89,42,85,140,55,10,152,44,19,151,173,347,162,74,12,13,185,197,1
86,37,60,121,54,6,119,56,17,131,140,209,129,68,3,10,190,192,1
91,49,76,137,56,10,159,43,20,162,172,367,185,75,6,6,183,191,1
94,44,85,139,56,11,159,43,20,157,174,363,176,75,6,10,184,194,1
93,47,80,143,61,11,159,43,20,156,169,365,185,75,9,7,185,191,1
94,47,80,138,58,10,158,44,20,162,172,359,184,76,8,9,184,191,1
88,36,64,129,56,6,116,57,17,130,138,205,120,66,6,22,195,203,1
93,41,82,163,63,9,145,45,19,140,165,314,130,63,6,3,199,206,1
85,45,81,151,62,9,147,45,19,150,170,324,179,71,1,6,188,198,1
89,34,65,147,59,8,128,52,18,129,148,245,113,66,4,6,198,205,1
88,35,63,147,61,8,129,50,18,129,152,251,114,63,2,6,197,207,1
86,39,62,137,59,6,116,55,17,134,140,210,141,61,7,9,200,207,1
88,40,60,137,57,6,118,56,17,134,142,210,153,64,9,8,198,202,1
86,43,68,152,64,9,138,48,18,146,161,284,165,69,3,2,193,202,1
89,42,64,134,58,6,123,55,17,139,148,227,153,69,12,3,187,196,1
90,47,85,145,59,9,155,43,19,155,176,355,186,74,1,5,186,196,1
