Attr0,Attr1,Attr2,Attr3,Attr4,Attr6,Attr7,Attr9,Attr10,Attr11,Attr12,class
0,0,0,-3.653,0.373,1.705,-0.222,-0.353,0.537,-0.797,-0.813,1
0,0,0,-3.665,0.337,1.791,-0.194,-0.359,0.57,-0.676,-0.841,1
0,0,0,-3.624,0.305,1.758,-0.194,-0.273,0.561,-0.577,-0.843,1
0,0,0,-3.593,0.29,1.707,-0.175,-0.137,0.493,-0.492,-0.926,1
0,0,0,-3.604,0.235,1.786,-0.153,-0.096,0.488,-0.524,-1.003,1
0,1,0,-4.102,0.209,0.423,0.985,0.663,0.036,-0.784,-0.668,1
0,1,0,-4.275,0.162,0.662,0.94,0.711,0.073,-0.827,-0.655,1
0,1,0,-4.473,0.373,0.919,0.778,0.653,-0.216,-0.891,-0.627,1
0,1,0,-4.477,0.246,1.108,0.682,0.424,-0.264,-1.195,-0.52,1
0,1,0,-4.314,-0.106,1.192,0.687,0.158,-0.193,-1.342,-0.447,1
0,1,0,-4.158,-0.342,1.09,0.56,0.395,-0.328,-1.52,-0.498,1
0,2,0,-1.202,-0.253,0.809,-0.367,0.32,1.034,-1.385,-0.706,1
0,2,0,-1.298,-0.295,0.955,-0.278,0.285,0.915,-1.569,-0.562,1
0,2,0,-1.393,-0.305,1.1,-0.254,0.363,0.795,-1.521,-0.756,1
0,2,0,-1.417,-0.319,1.072,-0.221,0.43,0.923,-1.486,-0.698,1
0,2,0,-1.384,-0.321,0.937,-0.289,0.463,1.096,-1.436,-0.701,1
0,2,0,-1.215,-0.288,0.834,-0.379,0.503,1.337,-1.36,-0.682,1
0,3,0,-1.548,-0.4,0.244,-0.101,0.551,1.248,0.129,-0.456,1
0,3,0,-1.507,-0.457,0.256,-0.081,0.556,1.291,0.121,-0.456,1
0,3,0,-1.656,-0.496,0.363,-0.002,0.535,1.319,-0.012,-0.49,1
0,3,0,-1.823,-0.578,0.52,0.052,0.535,1.318,-0.115,-0.505,1
0,3,0,-1.953,-0.596,0.619,0.056,0.592,1.289,-0.163,-0.523,1
0,3,0,-2.058,-0.61,0.696,0.072,0.626,1.303,-0.192,-0.538,1
0,4,1,-3.034,-1.274,1.521,0.66,-0.361,-0.468,-0.74,0.517,1
0,4,1,-3.162,-1.137,1.44,0.688,-0.447,-0.518,-0.52,0.641,1
0,4,1,-3.39,-0.956,1.547,0.658,-0.65,-0.604,-0.295,0.616,1
0,4,1,-3.485,-0.86,1.501,0.578,-0.663,-0.602,-0.318,0.575,1
0,4,1,-3.689,-0.599,1.307,0.605,-0.752,-0.697,-0.355,0.702,1
0,4,1,-3.693,-0.568,1.236,0.612,-0.804,-0.763,-0.346,0.788,1
0,5,1,-3.322,-0.303,0.963,0.921,1.059,-1.079,-1.004,0.112,1
0,5,1,-3.268,-0.079,0.763,1.043,0.892,-1.293,-1.033,0.199,1
0,5,1,-3.347,-0.159,0.922,0.973,0.929,-1.211,-1.268,0.278,1
0,5,1,-3.594,-0.137,1.018,1.069,0.695,-0.982,-1.433,0.249,1
0,5,1,-3.781,-0.011,1.115,1.036,0.615,-1.082,-1.272,0.05,1
0,5,1,-3.858,0.115,1.17,0.975,0.585,-1.191,-1.172,-0.076,1
0,6,1,-3.208,-0.608,1.098,1.529,0.186,-0.947,-0.248,-0.059,1
0,6,1,-3.431,-0.5,1.173,1.59,0.162,-0.853,-0.364,0.084,1
0,6,1,-3.586,-0.38,1.307,1.587,0.18,-0.831,-0.471,0.198,1
0,6,1,-3.76,-0.32,1.273,1.751,0.23,-0.723,-0.501,0.315,1
0,6,1,-4.247,-0.034,1.372,1.831,0.087,-0.518,-0.316,0.347,1
0,6,1,-4.687,0.406,1.464,1.618,-0.121,-0.398,-0.307,0.293,1
0,7,1,-5.058,2.236,1.885,-0.259,-0.562,0.123,-0.063,0.663,1
0,7,1,-5.124,2.319,1.804,-0.277,-0.746,0.221,0.06,0.46,1
0,7,1,-5.131,2.192,1.936,-0.591,-0.677,0.15,0.178,0.38,1
0,7,1,-5.125,2.077,2.003,-0.734,-0.557,0.055,0.295,0.269,1
0,7,1,-5.143,2.051,1.898,-0.555,-0.842,0.011,0.461,0.193,1
0,7,1,-5.105,1.968,1.719,-0.443,-0.969,-0.173,0.551,0.176,1
1,8,0,-1.149,-0.904,0.739,-0.06,0.864,1.196,-0.3,-0.467,1
1,8,0,-1.093,-0.922,0.844,0.009,0.891,1.453,-0.089,-0.4,1
1,8,0,-1.784,-1.074,1.324,0.289,0.924,1.307,-0.346,-0.521,1
1,8,0,-2.698,-1.027,1.796,0.392,0.866,0.781,-0.838,-0.663,1
1,8,0,-3.366,-0.826,1.643,0.603,0.524,0.293,-0.858,-0.668,1
1,8,0,-3.312,-0.776,1.39,0.86,0.222,0.314,-0.715,-0.765,1
1,9,0,-3.137,0.077,1.589,0.204,0.17,0.676,-1.033,-0.635,1
1,9,0,-3.019,0.058,1.497,0.171,0.178,0.847,-1.16,-0.548,1
1,9,0,-2.973,0.036,1.519,0.195,0.131,0.832,-1.157,-0.547,1
1,9,0,-3.0,0.042,1.529,0.187,0.104,0.759,-1.18,-0.634,1
