Attr0,Attr1,Attr2,Attr3,Attr4,Attr8,Attr9,class
28.0,31.0,868.0,0.733,0.899,647.0,26.0,0
178.0,471.0,81954.0,2.710837141775283,0.339,35499.0,1756.0,0
28.0,31.0,868.0,0.733,0.899,647.0,26.0,0
187.0,471.0,81954.0,2.711,0.339,35499.0,1756.0,0
28.0,31.0,868.0,2.711,0.8985433146037412,647.0,26.0,0
28.0,31.0,868.0,0.733,0.899,647.0,26.0,0
28.0,31.0,868.0,2.711,0.842104296680466,647.0,26.0,0
28.0,31.0,868.0,2.711,0.899,647.0,26.0,0
187.0,31.0,81954.0,0.733,0.899,35499.0,1756.0,0
28.0,31.0,868.0,0.733,0.899,647.0,26.0,0
28.0,31.0,868.0,0.733,0.899,647.0,26.0,0
28.0,31.0,868.0,0.733,0.899,647.0,26.0,0
28.0,31.0,868.0,2.711,0.6675319947996762,647.0,26.0,0
28.0,31.0,868.0,1.1909771362827877,0.4862097606253566,647.0,46.0,0
28.0,31.0,868.0,0.733019411095115,0.899,647.0,26.0,0
28.0,31.0,868.0,0.733,0.899,647.0,26.0,0
187.0,31.0,81954.0,0.733,0.899,35499.0,1756.0,0
187.0,31.0,81954.0,0.733,0.899,35499.0,1756.0,0
28.0,31.0,868.0,0.733,0.899,647.0,26.0,0
187.0,471.0,81954.0,2.711,0.339,35499.0,1756.0,0
28.0,31.0,868.0,2.1625692652172206,0.899,647.0,26.0,0
187.0,471.0,81954.0,2.711,0.339,35499.0,1756.0,0
28.0,31.0,868.0,0.733,0.899,647.0,26.0,0
28.0,31.0,868.0,0.7330015220046807,0.899,647.0,26.0,0
187.0,471.0,81954.0,2.711,0.339,35499.0,1756.0,0
28.0,31.0,868.0,0.733,0.899,647.0,26.0,0
187.0,471.0,81954.0,2.711,0.339,35499.0,1756.0,0
28.0,31.0,868.0,0.733,0.899,647.0,26.0,0
187.0,32.0,81954.0,0.733,0.899,35499.0,1488.0,0
28.0,31.0,868.0,0.733,0.899,647.0,26.0,0
187.0,31.0,81954.0,0.733,0.899,35499.0,1756.0,0
28.0,31.0,868.0,0.733,0.899,647.0,26.0,0
28.0,31.0,868.0,0.733,0.899,647.0,26.0,0
187.0,31.0,81954.0,0.733,0.899,35499.0,1756.0,0
28.0,31.0,868.0,0.733,0.899,647.0,26.0,0
128.0,137.0,22680.0,0.8703917577052158,0.7334479300145278,15491.0,59.0,0
187.0,31.0,81954.0,0.733,0.899,35499.0,1756.0,0
187.0,31.0,81954.0,0.733,0.899,35499.0,1756.0,0
