Attr0,Attr1,Attr2,Attr3,Attr4,Attr6,Attr7,Attr9,Attr10,Attr11,Attr12,class
0.0,0.0,0.0,-3.327,0.496,1.365,-0.265,-0.363,0.51,-0.621,-0.488,0
0.0,0.0,0.0,-2.12,0.894,0.147,-0.707,-0.579,0.676,-0.809,-0.049,0
0.0,0.0,0.0,-2.287,1.809,1.012,-1.053,-0.567,0.235,-0.091,-0.795,0
0.0,0.0,0.0,-2.598,1.938,1.062,-1.633,0.394,-0.15,0.277,-0.396,0
0.0,0.0,0.0,-2.852,1.914,0.825,-1.588,0.217,-0.246,0.238,-0.365,0
0.0,0.0,0.0,-3.482,2.524,1.048,-1.995,0.322,0.45,0.377,-0.366,0
0.0,0.0,0.0,-3.941,2.305,1.771,-1.815,-0.435,0.992,0.575,-0.301,0
0.0,0.0,0.0,-3.86,2.116,0.688,-0.675,-0.512,0.928,-0.167,-0.434,0
0.0,0.0,0.0,-3.648,1.812,1.578,0.065,-0.466,0.702,0.06,-0.836,0
0.0,0.0,0.0,-3.032,1.739,0.737,-0.834,-0.575,0.679,-0.018,-0.823,0
0.0,0.0,0.0,-3.653,0.373,1.705,-0.222,-0.353,0.537,-0.797,-0.813,1
0.0,0.0,0.0,-3.237,0.436,1.363,-0.251,-0.395,0.751,-0.774,-0.327,0
0.0,0.0,0.0,-2.135,0.954,0.121,-0.704,-0.628,0.713,-0.903,-0.027,0
0.0,0.0,0.0,-2.304,1.784,0.981,-0.961,-0.294,-0.002,0.119,-0.76,0
0.0,0.0,0.0,-2.54,2.144,0.933,-1.567,0.188,-0.047,0.309,-0.633,0
0.0,0.0,0.0,-2.826,2.003,0.801,-1.669,0.245,-0.257,0.256,-0.458,0
0.0,0.0,0.0,-3.582,2.374,1.162,-1.953,0.339,0.355,0.415,-0.259,0
0.0,0.0,0.0,-3.951,2.25,1.772,-1.906,-0.432,1.045,0.598,-0.293,0
0.0,0.0,0.0,-3.783,1.974,0.606,-0.65,-0.134,0.528,0.392,-0.58,0
0.0,0.0,0.0,-3.673,1.811,1.621,0.044,-0.453,0.745,-0.066,-0.733,0
0.0,0.0,0.0,-2.946,1.649,0.788,-0.909,-0.562,0.902,-0.07,-0.842,0
0.0,0.0,0.0,-3.665,0.337,1.791,-0.194,-0.359,0.57,-0.676,-0.841,1
0.0,0.0,0.0,-3.165,0.408,1.207,-0.298,-0.215,0.723,-0.492,-0.425,0
0.0,0.0,0.0,-2.105,1.035,0.231,-0.558,-0.649,0.71,-0.855,-0.151,0
0.0,0.0,0.0,-2.312,1.746,1.019,-0.99,-0.488,0.208,0.033,-0.847,0
0.0,0.0,0.0,-2.635,2.147,0.911,-1.407,-0.071,0.118,0.139,-0.685,0
0.0,0.0,0.0,-2.887,2.131,0.682,-1.557,0.448,-0.382,0.207,-0.402,0
0.0,0.0,0.0,-3.635,2.25,1.012,-1.693,0.665,0.281,0.343,-0.003,0
0.0,0.0,0.0,-3.986,2.325,1.633,-2.014,-0.344,1.003,0.566,-0.245,0
0.0,0.0,0.0,-3.712,1.816,0.647,-0.767,-0.347,0.92,0.159,-0.359,0
0.0,0.0,0.0,-3.74,1.832,1.587,0.049,-0.516,0.707,-0.169,-0.522,0
0.0,0.0,0.0,-2.859,1.627,0.769,-0.948,-0.608,0.956,-0.204,-0.727,0
0.0,0.0,0.0,-3.624,0.305,1.758,-0.194,-0.273,0.561,-0.577,-0.843,1
0.0,0.0,0.0,-3.062,0.351,1.061,-0.355,-0.21,0.796,-0.358,-0.299,0
0.0,0.0,0.0,-2.081,1.05,0.411,-0.518,-0.576,0.735,-0.866,-0.172,0
0.0,0.0,0.0,-2.289,1.845,0.987,-0.876,-0.549,0.196,-0.07,-0.814,0
0.0,0.0,0.0,-2.724,2.067,0.923,-1.157,-0.276,0.172,-0.008,-0.649,0
0.0,0.0,0.0,-3.015,2.232,0.574,-1.331,0.61,-0.452,0.035,-0.156,0
0.0,0.0,0.0,-3.559,2.126,1.053,-1.765,0.546,0.321,0.443,-0.118,0
0.0,0.0,0.0,-4.074,2.281,1.556,-1.613,0.222,0.252,0.775,0.125,0
0.0,0.0,0.0,-3.618,1.576,0.699,-0.741,-0.387,1.086,0.235,-0.388,0
0.0,0.0,0.0,-3.687,1.784,1.603,0.123,-0.225,0.441,0.206,-0.714,0
0.0,0.0,0.0,-2.69,1.652,0.674,-0.964,-0.593,1.005,-0.303,-0.541,0
0.0,0.0,0.0,-3.593,0.29,1.707,-0.175,-0.137,0.493,-0.492,-0.926,1
0.0,0.0,0.0,-3.046,0.387,0.94,-0.386,-0.186,0.811,-0.394,-0.198,0
0.0,0.0,0.0,-2.255,0.902,0.454,-0.524,-0.614,0.761,-0.885,-0.118,0
0.0,0.0,0.0,-2.299,1.848,1.065,-0.861,-0.607,0.313,-0.253,-0.759,0
0.0,0.0,0.0,-2.911,1.928,0.899,-0.911,-0.208,-0.047,-0.029,-0.539,0
0.0,0.0,0.0,-3.089,2.339,0.463,-1.169,0.598,-0.45,-0.08,-0.039,0
0.0,0.0,0.0,-3.459,2.086,0.937,-1.841,0.457,0.4,0.473,-0.211,0
0.0,0.0,0.0,-4.208,2.447,1.331,-2.088,-0.05,0.82,0.606,-0.302,0
0.0,0.0,0.0,-3.543,1.391,0.699,-0.769,-0.379,1.158,0.181,-0.178,0
0.0,0.0,0.0,-3.684,1.774,1.611,0.1,-0.193,0.554,0.245,-0.919,0
0.0,0.0,0.0,-2.596,1.56,0.656,-1.095,-0.55,1.006,-0.15,-0.553,0
0.0,0.0,0.0,-3.604,0.235,1.786,-0.153,-0.096,0.488,-0.524,-1.003,1
0.0,0.0,0.0,-3.171,0.49,0.911,-0.388,-0.212,0.707,-0.551,-0.187,0
0.0,0.0,0.0,-2.302,0.85,0.455,-0.488,-0.617,0.819,-0.887,-0.08,0
0.0,0.0,0.0,-2.368,1.727,1.162,-0.819,-0.572,0.345,-0.279,-0.736,0
0.0,0.0,0.0,-3.141,1.873,0.941,-0.759,-0.354,0.016,-0.218,-0.568,0
0.0,0.0,0.0,-3.065,2.372,0.496,-1.295,0.327,-0.404,0.067,-0.155,0
0.0,0.0,0.0,-3.473,2.178,0.706,-1.71,0.422,0.351,0.426,-0.267,0
0.0,0.0,0.0,-4.238,2.437,1.158,-2.127,0.12,0.823,0.565,-0.293,0
0.0,0.0,0.0,-3.546,1.258,0.823,-0.702,-0.397,1.333,-0.277,0.013,0
0.0,0.0,0.0,-3.869,1.86,1.612,0.044,-0.493,0.862,-0.106,-1.001,0
0.0,0.0,0.0,-2.666,1.516,0.741,-1.066,-0.574,0.965,-0.13,-0.711,0
0.0,1.0,0.0,-4.102,0.209,0.423,0.985,0.663,0.036,-0.784,-0.668,1
0.0,1.0,0.0,-1.372,-0.03,-0.388,-0.471,0.654,0.823,0.558,0.043,0
0.0,1.0,0.0,-1.816,0.458,-0.341,0.085,0.144,0.462,-0.24,-0.266,0
0.0,1.0,0.0,-1.954,1.595,0.37,-0.136,0.034,0.321,-0.19,-0.491,0
0.0,1.0,0.0,-2.654,2.39,0.07,-1.063,-0.105,0.281,0.488,-0.382,0
0.0,1.0,0.0,-2.321,1.303,-0.085,-0.278,-0.094,-0.283,0.852,0.022,0
0.0,1.0,0.0,-3.141,3.314,-0.394,-0.19,0.137,0.631,0.547,-0.247,0
0.0,1.0,0.0,-3.941,3.353,-0.506,-1.12,0.297,0.711,-0.078,0.648,0
0.0,1.0,0.0,-4.161,2.937,0.336,-0.968,0.088,0.237,0.565,0.823,0
0.0,1.0,0.0,-4.52,2.231,0.513,-0.528,0.198,0.242,0.161,0.769,0
0.0,1.0,0.0,-3.088,1.389,-0.216,-0.329,0.045,-0.075,0.101,-0.134,0
0.0,1.0,0.0,-4.275,0.162,0.662,0.94,0.711,0.073,-0.827,-0.655,1
0.0,1.0,0.0,-1.657,0.056,-0.32,-0.316,0.638,0.8,0.298,-0.159,0
0.0,1.0,0.0,-1.709,0.486,-0.346,0.02,0.145,0.564,-0.229,-0.322,0
0.0,1.0,0.0,-1.952,1.469,0.105,-0.154,-0.047,0.336,-0.098,-0.41,0
0.0,1.0,0.0,-2.67,2.696,-0.028,-1.014,-0.137,0.448,0.285,-0.482,0
0.0,1.0,0.0,-2.441,1.415,-0.335,-0.187,-0.0,-0.175,0.792,-0.026,0
0.0,1.0,0.0,-3.146,3.076,-0.032,-0.693,-0.267,0.476,0.982,-0.352,0
0.0,1.0,0.0,-3.902,3.586,-0.669,-1.087,0.461,0.812,-0.185,0.535,0
0.0,1.0,0.0,-4.267,3.01,0.028,-0.827,0.099,0.326,0.34,0.696,0
0.0,1.0,0.0,-4.65,2.455,0.681,-0.8,0.126,0.036,0.382,0.278,0
0.0,1.0,0.0,-3.03,1.185,-0.121,-0.591,0.353,-0.137,-0.221,0.075,0
0.0,1.0,0.0,-4.473,0.373,0.919,0.778,0.653,-0.216,-0.891,-0.627,1
0.0,1.0,0.0,-1.856,0.063,-0.238,-0.152,0.572,0.775,0.154,-0.31,0
0.0,1.0,0.0,-1.976,0.389,-0.25,-0.065,0.127,0.478,-0.323,-0.345,0
0.0,1.0,0.0,-1.914,1.473,-0.013,-0.213,0.005,0.229,-0.009,-0.445,0
0.0,1.0,0.0,-2.7,2.83,0.032,-0.958,-0.168,0.519,0.169,-0.525,0
0.0,1.0,0.0,-2.554,1.117,-0.022,-0.645,0.145,-0.327,0.66,0.073,0
0.0,1.0,0.0,-3.054,3.104,-0.085,-0.952,-0.269,0.459,0.892,-0.308,0
0.0,1.0,0.0,-3.84,3.745,-0.656,-1.066,0.734,0.875,-0.295,0.418,0
0.0,1.0,0.0,-4.323,2.853,0.209,-1.096,0.119,0.268,0.131,0.654,0
0.0,1.0,0.0,-4.676,2.537,0.73,-0.933,0.049,0.076,0.254,0.276,0
0.0,1.0,0.0,-2.922,1.516,-0.353,-0.464,0.383,-0.175,-0.346,-0.033,0
0.0,1.0,0.0,-4.477,0.246,1.108,0.682,0.424,-0.264,-1.195,-0.52,1
0.0,1.0,0.0,-1.895,-0.012,-0.152,-0.161,0.487,0.809,0.044,-0.264,0
0.0,1.0,0.0,-1.945,0.352,-0.228,-0.12,0.088,0.509,-0.279,-0.246,0
0.0,1.0,0.0,-1.912,1.554,-0.017,-0.118,-0.037,0.163,-0.027,-0.474,0
0.0,1.0,0.0,-2.724,2.998,-0.077,-0.944,-0.08,0.4,0.144,-0.63,0
0.0,1.0,0.0,-2.385,1.241,-0.04,-0.692,-0.061,-0.189,0.744,0.088,0
0.0,1.0,0.0,-3.092,3.014,-0.016,-0.956,-0.227,0.367,0.958,-0.092,0
0.0,1.0,0.0,-3.917,3.496,-0.531,-1.15,0.605,0.977,-0.328,0.447,0
0.0,1.0,0.0,-4.232,3.035,0.497,-1.374,0.133,0.232,0.129,0.487,0
0.0,1.0,0.0,-4.759,2.696,0.697,-0.787,0.205,-0.066,0.369,0.306,0
0.0,1.0,0.0,-2.945,1.724,-0.239,-0.447,0.014,-0.102,0.021,-0.564,0
0.0,1.0,0.0,-4.314,-0.106,1.192,0.687,0.158,-0.193,-1.342,-0.447,1
0.0,1.0,0.0,-2.05,0.065,-0.037,0.082,0.393,0.835,-0.029,-0.394,0
0.0,1.0,0.0,-1.804,0.431,-0.427,-0.094,0.084,0.636,-0.275,-0.214,0
0.0,1.0,0.0,-1.978,1.542,-0.096,-0.025,-0.063,0.097,-0.073,-0.381,0
0.0,1.0,0.0,-2.748,3.217,-0.213,-0.792,-0.032,0.223,0.043,-0.825,0
0.0,1.0,0.0,-2.351,1.53,-0.075,-0.426,-0.197,0.033,0.848,-0.038,0
0.0,1.0,0.0,-3.105,2.916,0.031,-0.897,-0.229,0.256,1.073,-0.065,0
0.0,1.0,0.0,-3.985,3.614,-0.42,-1.105,0.348,0.885,-0.165,0.65,0
0.0,1.0,0.0,-4.16,3.329,0.394,-1.287,0.483,0.121,0.286,0.153,0
0.0,1.0,0.0,-4.88,3.064,0.434,-0.575,0.25,0.085,0.093,0.445,0
0.0,1.0,0.0,-3.082,1.633,-0.147,-0.484,-0.086,-0.072,0.086,-0.564,0
0.0,1.0,0.0,-4.158,-0.342,1.09,0.56,0.395,-0.328,-1.52,-0.498,1
