Attr0,Attr1,Attr2,Attr3,class
4.9,3.0,1.4,0.2,1
4.6,3.1,1.5,0.2,1
5.0,3.6,1.4,0.2,1
5.4,3.9,1.7,0.4,1
4.6,3.4,1.4,0.3,1
5.0,3.4,1.5,0.2,1
4.4,2.9,1.4,0.2,1
5.4,3.7,1.5,0.2,1
4.8,3.4,1.6,0.2,1
4.8,3.0,1.4,0.1,1
4.3,3.0,1.1,0.1,1
5.7,4.4,1.5,0.4,1
5.4,3.9,1.3,0.4,1
5.1,3.5,1.4,0.3,1
5.7,3.8,1.7,0.3,1
5.1,3.8,1.5,0.3,1
5.4,3.4,1.7,0.2,1
5.1,3.7,1.5,0.4,1
4.6,3.6,1.0,0.2,1
5.1,3.3,1.7,0.5,1
4.8,3.4,1.9,0.2,1
5.0,3.0,1.6,0.2,1
5.0,3.4,1.6,0.4,1
5.2,3.5,1.5,0.2,1
5.2,3.4,1.4,0.2,1
4.7,3.2,1.6,0.2,1
4.8,3.1,1.6,0.2,1
5.4,3.4,1.5,0.4,1
5.2,4.1,1.5,0.1,1
5.5,4.2,1.4,0.2,1
4.9,3.1,1.5,0.1,1
5.0,3.2,1.2,0.2,1
5.5,3.5,1.3,0.2,1
4.9,3.1,1.5,0.1,1
4.4,3.0,1.3,0.2,1
5.1,3.4,1.5,0.2,1
5.0,3.5,1.3,0.3,1
4.5,2.3,1.3,0.3,1
5.1,3.8,1.9,0.4,1
4.8,3.0,1.4,0.3,1
5.1,3.8,1.6,0.2,1
4.6,3.2,1.4,0.2,1
5.3,3.7,1.5,0.2,1
5.0,3.3,1.4,0.2,1
4.7,3.2,1.3,0.2,1
4.9,3.1,1.5,0.1,1
5.8,4.0,1.2,0.2,1
4.4,3.2,1.3,0.2,1
5.0,3.5,1.6,0.6,1
6.5,2.8,4.6,1.5,0
6.6,2.9,4.6,1.3,0
6.8,2.8,4.8,1.4,0
6.0,2.9,4.5,1.5,0
6.0,3.4,4.5,1.6,0
7.0,3.2,4.7,1.4,0
6.4,3.2,4.5,1.5,0
6.9,3.1,4.9,1.5,0
5.5,2.3,4.0,1.3,0
5.7,2.8,4.5,1.3,0
6.3,3.3,4.7,1.6,0
4.9,2.4,3.3,1.0,0
5.2,2.7,3.9,1.4,0
5.0,2.0,3.5,1.0,0
5.9,3.0,4.2,1.5,0
6.0,2.2,4.0,1.0,0
6.1,2.9,4.7,1.4,0
5.6,2.9,3.6,1.3,0
6.7,3.1,4.4,1.4,0
5.6,3.0,4.5,1.5,0
5.8,2.7,4.1,1.0,0
6.2,2.2,4.5,1.5,0
5.6,2.5,3.9,1.1,0
5.9,3.2,4.8,1.8,0
6.1,2.8,4.0,1.3,0
6.3,2.5,4.9,1.5,0
6.1,2.8,4.7,1.2,0
6.4,2.9,4.3,1.3,0
6.6,3.0,4.4,1.4,0
6.7,3.0,5.0,1.7,0
5.7,2.6,3.5,1.0,0
5.5,2.4,3.8,1.1,0
5.5,2.4,3.7,1.0,0
5.8,2.7,3.9,1.2,0
6.0,2.7,5.1,1.6,0
5.4,3.0,4.5,1.5,0
6.7,3.1,4.7,1.5,0
6.3,2.3,4.4,1.3,0
5.6,3.0,4.1,1.3,0
5.5,2.5,4.0,1.3,0
5.5,2.6,4.4,1.2,0
6.1,3.0,4.6,1.4,0
5.8,2.6,4.0,1.2,0
5.0,2.3,3.3,1.0,0
5.6,2.7,4.2,1.3,0
5.7,3.0,4.2,1.2,0
5.7,2.9,4.2,1.3,0
6.2,2.9,4.3,1.3,0
5.1,2.5,3.0,1.1,0
5.7,2.8,4.1,1.3,0
6.3,3.3,6.0,2.5,0
5.8,2.7,5.1,1.9,0
7.1,3.0,5.9,2.1,0
6.3,2.9,5.6,1.8,0
6.5,3.0,5.8,2.2,0
7.6,3.0,6.6,2.1,0
4.9,2.5,4.5,1.7,0
7.3,2.9,6.3,1.8,0
6.7,2.5,5.8,1.8,0
7.2,3.6,6.1,2.5,0
6.5,3.2,5.1,2.0,0
6.4,2.7,5.3,1.9,0
6.8,3.0,5.5,2.1,0
5.7,2.5,5.0,2.0,0
5.8,2.8,5.1,2.4,0
6.4,3.2,5.3,2.3,0
7.7,3.8,6.7,2.2,0
5.6,2.8,4.9,2.0,0
7.7,2.8,6.7,2.0,0
6.3,2.7,4.9,1.8,0
6.7,3.3,5.7,2.1,0
7.2,3.2,6.0,1.8,0
6.1,3.0,4.9,1.8,0
6.4,2.8,5.6,2.1,0
7.2,3.0,5.8,1.6,0
7.4,2.8,6.1,1.9,0
7.9,3.8,6.4,2.0,0
6.4,2.8,5.6,2.2,0
6.3,2.8,5.1,1.5,0
6.1,2.6,5.6,1.4,0
7.7,3.0,6.1,2.3,0
6.3,3.4,5.6,2.4,0
6.4,3.1,5.5,1.8,0
6.0,3.0,4.8,1.8,0
6.9,3.1,5.4,2.1,0
6.7,3.1,5.6,2.4,0
6.9,3.1,5.1,2.3,0
5.8,2.7,5.1,1.9,0
6.8,3.2,5.9,2.3,0
6.7,3.3,5.7,2.5,0
6.7,3.0,5.2,2.3,0
6.3,2.5,5.0,1.9,0
6.5,3.0,5.2,2.0,0
6.2,3.4,5.4,2.3,0
5.9,3.0,5.1,1.8,0
6.5,3.0,5.5,1.8,0
7.7,2.6,6.9,2.3,0
6.0,2.2,5.0,1.5,0
6.9,3.2,5.7,2.3,0
6.2,2.8,4.8,1.8,0
4.81557251741612,3.49400415730813,1.5709315745420942,0.2917766678212338,1
4.8609779314792965,3.4622750949564476,1.3679647678147109,0.3308546733858836,1
4.974770806004403,3.223919938249334,1.3450489881388674,0.2334772560402856,1
4.918996807672658,3.081047571114544,1.388611008730892,0.1860463171328295,1
4.786094980073807,3.0919229357190887,1.464075880676474,0.1990808862955911,1
4.889279901628182,3.1229455722754835,1.4451333660600805,0.1997336002751865,1
4.972288969490147,3.3544344310078995,1.3554268999907484,0.203420927578305,1
4.942024051998322,3.3443233626223643,1.6013956306473252,0.1744915708049137,1
4.946783774427656,3.112704052573773,1.4920061779725178,0.1953738960361926,1
4.916494910313969,3.520384268108101,1.4519072039520218,0.2051757302739685,1
5.035663726093408,3.19037923526745,1.2739667064051052,0.1821614986005309,1
4.9566526473388475,3.208348746795508,1.3864770645228486,0.1993411466438112,1
4.937640130123487,3.1753871446316624,1.3445535051918005,0.2262911773702385,1
4.890305511310363,3.136781309690267,1.5575020711900245,0.2467825790692937,1
4.982585472951501,3.368244305403738,1.5000583664775722,0.1989299267034822,1
4.8569972034175946,3.3588840683330763,1.4721697260750044,0.1966133177823225,1
4.834959021633213,2.945752362454949,1.510444180637515,0.2718793067013961,1
4.8160220860024685,3.5706025504468135,1.5028466300247318,0.194144125221641,1
4.89565462572469,3.3049186727207434,1.3401154372789668,0.1478131974571633,1
4.897917199973324,3.1775404577151702,1.3087885396806298,0.1606627709832485,1
4.960051033728585,3.077496218020291,1.5142902051608618,0.195966356653723,1
4.920023820578628,3.566158890594371,1.4004958413407982,0.3087231258400848,1
4.8827412232430625,3.8014127961848367,1.291978223150303,0.1984556734999043,1
4.851325393123804,3.10661995304215,1.380006354229229,0.1998820473666024,1
