Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,class
60.0,1.0,19,5,125,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1
0.0,1.0,19,1,125,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,1
0.0,1.0,19,1,125,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.33,0.67,0.67,1
0.0,1.0,19,1,125,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.25,0.75,0.75,1
0.0,1.0,19,1,125,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.2,0.8,0.8,1
0.0,1.0,19,1,125,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.17,0.0,0.17,0.17,0.83,0.83,1
0.0,1.0,19,1,125,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.86,0.86,1
0.0,1.0,19,1,125,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.12,0.0,0.12,0.12,0.88,0.88,1
0.0,1.0,19,1,125,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.11,0.0,0.11,0.11,0.89,0.89,1
0.0,1.0,19,1,125,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.9,0.9,1
0.0,1.0,19,1,126,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.09,0.0,0.09,0.09,0.91,0.91,1
0.0,1.0,19,1,126,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.08,0.0,0.08,0.08,0.92,0.92,1
0.0,1.0,19,1,126,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.08,0.0,0.08,0.08,0.92,0.92,1
0.0,1.0,19,1,126,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.07,0.0,0.07,0.07,0.93,0.93,1
0.0,1.0,19,1,126,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.07,0.0,0.07,0.07,0.93,0.93,1
0.0,1.0,19,1,126,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.06,0.0,0.06,0.06,0.94,0.94,1
0.0,1.0,19,1,126,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.06,0.0,0.06,0.06,0.94,0.94,1
0.0,1.0,19,1,126,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.06,0.0,0.06,0.06,0.94,0.94,1
0.0,1.0,19,1,126,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.05,0.0,0.05,0.05,0.95,0.95,1
0.0,1.0,19,1,126,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.05,0.0,0.05,0.05,0.95,0.95,1
0.0,1.0,19,1,126,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.05,0.0,0.05,0.05,0.95,0.95,1
0.0,1.0,19,1,126,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.05,0.0,0.05,0.05,0.95,0.95,1
60.0,1.0,19,5,126,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.09,0.09,0.91,0.91,1
0.0,1.0,19,1,126,179,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.08,0.08,0.92,0.92,1
