Attr0,Attr1,Attr2,Attr3,class
4.9,3.0,1.4,0.2,1
4.6,3.1,1.5,0.2,1
5.0,3.6,1.4,0.2,1
5.4,3.9,1.7,0.4,1
4.6,3.4,1.4,0.3,1
5.0,3.4,1.5,0.2,1
4.4,2.9,1.4,0.2,1
5.4,3.7,1.5,0.2,1
4.8,3.4,1.6,0.2,1
4.8,3.0,1.4,0.1,1
4.3,3.0,1.1,0.1,1
5.7,4.4,1.5,0.4,1
5.4,3.9,1.3,0.4,1
5.1,3.5,1.4,0.3,1
5.7,3.8,1.7,0.3,1
5.1,3.8,1.5,0.3,1
5.4,3.4,1.7,0.2,1
5.1,3.7,1.5,0.4,1
4.6,3.6,1.0,0.2,1
5.1,3.3,1.7,0.5,1
4.8,3.4,1.9,0.2,1
5.0,3.0,1.6,0.2,1
5.0,3.4,1.6,0.4,1
5.2,3.5,1.5,0.2,1
5.2,3.4,1.4,0.2,1
4.7,3.2,1.6,0.2,1
4.8,3.1,1.6,0.2,1
5.4,3.4,1.5,0.4,1
5.2,4.1,1.5,0.1,1
5.5,4.2,1.4,0.2,1
4.9,3.1,1.5,0.1,1
5.0,3.2,1.2,0.2,1
5.5,3.5,1.3,0.2,1
4.9,3.1,1.5,0.1,1
4.4,3.0,1.3,0.2,1
5.1,3.4,1.5,0.2,1
5.0,3.5,1.3,0.3,1
4.5,2.3,1.3,0.3,1
5.1,3.8,1.9,0.4,1
4.8,3.0,1.4,0.3,1
5.1,3.8,1.6,0.2,1
4.6,3.2,1.4,0.2,1
5.3,3.7,1.5,0.2,1
5.0,3.3,1.4,0.2,1
4.7,3.2,1.3,0.2,1
4.9,3.1,1.5,0.1,1
5.8,4.0,1.2,0.2,1
4.4,3.2,1.3,0.2,1
5.0,3.5,1.6,0.6,1
6.5,2.8,4.6,1.5,0
6.6,2.9,4.6,1.3,0
6.8,2.8,4.8,1.4,0
6.0,2.9,4.5,1.5,0
6.0,3.4,4.5,1.6,0
7.0,3.2,4.7,1.4,0
6.4,3.2,4.5,1.5,0
6.9,3.1,4.9,1.5,0
5.5,2.3,4.0,1.3,0
5.7,2.8,4.5,1.3,0
6.3,3.3,4.7,1.6,0
4.9,2.4,3.3,1.0,0
5.2,2.7,3.9,1.4,0
5.0,2.0,3.5,1.0,0
5.9,3.0,4.2,1.5,0
6.0,2.2,4.0,1.0,0
6.1,2.9,4.7,1.4,0
5.6,2.9,3.6,1.3,0
6.7,3.1,4.4,1.4,0
5.6,3.0,4.5,1.5,0
5.8,2.7,4.1,1.0,0
6.2,2.2,4.5,1.5,0
5.6,2.5,3.9,1.1,0
5.9,3.2,4.8,1.8,0
6.1,2.8,4.0,1.3,0
6.3,2.5,4.9,1.5,0
6.1,2.8,4.7,1.2,0
6.4,2.9,4.3,1.3,0
6.6,3.0,4.4,1.4,0
6.7,3.0,5.0,1.7,0
5.7,2.6,3.5,1.0,0
5.5,2.4,3.8,1.1,0
5.5,2.4,3.7,1.0,0
5.8,2.7,3.9,1.2,0
6.0,2.7,5.1,1.6,0
5.4,3.0,4.5,1.5,0
6.7,3.1,4.7,1.5,0
6.3,2.3,4.4,1.3,0
5.6,3.0,4.1,1.3,0
5.5,2.5,4.0,1.3,0
5.5,2.6,4.4,1.2,0
6.1,3.0,4.6,1.4,0
5.8,2.6,4.0,1.2,0
5.0,2.3,3.3,1.0,0
5.6,2.7,4.2,1.3,0
5.7,3.0,4.2,1.2,0
5.7,2.9,4.2,1.3,0
6.2,2.9,4.3,1.3,0
5.1,2.5,3.0,1.1,0
5.7,2.8,4.1,1.3,0
6.3,3.3,6.0,2.5,0
5.8,2.7,5.1,1.9,0
7.1,3.0,5.9,2.1,0
6.3,2.9,5.6,1.8,0
6.5,3.0,5.8,2.2,0
7.6,3.0,6.6,2.1,0
4.9,2.5,4.5,1.7,0
7.3,2.9,6.3,1.8,0
6.7,2.5,5.8,1.8,0
7.2,3.6,6.1,2.5,0
6.5,3.2,5.1,2.0,0
6.4,2.7,5.3,1.9,0
6.8,3.0,5.5,2.1,0
5.7,2.5,5.0,2.0,0
5.8,2.8,5.1,2.4,0
6.4,3.2,5.3,2.3,0
7.7,3.8,6.7,2.2,0
5.6,2.8,4.9,2.0,0
7.7,2.8,6.7,2.0,0
6.3,2.7,4.9,1.8,0
6.7,3.3,5.7,2.1,0
7.2,3.2,6.0,1.8,0
6.1,3.0,4.9,1.8,0
6.4,2.8,5.6,2.1,0
7.2,3.0,5.8,1.6,0
7.4,2.8,6.1,1.9,0
7.9,3.8,6.4,2.0,0
6.4,2.8,5.6,2.2,0
6.3,2.8,5.1,1.5,0
6.1,2.6,5.6,1.4,0
7.7,3.0,6.1,2.3,0
6.3,3.4,5.6,2.4,0
6.4,3.1,5.5,1.8,0
6.0,3.0,4.8,1.8,0
6.9,3.1,5.4,2.1,0
6.7,3.1,5.6,2.4,0
6.9,3.1,5.1,2.3,0
5.8,2.7,5.1,1.9,0
6.8,3.2,5.9,2.3,0
6.7,3.3,5.7,2.5,0
6.7,3.0,5.2,2.3,0
6.3,2.5,5.0,1.9,0
6.5,3.0,5.2,2.0,0
6.2,3.4,5.4,2.3,0
5.9,3.0,5.1,1.8,0
6.5,3.0,5.5,1.8,0
7.7,2.6,6.9,2.3,0
6.0,2.2,5.0,1.5,0
6.9,3.2,5.7,2.3,0
6.2,2.8,4.8,1.8,0
4.76,3.07,1.47,0.2,1
4.94,3.51,1.4,0.2,1
5.06,3.07,1.5,0.28,1
4.85,3.09,1.4,0.21,1
4.92,3.39,1.48,0.2,1
4.43,2.95,1.4,0.2,1
5.31,3.2,1.43,0.2,1
4.84,3.08,1.4,0.2,1
4.8,3.0,1.4,0.16,1
4.32,3.0,1.12,0.12,1
5.04,3.37,1.43,0.38,1
5.08,3.42,1.32,0.4,1
4.91,3.35,1.4,0.23,1
5.31,3.06,1.42,0.23,1
4.94,3.07,1.44,0.26,1
5.1,3.09,1.56,0.2,1
5.09,3.36,1.48,0.34,1
4.89,3.59,1.3,0.2,1
5.03,3.21,1.65,0.27,1
4.85,3.14,1.88,0.2,1
4.97,3.0,1.43,0.2,1
4.92,3.31,1.57,0.23,1
5.07,3.03,1.43,0.2,1
4.95,3.18,1.4,0.2,1
4.88,3.16,1.42,0.2,1
4.84,3.08,1.41,0.2,1
5.28,3.37,1.45,0.23,1
5.02,3.92,1.49,0.14,1
4.92,3.39,1.4,0.2,1
4.9,3.06,1.5,0.13,1
4.98,3.02,1.36,0.2,1
4.99,3.29,1.32,0.2,1
4.9,3.03,1.48,0.18,1
4.48,3.0,1.37,0.2,1
5.1,3.3,1.48,0.2,1
4.96,3.32,1.4,0.21,1
