Attr0,Attr1,Attr2,Attr3,class
4.9,3.0,1.4,0.2,1
4.6,3.1,1.5,0.2,1
5.0,3.6,1.4,0.2,1
5.4,3.9,1.7,0.4,1
4.6,3.4,1.4,0.3,1
5.0,3.4,1.5,0.2,1
4.4,2.9,1.4,0.2,1
5.4,3.7,1.5,0.2,1
4.8,3.4,1.6,0.2,1
4.8,3.0,1.4,0.1,1
4.3,3.0,1.1,0.1,1
5.7,4.4,1.5,0.4,1
5.4,3.9,1.3,0.4,1
5.1,3.5,1.4,0.3,1
5.7,3.8,1.7,0.3,1
5.1,3.8,1.5,0.3,1
5.4,3.4,1.7,0.2,1
5.1,3.7,1.5,0.4,1
4.6,3.6,1.0,0.2,1
5.1,3.3,1.7,0.5,1
4.8,3.4,1.9,0.2,1
5.0,3.0,1.6,0.2,1
5.0,3.4,1.6,0.4,1
5.2,3.5,1.5,0.2,1
5.2,3.4,1.4,0.2,1
4.7,3.2,1.6,0.2,1
4.8,3.1,1.6,0.2,1
5.4,3.4,1.5,0.4,1
5.2,4.1,1.5,0.1,1
5.5,4.2,1.4,0.2,1
4.9,3.1,1.5,0.1,1
5.0,3.2,1.2,0.2,1
5.5,3.5,1.3,0.2,1
4.9,3.1,1.5,0.1,1
4.4,3.0,1.3,0.2,1
5.1,3.4,1.5,0.2,1
5.0,3.5,1.3,0.3,1
4.5,2.3,1.3,0.3,1
5.1,3.8,1.9,0.4,1
4.8,3.0,1.4,0.3,1
5.1,3.8,1.6,0.2,1
4.6,3.2,1.4,0.2,1
5.3,3.7,1.5,0.2,1
5.0,3.3,1.4,0.2,1
4.7,3.2,1.3,0.2,1
4.9,3.1,1.5,0.1,1
5.8,4.0,1.2,0.2,1
4.4,3.2,1.3,0.2,1
5.0,3.5,1.6,0.6,1
6.5,2.8,4.6,1.5,0
6.6,2.9,4.6,1.3,0
6.8,2.8,4.8,1.4,0
6.0,2.9,4.5,1.5,0
6.0,3.4,4.5,1.6,0
7.0,3.2,4.7,1.4,0
6.4,3.2,4.5,1.5,0
6.9,3.1,4.9,1.5,0
5.5,2.3,4.0,1.3,0
5.7,2.8,4.5,1.3,0
6.3,3.3,4.7,1.6,0
4.9,2.4,3.3,1.0,0
5.2,2.7,3.9,1.4,0
5.0,2.0,3.5,1.0,0
5.9,3.0,4.2,1.5,0
6.0,2.2,4.0,1.0,0
6.1,2.9,4.7,1.4,0
5.6,2.9,3.6,1.3,0
6.7,3.1,4.4,1.4,0
5.6,3.0,4.5,1.5,0
5.8,2.7,4.1,1.0,0
6.2,2.2,4.5,1.5,0
5.6,2.5,3.9,1.1,0
5.9,3.2,4.8,1.8,0
6.1,2.8,4.0,1.3,0
6.3,2.5,4.9,1.5,0
6.1,2.8,4.7,1.2,0
6.4,2.9,4.3,1.3,0
6.6,3.0,4.4,1.4,0
6.7,3.0,5.0,1.7,0
5.7,2.6,3.5,1.0,0
5.5,2.4,3.8,1.1,0
5.5,2.4,3.7,1.0,0
5.8,2.7,3.9,1.2,0
6.0,2.7,5.1,1.6,0
5.4,3.0,4.5,1.5,0
6.7,3.1,4.7,1.5,0
6.3,2.3,4.4,1.3,0
5.6,3.0,4.1,1.3,0
5.5,2.5,4.0,1.3,0
5.5,2.6,4.4,1.2,0
6.1,3.0,4.6,1.4,0
5.8,2.6,4.0,1.2,0
5.0,2.3,3.3,1.0,0
5.6,2.7,4.2,1.3,0
5.7,3.0,4.2,1.2,0
5.7,2.9,4.2,1.3,0
6.2,2.9,4.3,1.3,0
5.1,2.5,3.0,1.1,0
5.7,2.8,4.1,1.3,0
6.3,3.3,6.0,2.5,0
5.8,2.7,5.1,1.9,0
7.1,3.0,5.9,2.1,0
6.3,2.9,5.6,1.8,0
6.5,3.0,5.8,2.2,0
7.6,3.0,6.6,2.1,0
4.9,2.5,4.5,1.7,0
7.3,2.9,6.3,1.8,0
6.7,2.5,5.8,1.8,0
7.2,3.6,6.1,2.5,0
6.5,3.2,5.1,2.0,0
6.4,2.7,5.3,1.9,0
6.8,3.0,5.5,2.1,0
5.7,2.5,5.0,2.0,0
5.8,2.8,5.1,2.4,0
6.4,3.2,5.3,2.3,0
7.7,3.8,6.7,2.2,0
5.6,2.8,4.9,2.0,0
7.7,2.8,6.7,2.0,0
6.3,2.7,4.9,1.8,0
6.7,3.3,5.7,2.1,0
7.2,3.2,6.0,1.8,0
6.1,3.0,4.9,1.8,0
6.4,2.8,5.6,2.1,0
7.2,3.0,5.8,1.6,0
7.4,2.8,6.1,1.9,0
7.9,3.8,6.4,2.0,0
6.4,2.8,5.6,2.2,0
6.3,2.8,5.1,1.5,0
6.1,2.6,5.6,1.4,0
7.7,3.0,6.1,2.3,0
6.3,3.4,5.6,2.4,0
6.4,3.1,5.5,1.8,0
6.0,3.0,4.8,1.8,0
6.9,3.1,5.4,2.1,0
6.7,3.1,5.6,2.4,0
6.9,3.1,5.1,2.3,0
5.8,2.7,5.1,1.9,0
6.8,3.2,5.9,2.3,0
6.7,3.3,5.7,2.5,0
6.7,3.0,5.2,2.3,0
6.3,2.5,5.0,1.9,0
6.5,3.0,5.2,2.0,0
6.2,3.4,5.4,2.3,0
5.9,3.0,5.1,1.8,0
6.5,3.0,5.5,1.8,0
7.7,2.6,6.9,2.3,0
6.0,2.2,5.0,1.5,0
6.9,3.2,5.7,2.3,0
6.2,2.8,4.8,1.8,0
5.081003295358182,3.2265010524883753,1.4584293787905251,0.2103680629458024,1
4.775726795532856,3.2862156174697823,1.2345042291044392,0.2642229784710856,1
4.76764983066446,2.9112688351278253,1.471869091903923,0.2926553056144553,1
5.308833613464692,3.6464138049101527,1.364601698523597,0.3153063812918901,1
4.986748244730698,3.875538495275302,1.3121272148593228,0.3004507818128266,1
4.50907090866803,3.297006084720944,1.4406832593482346,0.1594192025355889,1
4.741926920029021,2.9921854169432014,1.2692720953797607,0.1901855058719028,1
4.667365496166923,3.240818368179017,1.7690556959564323,0.2229548596416595,1
5.054112474648369,3.695422263211446,1.565902108818358,0.2342571801942466,1
5.096246454238354,4.123732200810389,1.5091558490709245,0.2320891559751151,1
5.250471729282533,3.540869512194324,1.5217076629354416,0.1456374017533118,1
5.05238248717304,3.216823358999425,1.413970306819207,0.2009046954547906,1
4.507333607394502,2.9087647649037787,1.4275497574905904,0.2262512319914802,1
4.652278155638068,3.093238968668887,1.3740283685860808,0.3214240936392809,1
4.66859286181076,2.752827208313051,1.4491698718370476,0.0815032504903159,1
4.559922271110649,3.195439103892638,1.5174852961317806,0.1510087505362095,1
4.84185372958396,3.1847301261198555,1.4332240726074448,0.34306960578742,1
4.73653709417336,3.2638376332066907,1.375147475011271,0.2183160142896836,1
4.585398906277184,2.889446143486198,1.5370476569282094,0.2626752523630037,1
4.527495021897459,3.2063840323344235,1.2986395048501216,0.1937258603231053,1
4.849210320627705,3.6867485280868086,1.5055967051201131,0.2462576053181385,1
4.959741211403492,3.097321570581245,1.5552007179910827,0.3427136225352992,1
4.623261106988774,3.985372161871713,1.4278519620266656,0.23413186654272,1
5.839148233665601,3.9807751579870985,1.2079486905995485,0.1799959077658906,1
