Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,class
1.9867557,0.81964064,0.9955261,1.5619562,1.870779,1.2752794,-0.0056583136,0.35624662,-0.6264383,1.8838825,1.9356884,1.1324791,0.08870003,0.36316955,0.4003454,-0.22564197,0.11634577,0.4156091,0.4371533,0.18510747,0.5253228,0.74268174,-0.7524055,1.4295079,1.4533308,2.2404351,0.46655145,0.6339577,1.6098584,-0.030752964,0.51811606,1.8048786,1.1185497,0.8010938,1.1446311,2.4018717,2.2096791,0.26030204,0.31968895,1
0.84673846,0.17713204,0.6451723,0.37589645,1.4701958,1.2166287,0.5245507,0.44754305,0.23571402,1.3644478,1.385495,0.6074705,0.07708933,0.35785726,-0.05106619,-0.16480577,0.117123,0.44477215,0.7022497,0.28868496,0.4223986,-0.9367225,-0.7144222,-1.0957097,0.24851385,0.568745,0.49552217,0.36384386,0.974856,-0.07215137,0.3673896,0.9028102,-0.06674654,0.025854506,0.75870496,0.27273855,0.6014087,0.19172025,0.74932545,1
1.297041,1.6041931,1.1962664,2.0156448,1.6537856,1.3131889,-0.34449026,0.65051836,0.73851883,1.6822882,1.7198255,1.0991569,0.23306042,0.3050355,0.093694724,-0.15766805,0.12436604,0.47909704,1.024097,0.32108262,0.50552714,-1.0988687,-0.8397366,1.7487878,0.14704135,1.5186794,0.2772462,0.06421294,2.1675086,0.21804601,1.1398343,1.6277899,-0.87820464,1.438086,1.426002,0.27771893,1.5300541,-0.13060322,-0.52425253,1
1.7197833,0.07782283,1.5709755,0.7239235,2.4005747,1.9917012,-0.19899037,0.6826214,0.7690255,3.169831,3.230496,0.9442148,0.11013498,0.54233617,0.01455608,-0.19744505,0.118128635,0.6765301,1.0985596,0.4441292,0.7220104,0.02896551,0.020791136,0.29481423,1.3202194,1.5145606,0.28657043,-0.44430315,2.433963,-2.1028442,-0.44034255,2.8575623,0.39123568,0.17911097,0.8713476,1.3887783,1.5519867,0.08036604,0.5284521,1
1.4427664,0.8656879,1.6516976,1.2789403,1.7924389,1.688226,0.9252405,0.49207625,0.55938154,2.4905,2.5428088,0.7733435,0.108114116,0.3657975,0.15802392,-0.22240981,0.11638426,0.4588937,0.7944498,0.2738462,0.51409554,-0.24143147,-0.48818785,0.060683988,0.64583635,1.7291571,0.28822252,-0.62487614,2.2072818,-1.6837882,-0.14706324,2.318376,-0.597284,0.8175802,0.77198553,1.2038682,1.7396406,0.20310247,-0.33977103,1
2.3654218,0.98791516,2.2293057,1.2954152,2.6413891,2.1560757,-0.616001,0.5087741,1.5226814,3.2328818,3.3113894,1.4834372,0.12464329,0.42072317,0.26610008,-0.24524102,0.1176266,0.37561432,0.8391456,0.23291981,0.5307781,0.14657637,-0.0010634288,1.8298454,1.5387442,1.7758749,0.75790703,1.3849819,2.954054,0.40037575,0.7228324,3.2748175,1.1204587,1.0210897,1.6781065,1.8425899,1.7729594,0.25922188,1.7536129,1
1.47604,0.5935653,0.6818828,1.4467952,1.2959527,1.1288735,0.67495584,0.58057743,0.83909285,1.6346309,1.7103688,0.4690089,0.14339662,0.5358619,-0.1079651,-0.21490097,0.12060755,0.531132,0.93047214,0.30762437,0.54896575,-0.26854357,1.8178283,0.62065995,1.8714777,2.9757226,1.971099,-0.6851853,1.3013371,-0.24107471,0.5555574,1.137597,1.2910317,0.45138136,0.41580215,2.349762,2.940756,2.1115975,-0.3168239,1
0.8247816,0.6847841,1.7017872,0.8182766,1.2843155,1.4461762,1.2329489,0.36710826,0.94116974,2.2381377,2.2721844,0.5833111,0.07671603,0.43465647,0.29254773,-0.21660647,0.11604599,0.24768755,0.63991493,0.119066365,0.41715804,0.056688927,-1.6605538,0.6630803,0.9926549,1.3686131,-0.23294964,-0.62214565,2.0749018,-1.0971047,0.014834359,2.217668,1.2567555,0.7065245,0.37831807,1.2815346,1.3698025,-0.13116962,-0.61776847,1
1.7599342,1.0488136,0.3815286,1.8552876,1.5363028,0.89366746,-0.31244904,0.5818816,-0.51089567,1.1520469,1.2021036,0.98099375,0.2076802,0.4501873,0.19523814,-0.21578477,0.13195205,0.51946294,0.87037414,0.25520027,0.57431656,-0.35548854,-0.45653856,2.9602702,1.7848103,2.598902,0.5961038,0.015899412,1.4086479,0.30139482,0.97275686,1.0587416,2.092601,0.9954046,1.0530192,2.462871,2.569952,0.475462,-0.19376105,1
1.470452,0.71413136,0.6216491,1.1563175,2.2015254,1.555844,0.5167377,0.583106,-0.4785871,1.8246462,1.8881854,1.4689822,0.18431234,0.41346958,-0.23639148,-0.22356573,0.117616795,0.37933698,0.9801637,0.33864135,0.7260732,0.21938643,-0.34535608,2.4002094,-0.08765342,0.50626135,1.663892,1.8733925,1.8206207,1.7955476,1.4866563,1.7677174,-2.0868306,0.74503374,1.9285558,-0.26518464,0.5361825,0.7816261,0.9851233,1
