Attr0,Attr1,Attr2,Attr3,Attr4,Attr8,Attr9,class
28,32,919,1.1134331669932163,0.44478062956669,645,62,1
132,546,72227,4.13912606338506,0.36995879069733717,34903,1293,1
31,34,1201,1.0987119995598105,0.44040309763682317,892,118,1
172,137,23669,0.7964909887113207,0.7113401895873459,18597,458,1
168,471,79394,2.805326266163778,0.36122990947940253,43209,1622,1
182,141,25736,0.7811203126270517,0.8280461272636414,25050,946,1
28,32,919,1.1141548541036872,0.4773943567629609,667,60,1
39,46,2141,1.1482459676741115,0.4346493805362424,982,45,1
185,137,25511,0.7412802983191314,0.8491648712274494,23985,767,1
185,137,25518,0.740758488238583,0.85230539486038,24074,768,1
49,59,3339,1.1929192728045492,0.3760237639494859,1281,31,1
154,158,24406,1.027949654444243,0.5798172863207014,16395,451,1
179,139,25024,0.7789501362334457,0.6224482541505583,17551,682,1
28,31,894,1.140682859791954,0.4882574600231162,664,61,1
172,143,24630,0.8350942846448126,0.8196805942374917,23874,1337,1
28,32,906,1.1297595301885692,0.4694633422639968,657,62,1
28,31,884,1.1279047183717124,0.485612447164199,657,57,1
50,61,3469,1.197785302249177,0.37299458005680386,1316,29,1
30,33,1036,1.120609907479209,0.47938360294636,719,54,1
167,145,24355,0.867477147751596,0.792443069555372,23247,1456,1
28,31,875,1.1172211550905489,0.48887686927788787,652,57,1
186,367,68419,1.97570405384388,0.537094571239429,39801,1268,1
56,92,6812,1.4589552825183312,0.40936700515779395,3313,116,1
176,147,25898,0.8473481564614931,0.730392522237171,24569,1166,1
28,32,927,1.1032217014955672,0.47606651044867015,667,61,1
139,533,73919,3.891195411902655,0.3645463171670023,34983,1373,1
82,147,12202,1.7764546769304754,0.3891929739986244,5761,164,1
177,140,24997,0.7972061829738465,0.8491167347664731,24440,1132,1
56,70,4247,1.2341506792764325,0.3648234063831993,1529,18,1
28,31,885,1.1298071237550171,0.48503115663041146,658,57,1
171,471,81032,2.7417928088643073,0.34411658953886876,37372,1726,1
44,64,4120,1.2961095724175264,0.4514427133341874,2110,90,1
166,143,23777,0.8606831857008397,0.7285059448198403,21447,708,1
176,470,83170,2.6688445859918772,0.3693082643805431,44617,1554,1
55,89,6546,1.4429006588275781,0.41038781938090546,3192,114,1
166,286,42560,1.973469439367911,0.7066199550203387,28845,970,1
78,77,6854,1.0100572655070925,0.6141377780788431,6132,1248,1
178,470,84119,2.6311261067987006,0.3549950369451388,39860,1643,1
174,470,82065,2.7030951787808766,0.33982317852727467,35723,1750,1
28,31,882,1.1254772824934596,0.49414203812990526,665,58,1
175,470,82449,2.6896282757279324,0.3426621472789764,36497,1730,1
29,32,928,1.103,0.45111335208245884,651,62,1
28,31,906,1.1044003136307787,0.45860595898479534,648,62,1
186,254,47485,1.3679100853273194,0.7140988516179243,32758,1032,1
28,31,886,1.1310812661478715,0.4893243037613476,659,60,1
29,32,928,1.103,0.4700233728631637,664,61,1
172,143,24649,0.8330759151285978,0.8212487120923971,23904,1326,1
175,148,25930,0.8602943118706119,0.7113032891633332,24474,1209,1
172,142,24599,0.8304723191398979,0.702128940622857,20341,1135,1
160,160,25764,0.998415069356216,0.5378125430843962,21682,1325,1
28,31,869,1.1085697357831596,0.5071279245649113,666,59,1
28,31,927,1.1030217979568107,0.43232696935215953,639,63,1
46,56,3059,1.2018361589470052,0.4084916770986414,1223,33,1
67,116,9169,1.601544243476643,0.4003006550390574,4384,138,1
36,39,1849,1.088553258761016,0.49918468956901446,1518,245,1
175,141,24778,0.8061733731837966,0.6305109946469792,18013,871,1
29,34,1087,1.1482090249803412,0.4742892741244253,714,55,1
28,32,917,1.1162300121868205,0.45052201706154876,647,63,1
28,31,883,1.1268995388060776,0.4859195853648096,656,57,1
28,31,893,1.1052891698766834,0.49431335901346685,666,59,1
185,469,87059,2.528313561627149,0.3776263000906049,46067,1484,1
78,140,11505,1.7428603908437592,0.39131523526426965,5446,159,1
170,145,24691,0.8622014667446467,0.5779740612507334,15967,553,1
165,139,22965,0.8477186261334293,0.7755177297419693,19554,297,1
168,142,23908,0.8471599834434808,0.8039064468515835,22666,1167,1
