Attr0,Attr1,Attr2,Attr3,class
7,2,500,45,1
4,16,4000,46,1
5,17,4250,72,1
14,4,1000,25,1
3,11,2750,67,1
4,8,2000,33,1
0,13,3313,33,1
1,15,3988,35,1
4,27,6841,49,1
4,12,3245,38,1
3,12,3231,39,1
2,12,3000,52,1
2,12,3077,47,1
13,4,1000,22,1
2,11,2750,76,1
4,8,2000,41,1
2,19,4917,52,1
2,3,750,11,1
2,2,500,5,1
14,7,1750,78,1
4,18,4681,70,1
2,4,1000,15,1
11,5,1250,38,1
4,19,4993,58,1
3,11,2750,69,1
3,16,4248,70,1
20,3,750,25,1
8,9,2250,53,1
4,4,1000,35,1
4,18,4729,69,1
9,4,1000,18,1
4,9,2250,32,1
3,3,750,41,1
7,8,2000,40,1
2,7,1750,16,1
3,19,4781,69,1
4,3,750,10,1
4,18,4730,69,1
5,9,2250,61,1
16,7,1750,59,1
1,13,3250,33,1
2,7,1750,33,1
3,7,1750,24,1
2,13,3424,43,1
4,17,4250,72,1
2,14,3533,48,1
3,10,2500,28,1
7,8,2000,38,1
3,10,2500,32,1
6,4,1000,14,1
4,5,1250,13,1
11,4,1000,21,1
7,6,1500,37,1
11,8,2235,70,1
16,7,1750,84,1
13,7,1750,60,1
3,12,3190,40,1
3,5,1250,34,1
6,11,2840,48,1
4,9,2335,28,1
2,7,1750,25,1
9,8,2000,42,1
4,3,750,24,1
8,4,1000,17,1
4,2,500,8,1
3,33,8479,96,1
4,7,1750,23,1
6,2,500,45,1
13,6,1500,35,1
3,38,9538,84,1
3,2,500,9,1
1,10,2500,42,1
10,8,2012,53,1
10,16,4246,78,1
2,7,1750,34,1
13,3,750,16,1
11,8,2115,61,1
2,10,2500,36,1
2,20,5183,54,1
3,33,8340,90,1
9,17,4449,73,1
2,8,2000,36,1
3,11,2750,65,1
3,3,750,27,1
2,7,1750,36,1
5,7,1750,45,1
6,6,1500,25,1
4,5,1250,39,1
2,14,3698,48,1
2,3,750,5,1
8,6,1500,36,1
3,33,8347,97,1
10,4,1000,19,1
4,23,5818,43,1
7,4,1000,36,1
3,8,2000,35,1
2,5,1250,27,1
16,2,500,16,1
9,2,500,25,1
2,14,3605,48,1
16,3,750,19,1
3,5,1250,20,1
3,6,1500,21,1
4,11,2750,66,1
2,3,750,8,1
2,8,2000,30,1
5,21,5321,37,1
3,8,2000,32,1
2,4,1000,11,1
3,19,4869,64,1
2,12,3155,32,1
2,29,7435,87,1
5,21,5276,40,1
4,19,4781,67,1
4,9,2250,45,1
7,5,1250,17,1
3,5,1250,21,1
1,12,3126,30,1
4,5,1250,31,1
4,16,4053,92,1
3,4,1000,6,1
3,8,2000,27,1
1,13,3250,31,1
5,2,500,11,1
8,10,2736,48,1
3,2,500,12,1
6,5,1250,19,1
2,11,2992,47,1
4,7,1750,24,1
8,8,2000,36,1
13,3,750,18,1
2,9,2393,40,1
6,4,1000,38,1
1,12,3150,30,1
7,1,250,7,1
9,1,250,9,1
4,9,2250,29,1
10,4,1000,15,1
3,9,2412,31,1
3,7,1750,30,1
10,5,1250,23,1
4,4,1000,36,1
3,6,1500,38,1
4,16,4108,52,1
6,8,2000,36,1
2,7,1750,52,1
7,6,1500,26,1
4,5,1250,18,1
2,8,2000,29,1
4,42,10732,92,1
18,3,750,23,1
0,12,3149,35,1
2,5,1250,40,1
3,3,750,17,1
15,2,500,18,1
12,8,2000,49,1
3,19,4755,68,1
11,2,500,24,1
2,20,5037,43,1
3,32,8108,96,1
4,42,10586,91,1
2,5,1250,45,1
5,4,1000,14,1
2,7,1750,37,1
6,16,4075,50,1
3,7,1750,22,1
2,11,2985,68,1
0,13,3250,29,1
2,13,3332,47,1
2,6,1500,17,1
4,11,2750,67,1
2,7,1750,41,1
3,35,8858,65,1
5,18,4620,71,1
7,16,4113,89,1
2,31,7760,91,1
7,11,2817,48,1
12,2,500,13,1
