Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,class
0.25,0.58,0.48,0.5,0.45,0.73,0.47,1
0.22,0.5,0.48,0.5,0.49,0.83,0.83,1
0.11,0.51,0.48,0.5,0.56,0.89,0.84,1
0.32,0.52,0.48,0.5,0.51,0.87,0.67,1
0.2,0.61,0.48,0.5,0.56,0.79,0.57,1
0.38,0.61,0.48,0.5,0.48,0.87,0.44,1
0.24,0.5,0.48,0.5,0.5,0.88,0.42,1
0.1,0.47,0.48,0.5,0.56,0.83,0.42,1
0.14,0.57,0.48,0.5,0.65,0.86,0.52,1
0.11,0.49,0.48,0.5,0.49,0.83,0.51,1
0.06,0.65,0.48,0.5,0.7,0.8,0.61,1
0.1,0.55,0.48,0.5,0.54,0.88,0.84,1
0.46,0.58,0.48,0.5,0.5,0.91,0.86,1
0.17,0.55,0.48,0.5,0.49,0.71,0.58,1
0.38,0.55,0.48,0.5,0.58,0.91,0.44,1
0.24,0.6,0.48,0.5,0.46,0.88,0.81,1
0.2,0.56,0.48,0.5,0.51,0.92,0.44,1
0.19,0.64,0.48,0.5,0.37,0.92,0.37,1
0.08,0.52,0.48,0.5,0.51,0.78,0.39,1
0.26,0.57,0.48,0.5,0.5,0.84,0.54,1
0.3,0.6,0.48,0.5,0.47,0.83,0.47,1
0.62,0.6,0.48,0.5,0.48,0.82,0.49,1
0.49,0.59,0.48,0.5,0.52,0.85,0.39,1
0.46,0.61,0.48,0.5,0.49,0.82,0.57,1
0.53,0.51,0.48,0.5,0.49,0.87,0.77,1
0.48,0.58,0.48,0.5,0.51,0.84,0.74,1
0.2,0.6,0.48,0.5,0.55,0.9,0.66,1
0.72,0.5,0.48,0.5,0.52,0.91,0.46,1
0.07,0.57,0.48,0.5,0.45,0.89,0.46,1
0.35,0.48,0.48,0.5,0.5,0.84,0.48,1
0.18,0.41,0.48,0.5,0.57,0.74,0.68,1
0.3,0.55,0.48,0.5,0.5,0.76,0.39,1
0.19,0.54,0.48,0.5,0.55,0.82,0.51,1
0.21,0.61,0.48,0.5,0.5,0.69,0.58,1
0.29,0.4,0.48,0.5,0.55,0.89,0.69,1
0.32,0.58,0.48,0.5,0.55,0.91,0.41,1
0.5,0.54,0.48,0.5,0.6,0.91,0.42,1
0.24,0.49,0.48,0.5,0.55,0.86,0.66,1
0.3,0.56,0.52,0.5,0.53,0.8,0.42,1
0.06,0.52,0.48,0.5,0.37,0.43,0.44,1
0.52,0.64,0.48,0.5,0.6,0.9,0.53,1
0.08,0.59,0.48,0.5,0.5,0.88,0.6,1
0.69,0.57,0.48,0.5,0.49,0.86,0.76,1
0.61,0.49,0.48,0.5,0.55,0.83,0.44,1
0.1,0.55,0.48,0.5,0.58,0.81,0.68,1
