Attr0,Attr1,Attr2,Attr3,class
4.67,3.02,1.45,0.2,1
4.91,3.41,1.4,0.2,1
5.35,3.55,1.64,0.31,1
4.79,3.38,1.4,0.21,1
4.95,3.34,1.44,0.2,1
4.65,2.98,1.4,0.2,1
5.13,3.13,1.49,0.2,1
4.89,3.11,1.53,0.2,1
4.87,3.0,1.4,0.2,1
4.66,3.0,1.14,0.19,1
5.3,3.59,1.47,0.33,1
4.98,3.25,1.33,0.29,1
5.04,3.28,1.4,0.21,1
5.27,3.78,1.45,0.23,1
4.92,3.62,1.44,0.29,1
4.94,3.03,1.68,0.2,1
5.05,3.3,1.49,0.26,1
4.88,3.52,1.27,0.2,1
5.1,3.04,1.58,0.44,1
4.82,3.29,1.84,0.2,1
4.93,3.0,1.46,0.2,1
4.96,3.22,1.52,0.29,1
5.17,3.08,1.44,0.2,1
5.17,3.13,1.4,0.2,1
4.73,3.2,1.53,0.2,1
4.84,3.03,1.45,0.2,1
5.02,3.33,1.41,0.39,1
4.97,3.57,1.49,0.1,1
5.12,4.11,1.4,0.2,1
4.9,3.02,1.47,0.19,1
4.9,3.03,1.26,0.2,1
5.26,3.18,1.3,0.2,1
4.9,3.09,1.42,0.15,1
4.68,3.0,1.33,0.2,1
5.04,3.26,1.48,0.2,1
4.99,3.07,1.35,0.26,1
