Attr0,Attr1,Attr2,Attr3,Attr4,Attr6,Attr7,Attr9,Attr10,Attr11,Attr12,class
0.0,0.0,0.0,-3.66,0.35,1.74,-0.22,-0.36,0.56,-0.69,-0.83,1
0.0,0.0,0.0,-3.64,0.36,1.74,-0.22,-0.33,0.55,-0.6,-0.83,1
0.0,0.0,0.0,-3.65,0.32,1.71,-0.21,-0.2,0.53,-0.71,-0.9,1
0.0,0.0,0.0,-3.65,0.32,1.78,-0.2,-0.27,0.52,-0.77,-0.86,1
0.0,0.0,0.0,-3.77,0.26,1.65,-0.08,-0.22,0.43,-0.8,-0.78,1
0.0,1.0,0.0,-3.66,0.18,1.07,0.12,-0.28,0.33,-0.83,-0.68,1
0.0,0.0,0.0,-3.9,0.373,1.5,-0.222,0.52,-0.01,-0.88,-0.71,1
0.0,0.0,0.0,-3.81,0.31,1.16,-0.13,-0.18,0.14,-1.02,-0.59,1
0.0,1.0,0.0,-4.12,0.01,1.35,0.67,-0.31,0.02,-0.9,-0.72,1
0.0,1.0,0.0,-3.93,0.29,1.55,0.1,-0.04,0.28,-1.43,-0.66,1
0.0,1.0,0.0,-1.65,0.25,1.43,-0.32,-0.13,0.98,-1.18,-0.73,1
0.0,1.0,0.0,-2.45,0.31,1.04,-0.23,0.02,0.64,-0.92,-0.68,1
0.0,1.0,0.0,-3.15,-0.18,1.27,-0.24,-0.21,0.72,-1.07,-0.76,1
0.0,1.0,0.0,-1.91,-0.14,1.11,-0.22,0.12,0.85,-0.84,-0.81,1
0.0,2.0,0.0,-1.6,-0.1,1.59,-0.26,-0.2,0.62,-1.17,-0.73,1
0.0,0.0,0.0,-2.07,0.35,1.15,-0.28,-0.11,0.72,-1.25,-0.81,1
0.0,2.0,0.0,-2.82,0.22,1.25,-0.14,0.31,0.66,-0.11,-0.52,1
0.0,0.0,0.0,-1.53,0.35,1.52,-0.21,0.19,0.95,-0.38,-0.73,1
0.0,0.0,0.0,-3.35,-0.3,1.04,-0.12,0.11,1.0,-0.33,-0.52,1
0.0,1.0,0.0,-1.89,-0.35,1.54,-0.16,0.16,1.15,-0.64,-0.57,1
0.0,3.0,0.0,-2.06,-0.16,1.43,0.03,-0.34,1.27,-0.3,-0.65,1
0.0,0.0,0.0,-2.1,0.18,1.4,-0.01,0.3,0.94,-0.37,-0.7,1
0.0,0.0,0.0,-3.11,-1.08,1.54,0.12,-0.36,-0.37,-0.78,0.12,1
0.0,1.0,0.0,-3.25,-0.35,1.61,0.44,-0.36,-0.17,-0.8,-0.54,1
0.0,2.0,0.0,-3.5,0.05,1.66,-0.09,-0.63,-0.18,-0.69,-0.47,1
0.0,0.0,0.0,-3.61,0.29,1.6,0.38,-0.48,0.34,-0.78,0.06,1
0.0,2.0,0.0,-3.66,0.24,1.66,0.42,-0.69,0.36,-0.55,-0.65,1
0.0,4.0,1.0,-3.68,-0.5,1.5,0.02,-0.45,-0.64,-0.49,-0.46,1
0.0,3.0,1.0,-3.48,-0.1,1.48,0.58,-0.13,0.48,-0.98,-0.49,1
0.0,2.0,0.0,-3.56,0.29,0.8,0.15,0.07,-0.24,-1.02,-0.75,1
0.0,3.0,1.0,-3.58,0.25,1.44,0.68,-0.07,-1.01,-1.12,-0.1,1
0.0,1.0,0.0,-3.63,0.23,1.08,0.39,0.42,0.45,-1.25,-0.2,1
0.0,0.0,0.0,-3.76,0.17,1.52,0.06,-0.26,0.31,-1.03,-0.37,1
0.0,4.0,1.0,-3.79,0.36,1.26,0.64,-0.07,-0.4,-0.93,-0.57,1
0.0,1.0,0.0,-3.53,-0.05,1.67,1.39,-0.33,-0.81,-0.41,-0.39,1
0.0,2.0,0.0,-3.5,-0.45,1.55,0.22,-0.06,-0.28,-0.36,-0.29,1
0.0,0.0,0.0,-3.6,-0.31,1.58,0.45,-0.32,-0.04,-0.51,-0.33,1
0.0,0.0,0.0,-3.69,-0.2,1.37,1.46,-0.03,-0.16,-0.66,-0.05,1
0.0,5.0,1.0,-4.21,0.15,1.49,1.07,-0.33,0.47,-0.55,-0.52,1
0.0,5.0,1.0,-3.99,0.39,1.57,0.54,-0.31,-0.22,-0.32,-0.76,1
0.0,1.0,0.0,-4.62,2.23,1.81,-0.24,-0.39,0.13,-0.37,-0.44,1
0.0,1.0,0.0,-4.25,1.53,1.76,-0.25,-0.54,0.37,-0.05,-0.74,1
0.0,2.0,0.0,-4.8,2.03,1.89,-0.38,-0.38,0.16,-0.13,-0.14,1
0.0,0.0,0.0,-4.6,0.73,1.78,-0.24,-0.46,0.43,-0.13,0.18,1
0.0,0.0,0.0,-4.1,1.17,1.72,-0.49,-0.58,0.45,-0.34,0.16,1
0.0,2.0,0.0,-4.76,1.74,1.71,-0.39,-0.8,-0.12,0.45,-0.29,1
0.0,3.0,0.0,-2.37,-0.87,0.92,-0.09,0.1,0.96,-0.5,-0.75,1
0.0,0.0,0.0,-3.33,-0.86,1.08,-0.14,0.19,0.72,-0.3,-0.61,1
1.0,7.0,0.0,-2.16,-0.22,1.41,-0.19,0.91,1.2,-0.48,-0.78,1
1.0,8.0,0.0,-2.74,-0.81,1.77,0.26,-0.09,0.55,-0.82,-0.72,1
1.0,5.0,0.0,-3.37,-0.01,1.67,0.17,-0.02,0.46,-0.85,-0.76,1
1.0,7.0,0.0,-3.64,-0.62,1.67,0.02,0.04,0.45,-0.78,-0.79,1
1.0,26.0,0.0,-3.55,0.08,1.61,0.12,-0.11,0.62,-0.88,-0.79,1
0.0,-11.0,0.0,-3.59,0.27,1.55,0.1,-0.1,0.57,-0.94,-0.58,1
1.0,26.0,0.0,-3.11,0.31,1.53,0.1,-0.24,0.82,-1.06,-0.71,1
1.0,25.0,0.0,-3.42,0.09,1.66,-0.21,-0.34,0.76,-1.03,-0.64,1
0.0,-9.0,0.0,-3.25,0.27,1.59,0.06,-0.29,0.63,-0.92,-0.79,1
1.0,26.0,0.0,-3.24,0.25,1.68,0.06,-0.01,0.56,-0.84,-0.78,1
0.0,-11.0,0.0,-3.7,0.39,1.69,-0.21,0.21,-0.11,-0.53,-0.83,1
1.0,26.0,0.0,-3.95,0.35,1.71,-0.14,-0.27,0.27,-0.52,-0.85,1
1.0,28.0,0.0,-3.76,0.37,1.72,-0.16,0.38,-0.04,-0.64,-0.84,1
1.0,24.0,0.0,-3.67,0.23,2.2,-0.02,-0.02,0.36,-0.46,-1.19,1
0.0,-10.0,0.0,-3.64,-0.03,1.72,-0.04,-0.28,0.38,-0.64,-1.11,1
0.0,-11.0,0.0,-3.45,0.02,2.04,-0.13,-0.23,0.3,-0.74,-0.93,1
0.0,-14.0,0.0,-3.4,0.08,1.39,-0.05,0.04,0.63,-1.22,-0.63,1
1.0,29.0,0.0,-2.52,0.13,1.59,-0.22,-0.32,0.6,-0.92,-0.67,1
1.0,29.0,0.0,-2.57,0.27,1.19,-0.19,0.1,0.57,-1.18,-0.62,1
0.0,-14.0,0.0,-3.37,0.16,1.41,-0.08,0.08,0.54,-1.13,-0.8,1
1.0,27.0,0.0,-3.19,0.09,1.12,-0.17,-0.21,0.54,-0.97,-0.8,1
0.0,-13.0,0.0,-3.13,0.09,1.54,0.03,-0.16,0.51,-0.85,-0.95,1
0.0,-10.0,0.0,-3.45,-0.2,1.74,0.31,-0.59,0.48,-0.76,0.06,1
1.0,26.0,1.0,-3.68,0.15,1.63,0.4,-0.51,-0.41,-0.78,0.56,1
1.0,26.0,1.0,-3.68,-0.11,1.6,0.2,-0.59,-0.67,-0.66,-0.56,1
0.0,-10.0,0.0,-3.62,0.13,1.71,-0.04,-0.52,-0.72,-0.28,0.16,1
0.0,-10.0,0.0,-3.59,-0.0,1.69,-0.05,-0.39,-0.31,-0.58,0.46,1
1.0,26.0,1.0,-2.53,0.29,1.7,-0.01,-0.41,-0.6,-0.52,0.49,1
0.0,-17.0,0.0,-4.53,0.7,1.71,-0.03,-0.36,-0.01,-0.3,0.36,1
1.0,27.0,1.0,-4.37,0.49,1.73,0.23,-0.46,0.31,-0.71,0.23,1
0.0,-11.0,0.0,-4.7,0.53,1.61,0.2,-0.68,0.19,-0.68,-0.67,1
1.0,27.0,1.0,-3.94,0.96,1.58,0.3,-0.46,0.04,-0.18,0.86,1
0.0,-13.0,0.0,-4.34,0.58,1.76,0.03,-0.76,0.02,-0.55,0.31,1
0.0,-12.0,0.0,-4.47,0.85,1.74,-0.02,-0.63,0.25,-0.77,-0.77,1
1.0,25.0,1.0,-3.75,0.64,1.5,-0.08,-0.38,0.39,-0.49,-0.09,1
1.0,26.0,1.0,-3.81,0.47,1.72,-0.01,-0.87,-0.18,-0.76,0.66,1
1.0,31.0,1.0,-3.65,0.37,1.73,-0.01,-0.65,-0.17,-0.8,-0.28,1
0.0,-15.0,0.0,-3.59,0.3,1.79,0.34,-0.46,0.32,-0.84,-0.73,1
0.0,-14.0,0.0,-3.56,0.31,1.78,0.1,-0.62,-0.14,-1.02,-0.54,1
1.0,28.0,1.0,-3.64,0.2,1.81,0.05,-0.65,-0.21,-0.9,0.26,1
0.0,0.0,0.0,-3.64,0.31,1.79,-0.194,-0.3,0.56,-0.59,-0.84,1
0.0,0.0,0.0,-3.6,0.31,1.75,-0.18,-0.26,0.56,-0.52,-0.86,1
0.0,0.0,0.0,-3.66,0.3,1.79,-0.18,-0.31,0.53,-0.58,-0.87,1
0.0,1.0,0.0,-3.85,0.32,1.11,0.14,0.41,0.33,-0.72,-0.75,1
0.0,1.0,0.0,-4.21,0.31,1.6,0.6,0.5,0.57,-0.7,-0.68,1
0.0,0.0,0.0,-4.42,0.37,1.37,0.4,0.19,0.24,-0.77,-0.72,1
0.0,1.0,0.0,-4.01,0.26,1.4,0.38,0.17,0.33,-0.72,-0.65,1
0.0,0.0,0.0,-4.0,0.29,1.54,0.41,-0.16,0.39,-1.24,-0.66,1
0.0,1.0,0.0,-3.92,0.18,1.14,-0.14,-0.25,-0.3,-1.51,-0.73,1
0.0,2.0,0.0,-2.73,-0.14,1.28,-0.23,0.09,0.81,-1.03,-0.78,1
0.0,2.0,0.0,-3.53,-0.29,1.57,-0.23,-0.13,0.83,-0.88,-0.63,1
0.0,2.0,0.0,-2.51,-0.12,1.29,-0.23,-0.31,0.71,-1.46,-0.8,1
0.0,0.0,0.0,-1.63,0.04,1.58,-0.2,-0.04,0.67,-1.11,-0.7,1
0.0,2.0,0.0,-2.61,-0.08,1.06,-0.26,-0.13,0.74,-0.86,-0.78,1
0.0,1.0,0.0,-2.0,0.32,1.1,-0.24,-0.26,0.77,-0.8,-0.78,1
0.0,3.0,0.0,-2.34,0.17,0.88,-0.12,0.34,1.1,0.05,-0.8,1
0.0,2.0,0.0,-2.03,-0.09,1.16,-0.15,0.48,0.7,-0.47,-0.78,1
0.0,1.0,0.0,-2.3,-0.43,1.38,-0.14,-0.02,1.03,-0.07,-0.65,1
0.0,3.0,0.0,-2.4,0.26,1.06,0.01,-0.1,0.6,-0.56,-0.56,1
0.0,1.0,0.0,-2.19,0.04,1.22,-0.08,0.27,1.07,-0.49,-0.62,1
0.0,3.0,0.0,-3.2,0.07,1.33,0.0,-0.08,0.58,-0.34,-0.66,1
0.0,2.0,1.0,-3.16,-0.75,1.55,-0.14,-0.36,-0.35,-0.73,0.5,1
0.0,2.0,0.0,-3.24,0.31,1.53,0.07,-0.37,0.4,-0.54,0.11,1
0.0,2.0,0.0,-3.6,-0.34,1.64,0.27,-0.48,0.14,-0.54,-0.26,1
0.0,0.0,0.0,-3.65,-0.27,1.71,0.31,-0.56,-0.35,-0.55,-0.65,1
0.0,1.0,0.0,-3.68,-0.02,1.74,-0.13,-0.71,-0.02,-0.54,0.14,1
0.0,1.0,0.0,-3.69,-0.26,1.55,0.07,-0.46,-0.37,-0.66,-0.11,1
0.0,0.0,0.0,-3.56,0.1,1.73,0.23,0.21,-0.43,-0.79,-0.22,1
0.0,3.0,1.0,-3.47,0.17,0.8,0.39,0.02,-0.18,-0.77,0.18,1
0.0,0.0,0.0,-3.55,0.05,1.59,0.26,0.26,-0.8,-1.06,0.08,1
0.0,4.0,1.0,-3.65,0.16,1.66,0.94,0.28,-0.58,-0.7,-0.21,1
0.0,3.0,1.0,-3.73,0.32,1.19,0.13,0.03,-0.35,-0.98,-0.24,1
0.0,3.0,1.0,-3.85,0.18,1.6,0.07,0.39,-0.42,-0.94,-0.56,1
0.0,1.0,0.0,-3.36,-0.11,1.42,0.57,-0.29,0.49,-0.49,-0.29,1
0.0,2.0,0.0,-3.51,-0.39,1.51,0.67,-0.34,0.53,-0.66,-0.77,1
0.0,3.0,1.0,-3.65,0.03,1.54,0.47,0.11,-0.33,-0.57,0.08,1
0.0,4.0,1.0,-3.67,0.18,1.58,0.63,-0.32,-0.05,-0.64,0.04,1
0.0,4.0,1.0,-3.87,-0.01,1.53,1.33,-0.13,0.36,-0.63,-0.42,1
0.0,5.0,1.0,-3.87,0.4,1.54,1.15,-0.16,0.09,-0.4,-0.24,1
0.0,0.0,0.0,-4.18,1.2,1.88,-0.24,-0.42,0.21,-0.35,-0.26,1
