Attr0,Attr1,Attr2,Attr3,Attr5,Attr6,Attr7,class
2.0,0.4250000732795725,0.31500079217935,0.1277279914410178,0.1135001573087297,0.0565003774835298,0.1300009543074806,1
2.0,0.71,0.54,0.12,0.7665,0.0565,0.78,1
2.0,0.425,0.315,0.12,0.1135,0.0565,0.13,1
2.0,0.425,0.315,0.12207668255229,0.1135001514116218,0.0565,0.1300000833077238,1
2.0,0.4972983003105103,0.3730670208027509,0.1248905537292961,0.2475710985986539,0.14544487916952,0.2477441374164943,1
2.0,0.71,0.54,0.12,0.7665,0.0565,0.78,1
0.0,0.5760683537431204,0.4741395439388582,0.1731022890716013,0.4212790459158952,0.174029817651041,0.3073950113733467,1
2.0,0.71,0.54,0.12,0.7665,0.0565,0.78,1
2.0,0.425,0.315,0.12,0.1135,0.0565,0.13,1
2.0,0.5711875139758102,0.4614212504132594,0.1942517519803918,0.4915936879444506,0.2322971514364255,0.3414644087664059,1
2.0,0.425,0.315,0.12,0.1135,0.0565,0.13,1
2.0,0.425,0.315,0.12,0.1135,0.0565,0.13,1
2.0,0.425,0.315,0.12,0.1135,0.0565,0.13,1
2.0,0.425,0.315,0.12,0.1135,0.0565,0.13,1
2.0,0.425,0.315,0.12,0.1135,0.0565,0.13,1
2.0,0.71,0.54,0.12,0.7665,0.0565,0.78,1
0.0,0.7095331511988862,0.5398573264445129,0.1222978562200829,0.7665,0.3885,0.1300002149922454,1
2.0,0.6475676606509161,0.5067900003441097,0.1762510130572191,0.5117009614283047,0.3009576978218719,0.3981479825190939,1
2.0,0.425,0.315,0.12,0.1135,0.0565,0.13,1
2.0,0.425,0.315,0.1200002623983107,0.1135,0.0565,0.13,1
2.0,0.6186232449378226,0.4937714635358851,0.1778763811941592,0.529252609078819,0.2977360057891192,0.3702236466792417,1
2.0,0.425,0.315,0.1206245002387639,0.1135,0.0565,0.13,1
2.0,0.425,0.315,0.12,0.1135,0.0565,0.13,1
2.0,0.71,0.54,0.12,0.7665,0.0565,0.78,1
0.0,0.6774863231188715,0.5227437130049797,0.2049998008708444,0.4961411405053743,0.2990120168817087,0.4502737766229918,1
2.0,0.425,0.315,0.12,0.1135,0.0565,0.13,1
0.0,0.6533325117314331,0.5252356743928421,0.1847281333878071,0.5883811061687435,0.3651403628016297,0.5618897855574457,1
