Attr0,Attr1,Attr2,Attr3,Attr4,Attr8,Attr9,class
3,59,177,19.667,0.475,84,1,0
2,20,40,10.0,0.675,27,1,0
2,101,202,50.5,0.54,150,10,0
4,194,776,48.5,0.263,212,6,0
2,22,44,11.0,0.75,33,1,0
2,18,36,9.0,0.806,30,1,0
2,22,44,11.0,0.705,38,2,0
3,116,348,38.667,0.385,172,4,0
1,10,10,10.0,1.0,10,1,0
1,13,13,13.0,1.0,13,1,0
1,8,8,8.0,1.0,8,1,0
1,44,44,44.0,0.25,44,5,0
2,20,40,10.0,0.725,35,1,0
2,20,40,10.0,0.775,34,1,0
3,113,339,37.667,0.357,128,4,0
2,48,96,24.0,0.625,65,2,0
2,18,36,9.0,0.722,26,1,0
1,17,17,17.0,0.765,17,4,0
1,8,8,8.0,1.0,8,1,0
2,69,138,34.5,0.623,125,8,0
2,46,92,23.0,0.587,70,3,0
1,57,57,57.0,0.456,57,7,0
1,10,10,10.0,0.9,10,1,0
2,116,232,58.0,0.616,186,8,0
2,17,34,8.5,0.588,33,3,0
1,43,43,43.0,0.907,43,4,0
10,2,20,0.2,0.55,12,1,0
2,112,224,56.0,0.496,113,2,0
1,45,45,45.0,0.756,45,6,0
1,75,75,75.0,0.813,75,11,0
2,157,314,78.5,0.506,173,6,0
1,32,32,32.0,0.719,32,4,0
1,52,52,52.0,0.788,52,4,0
1,13,13,13.0,0.692,13,2,0
2,123,246,61.5,0.5,124,1,0
1,36,36,36.0,0.722,36,3,0
1,19,19,19.0,0.789,19,4,0
1,9,9,9.0,0.778,9,1,0
2,446,892,223.0,0.439,538,22,0
2,236,472,118.0,0.566,325,26,0
1,61,61,61.0,1.0,61,1,0
3,213,639,71.0,0.318,242,17,0
1,51,51,51.0,0.471,51,10,0
19,462,8778,24.316,0.523,6035,272,0
1,52,52,52.0,0.538,52,2,0
1,33,33,33.0,1.0,33,1,0
1,124,124,124.0,0.444,124,7,0
1,75,75,75.0,0.92,75,6,0
1,8,8,8.0,0.875,8,1,0
1,40,40,40.0,1.0,40,1,0
1,55,55,55.0,0.564,55,3,0
1,115,115,115.0,0.2,115,5,0
1,11,11,11.0,1.0,11,1,0
1,46,46,46.0,0.783,46,3,0
2,64,128,32.0,0.531,75,4,0
4,115,460,28.75,0.426,224,11,0
1,48,48,48.0,0.875,48,4,0
1,29,29,29.0,0.586,29,8,0
1,17,17,17.0,0.412,17,4,0
28,330,9240,11.786,0.057,614,17,0
3,286,858,95.333,0.406,366,4,0
1,18,18,18.0,0.944,18,1,0
1,7,7,7.0,1.0,7,1,0
1,77,77,77.0,0.403,77,6,0
1,40,40,40.0,0.875,40,3,0
1,28,28,28.0,0.964,28,1,0
1,35,35,35.0,0.829,35,3,0
1,14,14,14.0,0.571,14,4,0
1,23,23,23.0,0.826,23,1,0
1,79,79,79.0,0.608,79,7,0
1,11,11,11.0,0.727,11,2,0
1,98,98,98.0,0.939,98,3,0
1,13,13,13.0,0.692,13,3,0
1,17,17,17.0,0.824,17,3,0
1,15,15,15.0,0.867,15,2,0
9,13,117,1.444,0.103,88,3,0
6,7,42,1.167,0.238,29,1,0
1,42,42,42.0,0.31,42,5,0
2,176,352,88.0,0.528,213,6,0
1,39,39,39.0,0.897,39,4,0
1,44,44,44.0,0.909,44,2,0
1,14,14,14.0,0.929,14,1,0
1,36,36,36.0,0.583,36,5,0
1,17,17,17.0,0.765,17,2,0
2,14,28,7.0,0.286,23,1,0
3,183,549,61.0,0.488,317,9,0
1,29,29,29.0,1.0,29,1,0
1,14,14,14.0,0.929,14,1,0
1,45,45,45.0,0.933,45,2,0
25,300,7500,12.0,0.065,531,12,0
2,50,100,25.0,0.46,51,3,0
2,204,408,102.0,0.412,278,16,0
6,142,852,23.667,0.115,147,15,0
1,14,14,14.0,0.857,14,1,0
1,69,69,69.0,0.841,69,7,0
1,84,84,84.0,0.917,84,4,0
1,73,73,73.0,0.616,73,12,0
21,2,42,0.095,0.738,31,1,0
1,147,147,147.0,0.864,147,11,0
1,17,17,17.0,0.941,17,1,0
2,6,12,3.0,0.667,12,2,0
