Attr0,Attr1,Attr2,Attr3,Attr4,Attr8,Attr9,class
3,59.0,177.0,19.667,0.475,84.0,1.0,0
2,20.0,40.0,10.0,0.675,27.0,1.0,0
2,101.0,202.0,50.5,0.54,150.0,10.0,0
4,194.0,776.0,48.5,0.263,212.0,6.0,0
2,22.0,44.0,11.0,0.75,33.0,1.0,0
2,18.0,36.0,9.0,0.806,30.0,1.0,0
2,22.0,44.0,11.0,0.705,38.0,2.0,0
3,116.0,348.0,38.667,0.385,172.0,4.0,0
1,10.0,10.0,10.0,1.0,10.0,1.0,0
1,13.0,13.0,13.0,1.0,13.0,1.0,0
1,8.0,8.0,8.0,1.0,8.0,1.0,0
1,44.0,44.0,44.0,0.25,44.0,5.0,0
2,20.0,40.0,10.0,0.725,35.0,1.0,0
2,20.0,40.0,10.0,0.775,34.0,1.0,0
3,113.0,339.0,37.667,0.357,128.0,4.0,0
2,48.0,96.0,24.0,0.625,65.0,2.0,0
2,18.0,36.0,9.0,0.722,26.0,1.0,0
1,17.0,17.0,17.0,0.765,17.0,4.0,0
1,8.0,8.0,8.0,1.0,8.0,1.0,0
2,69.0,138.0,34.5,0.623,125.0,8.0,0
2,46.0,92.0,23.0,0.587,70.0,3.0,0
1,57.0,57.0,57.0,0.456,57.0,7.0,0
1,10.0,10.0,10.0,0.9,10.0,1.0,0
2,116.0,232.0,58.0,0.616,186.0,8.0,0
2,17.0,34.0,8.5,0.588,33.0,3.0,0
1,43.0,43.0,43.0,0.907,43.0,4.0,0
10,2.0,20.0,0.2,0.55,12.0,1.0,0
2,112.0,224.0,56.0,0.496,113.0,2.0,0
1,45.0,45.0,45.0,0.756,45.0,6.0,0
1,75.0,75.0,75.0,0.813,75.0,11.0,0
2,157.0,314.0,78.5,0.506,173.0,6.0,0
1,32.0,32.0,32.0,0.719,32.0,4.0,0
1,52.0,52.0,52.0,0.788,52.0,4.0,0
1,13.0,13.0,13.0,0.692,13.0,2.0,0
2,123.0,246.0,61.5,0.5,124.0,1.0,0
1,36.0,36.0,36.0,0.722,36.0,3.0,0
1,19.0,19.0,19.0,0.789,19.0,4.0,0
1,9.0,9.0,9.0,0.778,9.0,1.0,0
2,446.0,892.0,223.0,0.439,538.0,22.0,0
2,236.0,472.0,118.0,0.566,325.0,26.0,0
1,61.0,61.0,61.0,1.0,61.0,1.0,0
3,213.0,639.0,71.0,0.318,242.0,17.0,0
1,51.0,51.0,51.0,0.471,51.0,10.0,0
19,462.0,8778.0,24.316,0.523,6035.0,272.0,0
1,52.0,52.0,52.0,0.538,52.0,2.0,0
1,33.0,33.0,33.0,1.0,33.0,1.0,0
1,124.0,124.0,124.0,0.444,124.0,7.0,0
1,75.0,75.0,75.0,0.92,75.0,6.0,0
1,8.0,8.0,8.0,0.875,8.0,1.0,0
1,40.0,40.0,40.0,1.0,40.0,1.0,0
1,55.0,55.0,55.0,0.564,55.0,3.0,0
1,115.0,115.0,115.0,0.2,115.0,5.0,0
1,11.0,11.0,11.0,1.0,11.0,1.0,0
1,46.0,46.0,46.0,0.783,46.0,3.0,0
2,64.0,128.0,32.0,0.531,75.0,4.0,0
