Attr0,Attr1,Attr2,Attr3,Attr4,Attr8,Attr9,class
3.0,59.0,177.0,19.667,0.475,84.0,1.0,0
2.0,20.0,40.0,10.0,0.675,27.0,1.0,0
2.0,101.0,202.0,50.5,0.54,150.0,10.0,0
4.0,194.0,776.0,48.5,0.263,212.0,6.0,0
2.0,22.0,44.0,11.0,0.75,33.0,1.0,0
2.0,18.0,36.0,9.0,0.806,30.0,1.0,0
2.0,22.0,44.0,11.0,0.705,38.0,2.0,0
3.0,116.0,348.0,38.667,0.385,172.0,4.0,0
1.0,10.0,10.0,10.0,1.0,10.0,1.0,0
1.0,13.0,13.0,13.0,1.0,13.0,1.0,0
1.0,8.0,8.0,8.0,1.0,8.0,1.0,0
1.0,44.0,44.0,44.0,0.25,44.0,5.0,0
2.0,20.0,40.0,10.0,0.725,35.0,1.0,0
2.0,20.0,40.0,10.0,0.775,34.0,1.0,0
3.0,113.0,339.0,37.667,0.357,128.0,4.0,0
2.0,48.0,96.0,24.0,0.625,65.0,2.0,0
2.0,18.0,36.0,9.0,0.722,26.0,1.0,0
1.0,17.0,17.0,17.0,0.765,17.0,4.0,0
1.0,8.0,8.0,8.0,1.0,8.0,1.0,0
2.0,69.0,138.0,34.5,0.623,125.0,8.0,0
2.0,46.0,92.0,23.0,0.587,70.0,3.0,0
1.0,57.0,57.0,57.0,0.456,57.0,7.0,0
1.0,10.0,10.0,10.0,0.9,10.0,1.0,0
2.0,116.0,232.0,58.0,0.616,186.0,8.0,0
2.0,17.0,34.0,8.5,0.588,33.0,3.0,0
1.0,43.0,43.0,43.0,0.907,43.0,4.0,0
10.0,2.0,20.0,0.2,0.55,12.0,1.0,0
2.0,112.0,224.0,56.0,0.496,113.0,2.0,0
1.0,45.0,45.0,45.0,0.756,45.0,6.0,0
1.0,75.0,75.0,75.0,0.813,75.0,11.0,0
2.0,157.0,314.0,78.5,0.506,173.0,6.0,0
1.0,32.0,32.0,32.0,0.719,32.0,4.0,0
1.0,52.0,52.0,52.0,0.788,52.0,4.0,0
1.0,13.0,13.0,13.0,0.692,13.0,2.0,0
2.0,123.0,246.0,61.5,0.5,124.0,1.0,0
1.0,36.0,36.0,36.0,0.722,36.0,3.0,0
1.0,19.0,19.0,19.0,0.789,19.0,4.0,0
1.0,9.0,9.0,9.0,0.778,9.0,1.0,0
2.0,446.0,892.0,223.0,0.439,538.0,22.0,0
2.0,236.0,472.0,118.0,0.566,325.0,26.0,0
1.0,61.0,61.0,61.0,1.0,61.0,1.0,0
3.0,213.0,639.0,71.0,0.318,242.0,17.0,0
1.0,51.0,51.0,51.0,0.471,51.0,10.0,0
19.0,462.0,8778.0,24.316,0.523,6035.0,272.0,0
1.0,52.0,52.0,52.0,0.538,52.0,2.0,0
1.0,33.0,33.0,33.0,1.0,33.0,1.0,0
1.0,124.0,124.0,124.0,0.444,124.0,7.0,0
1.0,75.0,75.0,75.0,0.92,75.0,6.0,0
1.0,8.0,8.0,8.0,0.875,8.0,1.0,0
1.0,40.0,40.0,40.0,1.0,40.0,1.0,0
1.0,55.0,55.0,55.0,0.564,55.0,3.0,0
1.0,115.0,115.0,115.0,0.2,115.0,5.0,0
1.0,11.0,11.0,11.0,1.0,11.0,1.0,0
1.0,46.0,46.0,46.0,0.783,46.0,3.0,0
2.0,64.0,128.0,32.0,0.531,75.0,4.0,0
4.0,115.0,460.0,28.75,0.426,224.0,11.0,0
1.0,48.0,48.0,48.0,0.875,48.0,4.0,0
1.0,29.0,29.0,29.0,0.586,29.0,8.0,0
1.0,17.0,17.0,17.0,0.412,17.0,4.0,0
28.0,330.0,9240.0,11.786,0.057,614.0,17.0,0
3.0,286.0,858.0,95.333,0.406,366.0,4.0,0
1.0,18.0,18.0,18.0,0.944,18.0,1.0,0
1.0,7.0,7.0,7.0,1.0,7.0,1.0,0
1.0,77.0,77.0,77.0,0.403,77.0,6.0,0
1.0,40.0,40.0,40.0,0.875,40.0,3.0,0
1.0,28.0,28.0,28.0,0.964,28.0,1.0,0
1.0,35.0,35.0,35.0,0.829,35.0,3.0,0
1.0,14.0,14.0,14.0,0.571,14.0,4.0,0
1.0,23.0,23.0,23.0,0.826,23.0,1.0,0
1.0,79.0,79.0,79.0,0.608,79.0,7.0,0
1.0,11.0,11.0,11.0,0.727,11.0,2.0,0
1.0,98.0,98.0,98.0,0.939,98.0,3.0,0
1.0,13.0,13.0,13.0,0.692,13.0,3.0,0
1.0,17.0,17.0,17.0,0.824,17.0,3.0,0
1.0,15.0,15.0,15.0,0.867,15.0,2.0,0
9.0,13.0,117.0,1.444,0.103,88.0,3.0,0
6.0,7.0,42.0,1.167,0.238,29.0,1.0,0
1.0,42.0,42.0,42.0,0.31,42.0,5.0,0
2.0,176.0,352.0,88.0,0.528,213.0,6.0,0
1.0,39.0,39.0,39.0,0.897,39.0,4.0,0
1.0,44.0,44.0,44.0,0.909,44.0,2.0,0
1.0,14.0,14.0,14.0,0.929,14.0,1.0,0
1.0,36.0,36.0,36.0,0.583,36.0,5.0,0
1.0,17.0,17.0,17.0,0.765,17.0,2.0,0
2.0,14.0,28.0,7.0,0.286,23.0,1.0,0
3.0,183.0,549.0,61.0,0.488,317.0,9.0,0
1.0,29.0,29.0,29.0,1.0,29.0,1.0,0
1.0,14.0,14.0,14.0,0.929,14.0,1.0,0
1.0,45.0,45.0,45.0,0.933,45.0,2.0,0
25.0,300.0,7500.0,12.0,0.065,531.0,12.0,0
2.0,50.0,100.0,25.0,0.46,51.0,3.0,0
2.0,204.0,408.0,102.0,0.412,278.0,16.0,0
6.0,142.0,852.0,23.667,0.115,147.0,15.0,0
1.0,14.0,14.0,14.0,0.857,14.0,1.0,0
1.0,69.0,69.0,69.0,0.841,69.0,7.0,0
1.0,84.0,84.0,84.0,0.917,84.0,4.0,0
1.0,73.0,73.0,73.0,0.616,73.0,12.0,0
21.0,2.0,42.0,0.095,0.738,31.0,1.0,0
1.0,147.0,147.0,147.0,0.864,147.0,11.0,0
1.0,17.0,17.0,17.0,0.941,17.0,1.0,0
2.0,6.0,12.0,3.0,0.667,12.0,2.0,0
3.0,54.0,162.0,18.0,0.364,84.0,7.0,0
3.0,11.0,33.0,3.667,0.364,22.0,4.0,0
3.0,304.0,912.0,101.33,0.555,626.0,12.0,0
3.0,259.0,777.0,86.333,0.411,374.0,24.0,0
5.0,333.0,1665.0,66.6,0.374,688.0,17.0,0
2.0,6.0,12.0,3.0,0.667,12.0,2.0,0
2.0,49.0,98.0,24.5,0.51,50.0,1.0,0
1.0,114.0,114.0,114.0,0.939,114.0,5.0,0
1.0,41.0,41.0,41.0,0.927,41.0,3.0,0
1.0,27.0,27.0,27.0,0.407,27.0,6.0,0
1.0,41.0,41.0,41.0,0.78,41.0,7.0,0
1.0,22.0,22.0,22.0,0.5,22.0,6.0,0
1.0,65.0,65.0,65.0,0.646,65.0,14.0,0
7.0,46.0,322.0,6.571,0.177,98.0,7.0,0
2.0,9.0,18.0,4.5,0.556,10.0,1.0,0
2.0,46.0,92.0,23.0,0.511,51.0,1.0,0
1.0,127.0,127.0,127.0,0.646,127.0,6.0,0
1.0,13.0,13.0,13.0,0.846,13.0,2.0,0
3.0,129.0,387.0,43.0,0.305,146.0,10.0,0
5.0,7.0,35.0,1.4,0.2,11.0,1.0,0
6.0,47.0,282.0,7.833,0.202,57.0,1.0,0
4.0,19.0,76.0,4.75,0.276,29.0,4.0,0
1.0,47.0,47.0,47.0,1.0,47.0,1.0,0
1.0,86.0,86.0,86.0,0.93,86.0,2.0,0
1.0,17.0,17.0,17.0,1.0,17.0,1.0,0
1.0,19.0,19.0,19.0,0.737,19.0,3.0,0
6.0,21.0,126.0,3.5,0.246,32.0,1.0,0
8.0,16.0,128.0,2.0,0.398,89.0,20.0,0
2.0,14.0,28.0,7.0,0.464,15.0,1.0,0
2.0,536.0,1072.0,268.0,0.505,549.0,3.0,0
2.0,536.0,1072.0,268.0,0.538,790.0,19.0,0
2.0,535.0,1070.0,267.5,0.564,657.0,15.0,0
2.0,536.0,1072.0,268.0,0.537,667.0,24.0,0
2.0,536.0,1072.0,268.0,0.498,571.0,13.0,0
2.0,535.0,1070.0,267.5,0.648,984.0,59.0,0
2.0,536.0,1072.0,268.0,0.532,598.0,19.0,0
2.0,535.0,1070.0,267.5,0.545,673.0,24.0,0
3.0,536.0,1608.0,178.67,0.341,567.0,9.0,0
3.0,470.0,1410.0,156.67,0.352,545.0,21.0,0
2.0,64.0,128.0,32.0,0.43,77.0,14.0,0
1.0,257.0,257.0,257.0,1.0,257.0,1.0,0
2.0,537.0,1074.0,268.5,0.507,567.0,3.0,0
2.0,537.0,1074.0,268.5,0.594,703.0,30.0,0
3.0,537.0,1611.0,179.0,0.345,652.0,25.0,0
2.0,537.0,1074.0,268.5,0.51,574.0,11.0,0
2.0,98.0,196.0,49.0,0.48,128.0,10.0,0
2.0,415.0,830.0,207.5,0.505,480.0,25.0,0
2.0,63.0,126.0,31.5,0.341,64.0,4.0,0
2.0,475.0,950.0,237.5,0.504,517.0,5.0,0
2.0,99.0,198.0,49.5,0.253,122.0,11.0,0
2.0,537.0,1074.0,268.5,0.52,667.0,21.0,0
1.0,537.0,537.0,537.0,1.0,537.0,1.0,0
1.0,63.0,63.0,63.0,1.0,63.0,1.0,0
1.0,186.0,186.0,186.0,0.828,186.0,17.0,0
1.0,214.0,214.0,214.0,1.0,214.0,1.0,0
1.0,62.0,62.0,62.0,0.984,62.0,1.0,0
1.0,148.0,148.0,148.0,0.986,148.0,2.0,0
1.0,278.0,278.0,278.0,0.946,278.0,9.0,0
1.0,26.0,26.0,26.0,1.0,26.0,1.0,0
1.0,13.0,13.0,13.0,1.0,13.0,1.0,0
1.0,145.0,145.0,145.0,0.972,145.0,4.0,0
1.0,36.0,36.0,36.0,0.306,36.0,6.0,0
1.0,81.0,81.0,81.0,0.901,81.0,3.0,0
1.0,187.0,187.0,187.0,0.963,187.0,7.0,0
2.0,538.0,1076.0,269.0,0.519,736.0,16.0,0
2.0,538.0,1076.0,269.0,0.637,756.0,23.0,0
2.0,537.0,1074.0,268.5,0.538,596.0,7.0,0
3.0,538.0,1614.0,179.33,0.37,685.0,27.0,0
3.0,537.0,1611.0,179.0,0.353,587.0,8.0,0
2.0,537.0,1074.0,268.5,0.621,802.0,40.0,0
2.0,537.0,1074.0,268.5,0.538,638.0,18.0,0
2.0,537.0,1074.0,268.5,0.556,704.0,24.0,0
2.0,537.0,1074.0,268.5,0.537,654.0,26.0,0
2.0,537.0,1074.0,268.5,0.523,609.0,9.0,0
2.0,535.0,1070.0,267.5,0.55,627.0,5.0,0
2.0,32.0,64.0,16.0,0.516,34.0,1.0,0
2.0,536.0,1072.0,268.0,0.568,737.0,25.0,0
6.0,39.0,234.0,6.5,0.192,46.0,1.0,0
12.0,278.0,3336.0,23.167,0.11,479.0,23.0,0
1.0,22.0,22.0,22.0,0.955,22.0,1.0,0
1.0,54.0,54.0,54.0,0.944,54.0,3.0,0
1.0,16.0,16.0,16.0,1.0,16.0,1.0,0
1.0,413.0,413.0,413.0,0.998,413.0,1.0,0
1.0,15.0,15.0,15.0,0.867,15.0,1.0,0
1.0,180.0,180.0,180.0,0.983,180.0,2.0,0
1.0,11.0,11.0,11.0,1.0,11.0,1.0,0
1.0,7.0,7.0,7.0,1.0,7.0,1.0,0
1.0,379.0,379.0,379.0,0.963,379.0,6.0,0
1.0,14.0,14.0,14.0,0.643,14.0,3.0,0
2.0,16.0,32.0,8.0,0.25,17.0,3.0,0
1.0,19.0,19.0,19.0,0.579,19.0,3.0,0
1.0,136.0,136.0,136.0,0.963,136.0,4.0,0
1.0,12.0,12.0,12.0,0.75,12.0,1.0,0
1.0,14.0,14.0,14.0,0.643,14.0,2.0,0
1.0,15.0,15.0,15.0,0.733,15.0,3.0,0
1.0,14.0,14.0,14.0,1.0,14.0,1.0,0
1.0,104.0,104.0,104.0,0.971,104.0,2.0,0
1.0,78.0,78.0,78.0,0.949,78.0,3.0,0
4.0,9.0,36.0,2.25,0.611,22.0,1.0,0
1.0,36.0,36.0,36.0,0.583,36.0,4.0,0
1.0,117.0,117.0,117.0,0.974,117.0,3.0,0
1.0,47.0,47.0,47.0,0.532,47.0,1.0,0
7.0,1.0,7.0,0.143,1.0,7.0,1.0,0
1.0,52.0,52.0,52.0,0.962,52.0,2.0,0
1.0,27.0,27.0,27.0,0.259,27.0,5.0,0
1.0,39.0,39.0,39.0,0.308,39.0,7.0,0
1.0,34.0,34.0,34.0,0.353,34.0,7.0,0
3.0,106.0,318.0,35.333,0.258,108.0,13.0,0
1.0,255.0,255.0,255.0,0.686,255.0,36.0,0
1.0,10.0,10.0,10.0,1.0,10.0,1.0,0
1.0,9.0,9.0,9.0,0.889,9.0,1.0,0
1.0,19.0,19.0,19.0,0.632,19.0,3.0,0
1.0,44.0,44.0,44.0,0.727,44.0,6.0,0
1.0,14.0,14.0,14.0,1.0,14.0,1.0,0
1.0,30.0,30.0,30.0,0.4,30.0,5.0,0
1.0,94.0,94.0,94.0,0.564,94.0,16.0,0
1.0,193.0,193.0,193.0,0.57,193.0,37.0,0
1.0,159.0,159.0,159.0,0.975,159.0,2.0,0
1.0,32.0,32.0,32.0,0.469,32.0,8.0,0
7.0,14.0,98.0,2.0,0.102,20.0,1.0,0
