Attr0,Attr1,Attr2,Attr3,Attr5,Attr6,Attr7,class
0.0,0.55938,0.39565,0.14598873,0.33949783,0.28386885,0.2723332,1.0
2.0,0.48903492,0.50413406,0.2302415,0.38463518,0.19578713,0.2870969,1.0
0.0,0.6158636,0.43264437,0.12582503,0.2188006,0.30419445,0.31708315,1.0
0.0,0.65625006,0.34875602,0.12320977,0.41783962,0.069086626,0.1302179,1.0
2.0,0.51442945,0.33411717,0.12000009,0.19627722,0.20683537,0.26342165,1.0
0.0,0.5698509,0.31814048,0.15171093,0.22235157,0.25633782,0.30198008,1.0
2.0,0.62159467,0.5370275,0.17800148,0.43125746,0.35119927,0.36263528,1.0
0.0,0.5143728,0.49439764,0.19177604,0.5189843,0.15038784,0.32160076,1.0
2.0,0.644181,0.4718708,0.14561701,0.5726687,0.07617319,0.4750942,1.0
0.0,0.439482,0.46218094,0.16281174,0.32260334,0.17006414,0.30036864,1.0
2.0,0.637803,0.48869374,0.17978367,0.36966044,0.32141626,0.33412367,1.0
0.0,0.7449996,0.585,0.13644215,0.8435,0.437,0.92034376,1.0
0.0,0.5633287,0.5274762,0.16287352,0.62477773,0.28357184,0.45238698,1.0
0.0,0.52081865,0.44657338,0.1399876,0.1707067,0.13090467,0.2480072,1.0
2.0,0.43514553,0.46250683,0.12,0.19786009,0.07575407,0.37407815,1.0
0.0,0.5671224,0.4735848,0.1665181,0.25743353,0.25610816,0.32323185,1.0
0.0,0.61787397,0.47765532,0.16797197,0.54843765,0.19593367,0.35569626,1.0
0.0,0.57354313,0.5306474,0.18888961,0.8148785,0.41766986,0.64971685,1.0
2.0,0.71103656,0.52734625,0.17509282,0.7652777,0.30228323,0.39841524,1.0
0.0,0.6483981,0.317254,0.1256562,0.26060948,0.26323053,0.4427664,1.0
0.0,0.5661233,0.4133648,0.140822,0.6006324,0.10791853,0.30479884,1.0
0.0,0.6420577,0.48862723,0.1688295,0.50365853,0.17505649,0.45508033,1.0
1.5939518,0.4628752,0.3877789,0.14306383,0.14416729,0.20051688,0.16202332,1.0
0.55439794,0.42758453,0.3169963,0.13132781,0.1147695,0.10782873,0.13003592,1.0
2.0,0.54608446,0.5200829,0.15897754,0.49521366,0.36633265,0.57379746,1.0
0.0,0.5921256,0.5726706,0.16949125,0.44376695,0.28347662,0.31957537,1.0
2.0,0.6634698,0.5692691,0.19249602,0.4193895,0.33093873,0.33409545,1.0
2.0,0.6501344,0.48124927,0.22874352,0.51241744,0.26158574,0.48459885,1.0
0.0,0.6794661,0.58496124,0.23968837,0.51021844,0.30222687,1.0047964,1.0
2.0,0.70250255,0.46382335,0.23963669,0.6143852,0.19600351,0.92437273,1.0
0.0,0.5497084,0.41457155,0.19380866,0.11859078,0.16656645,0.29485506,1.0
2.0,0.61903733,0.51114297,0.19928598,0.3924284,0.34611055,0.7568246,1.0
2.0,0.6500626,0.43506998,0.23821332,0.12332587,0.43137458,0.53899693,1.0
0.0,0.557924,0.57275903,0.14962362,0.5029253,0.16367278,0.26845625,1.0
2.0,0.7361197,0.5274845,0.172998,0.72354,0.29522207,0.16735157,1.0
0.0,0.5527681,0.41542718,0.16993786,0.14209794,0.26123312,0.27377838,1.0
1.3060302,0.5817011,0.44661316,0.12023418,0.11893764,0.08024864,0.38715833,1.0
2.0,0.5400191,0.39741436,0.14302574,0.6561459,0.29938975,0.65397996,1.0
2.0,0.45029733,0.44563812,0.17474566,0.32576907,0.13728982,0.36813566,1.0
0.0,0.4309073,0.49598467,0.19380412,0.6787015,0.27013606,0.4406153,1.0
2.0,0.5818073,0.5270335,0.14475486,0.49617556,0.086829804,0.26238787,1.0
1.9175123,0.600638,0.49311346,0.120380834,0.8416181,0.20377716,0.44439116,1.0
2.0,0.6379605,0.42987177,0.12484089,0.11889365,0.1803684,0.38151884,1.0
0.0,0.57666576,0.4433824,0.1866515,0.3658715,0.22337843,0.26058987,1.0
2.0,0.6136141,0.5261698,0.16147839,0.8247419,0.28515008,0.94142187,1.0
2.0,0.6392781,0.41188088,0.16751343,0.12783812,0.08202145,0.15362638,1.0
0.0,0.61227876,0.46012732,0.17362373,0.48036304,0.31820944,0.50098217,1.0
0.72899026,0.42553818,0.46139932,0.13403039,0.1135246,0.05662167,0.15929309,1.0
2.0,0.65977234,0.5424232,0.17078102,0.22353181,0.07694593,0.7781754,1.0
0.0,0.44328728,0.4772987,0.15055944,0.6082566,0.15831889,0.19521917,1.0
0.0,0.5546457,0.43297648,0.18214981,0.59306484,0.26452628,0.30805564,1.0
2.0,0.48738375,0.4874806,0.13020888,0.62728065,0.19091812,0.39935568,1.0
2.0,0.425,0.315,0.122325785,0.1135,0.0565,0.13000655,1.0
2.0,0.6535402,0.5631241,0.17799295,0.7370231,0.34525323,0.791221,1.0
2.0,0.7424391,0.48567396,0.18436587,0.80343056,0.36993578,0.48655292,1.0
2.0,0.7274532,0.48288614,0.21235654,0.54549867,0.29697838,0.829957,1.0
0.0,0.5494152,0.46709013,0.12455719,0.11372995,0.18045098,0.3360355,1.0
0.0,0.5037779,0.52280915,0.17469124,0.32097274,0.18965761,0.3211269,1.0
0.0,0.59637815,0.5256308,0.18277246,0.21457541,0.22648664,0.3227809,1.0
0.0,0.5192518,0.4902084,0.13151711,0.7564583,0.100970566,0.21699807,1.0
2.0,0.66329664,0.438355,0.14040445,0.36789256,0.33755398,0.4462212,1.0
0.0,0.55198157,0.36870348,0.14962862,0.5058915,0.16209257,0.33309662,1.0
0.0,0.7435415,0.5849999,0.21861202,0.8435,0.43699092,0.99160945,1.0
0.0,0.53906804,0.5027729,0.1898676,0.5671426,0.16038722,0.32867643,1.0
0.0,0.65867954,0.46415448,0.16715363,0.35643238,0.24390985,0.13548733,1.0
0.0,0.7035656,0.5233358,0.17469253,0.33964103,0.32955563,0.26888022,1.0
0.0,0.6137117,0.49900174,0.22649783,0.20013492,0.34104994,0.35142234,1.0
2.0,0.54525864,0.47127792,0.2299691,0.44189215,0.27480713,0.26419643,1.0
2.0,0.6331755,0.41875786,0.12254567,0.35165086,0.33110276,0.16614538,1.0
1.9124883,0.64514685,0.4603882,0.14494842,0.24631609,0.08902432,0.13842426,1.0
2.0,0.72833496,0.5263344,0.22802243,0.3773204,0.21378638,0.8934569,1.0
0.0,0.63945645,0.4519416,0.1463352,0.13083051,0.37738377,0.29731223,1.0
2.0,0.57566106,0.49160826,0.17469043,0.39113918,0.1828522,0.8493657,1.0
2.0,0.590479,0.48058617,0.2360477,0.6755465,0.2631911,0.91202366,1.0
2.0,0.70712733,0.5178857,0.19397661,0.72375834,0.22207706,0.25015786,1.0
2.0,0.44376722,0.33303884,0.13057081,0.24044475,0.2808427,0.19588743,1.0
2.0,0.4320845,0.3518895,0.15755318,0.17033735,0.29913542,0.318722,1.0
0.0,0.44826952,0.42612508,0.15359104,0.307928,0.12495569,0.3698223,1.0
0.0,0.4269405,0.315003,0.12388084,0.113501444,0.056515716,0.13003372,1.0
0.0,0.564557,0.4890551,0.22946732,0.525966,0.29173777,0.43450847,1.0
0.0,0.56316775,0.47805178,0.19444904,0.13429798,0.26122975,0.7295551,1.0
