Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,class
0.51108843,0.4358114,0.48,0.5,0.43144298,0.8509108,0.8432015,1.0
0.57611835,0.5363397,0.48,0.5,0.5591763,0.7712515,0.791717,1.0
0.4418873,0.6488861,0.48,0.5,0.572991,0.78689414,0.7373321,1.0
0.34413898,0.49996522,0.48,0.5,0.5287576,0.93880534,0.9349371,1.0
0.5969926,0.4952909,0.48,0.5,0.73351693,0.7556305,0.77863073,1.0
0.536341,0.47921714,0.48,0.5,0.53089225,0.84133726,0.8270127,1.0
0.11900062,0.5590138,0.48,0.5,0.5584726,0.9081579,0.93759805,1.0
0.64435977,0.58896756,0.48,0.5,0.24369857,0.8020901,0.80408484,1.0
0.35503942,0.54263496,0.48,0.5,0.5208038,0.82382566,0.83850265,1.0
0.62764525,0.3406276,0.48,0.5,0.5285142,0.7879499,0.8199897,1.0
0.22875263,0.7440208,0.48,0.5,0.5557948,0.80394715,0.78243256,1.0
0.623616,0.59218144,0.99999416,0.5,0.050958987,0.6578737,0.7991466,1.0
0.5861942,0.39841625,0.48,0.5,0.7154644,0.58296686,0.7270793,1.0
0.5911474,0.7307275,0.48,0.5,0.6483777,0.67608434,0.4096132,1.0
0.5421028,0.49700356,0.48,0.5,0.34854448,0.7374226,0.6097031,1.0
0.49791965,0.5187186,0.48,0.5,0.7142093,0.77597296,0.80416644,1.0
0.028428532,0.44266638,0.48,0.5,0.45266393,0.8246116,0.1702702,1.0
0.7394261,0.52875024,0.48,0.5,0.5946385,0.6937983,0.71601707,1.0
0.53411007,0.51512307,1.0,0.5,0.48717394,0.9163406,0.6848357,1.0
0.74964845,0.73931694,0.48,0.5,0.6947064,0.65877193,0.66667956,1.0
0.33127454,0.36599976,0.48,0.5,0.6584713,0.7855278,0.80172586,1.0
0.34133992,0.48811027,0.48,0.5,0.5671368,0.926109,0.91170996,1.0
0.40507513,0.4945776,0.48,0.5,0.38075697,0.82544106,0.8045415,1.0
0.62500554,0.51513046,0.48,0.5,0.7399999,0.3911851,0.33330834,1.0
0.311708,0.50227946,0.48,0.5,0.14702219,0.7007049,0.38564107,1.0
0.40857095,0.38817465,0.48,0.5,0.55586314,0.8343155,0.8265915,1.0
0.0,0.49310797,0.48,0.5,0.65892583,0.66679716,0.71945524,1.0
0.79073966,0.47315094,0.48,0.5,0.574033,0.7718658,0.7907004,1.0
0.659842,0.50017315,0.48,0.5,0.6815083,0.7766197,0.80464786,1.0
0.25433198,0.42776436,0.48,0.5,0.4806819,0.833061,0.5950735,1.0
0.8583993,0.508468,0.48,0.5,0.6170562,0.8687353,0.8693746,1.0
