Attr0,Attr1,Attr2,Attr3,class
4.461675,3.4,1.2653413,0.14228745,1.0
4.6846437,3.043477,1.4,0.2,1.0
5.7991877,4.395994,1.6972992,0.2,1.0
5.2518077,3.1890209,1.8959818,0.5995799,1.0
5.026108,2.9353702,1.4844872,0.1,1.0
5.020588,3.5246615,1.6,0.1,1.0
4.3820877,3.3891764,1.005569,0.18619497,1.0
5.294629,4.191902,1.6652346,0.5759087,1.0
5.402815,3.145268,1.4151996,0.2,1.0
5.4690933,3.5329137,1.4,0.51239866,1.0
4.79725,4.397978,1.4,0.2,1.0
4.310075,3.01964,1.0016907,0.1,1.0
5.1045103,3.060292,1.6,0.2,1.0
5.029686,2.8115053,1.5345067,0.46958113,1.0
4.943507,3.4,1.5,0.48922983,1.0
4.91694,3.8599896,1.5,0.51992875,1.0
4.9234223,2.6627252,1.6,0.2,1.0
4.3927236,3.1470919,1.582989,0.1,1.0
5.150525,3.3537335,1.4698906,0.5623582,1.0
4.75511,3.541264,1.8782568,0.2,1.0
4.3014135,3.4,1.3532534,0.1,1.0
4.464618,3.7791512,1.8252084,0.22451909,1.0
5.0,3.7280748,1.6646572,0.57368326,1.0
5.608962,2.917149,1.5722587,0.23239839,1.0
5.0,2.6697323,1.5,0.10809362,1.0
5.0,3.0634286,1.6,0.2,1.0
5.7926774,4.37308,1.0072877,0.2,1.0
4.5872827,3.2344654,1.6,0.1,1.0
5.720556,3.6992557,1.5,0.2,1.0
4.6935825,3.3198168,1.3889896,0.593383,1.0
5.0898576,3.7452137,1.4,0.3644038,1.0
4.5356693,2.9025927,1.153876,0.38114575,1.0
5.221258,3.0668225,1.7269524,0.47371423,1.0
4.6886954,3.2504659,1.4675472,0.21230954,1.0
5.2471046,3.720524,1.8345634,0.34452915,1.0
4.9951153,3.6498754,1.6048943,0.2953105,1.0
5.197844,3.745096,1.8078679,0.35892427,1.0
5.407883,4.3576093,1.5,0.2,1.0
5.0517883,3.8893847,1.4710423,0.2,1.0
5.241341,3.4,1.4001012,0.2,1.0
5.250425,3.5751262,1.3136744,0.49338555,1.0
4.779656,2.6947422,1.0846559,0.37795463,1.0
5.3994823,3.9905803,1.6,0.49879578,1.0
4.7600164,3.0108767,1.4587607,0.25373548,1.0
5.421205,3.375385,1.3328182,0.4632518,1.0
4.3306556,2.3035955,1.3038925,0.4038553,1.0
4.7244306,3.1126697,1.5,0.2,1.0
5.0,3.4678576,1.5,0.1,1.0
5.0,3.4,1.5,0.1,1.0
5.0,2.9191434,1.0813277,0.2,1.0
4.491762,3.7112489,1.8130088,0.3067813,1.0
