Attr0,Attr1,Attr2,Attr3,class
18.340973,5.9122677,1522.6672,28.50653,1.0
8.4823,5.0746,1306.5721,27.719872,1.0
2.0,7.1539774,1779.4181,23.686626,1.0
6.0610023,5.2115664,1326.3143,29.678436,1.0
4.0,1.0000007,250.00024,2.3639965,1.0
4.0,3.9377894,1018.47363,8.858396,1.0
2.0,1.0,250.0,2.478683,1.0
2.5777895,1.9587656,495.64447,2.9066722,1.0
22.744286,1.0000015,250.00615,2.8075714,1.0
12.270063,9.999053,2610.6074,42.430325,1.0
18.732035,2.5553098,663.3987,56.50885,1.0
2.0,13.318032,3942.8337,90.18575,1.0
9.505892,5.670419,1400.4791,41.482265,1.0
4.0,1.0000012,250.00018,2.0000029,1.0
2.0,3.72112,893.8557,25.628942,1.0
2.3005571,12.377688,3413.422,75.90231,1.0
10.81895,7.326888,1663.2656,43.921207,1.0
15.102236,7.0805054,1796.7129,67.59439,1.0
2.0,11.032139,2741.9417,25.823647,1.0
15.730702,4.3187494,1018.0447,42.964283,1.0
1.5528289,13.406551,3417.0496,25.775652,1.0
2.0,3.735994,804.48254,2.7155406,1.0
12.263614,5.5835085,1411.1907,25.916813,1.0
4.0,4.1139183,1084.7648,26.508121,1.0
5.0649085,9.12699,2318.516,52.6057,1.0
21.75227,8.195021,2024.7456,45.848595,1.0
11.830233,1.0000006,250.00014,17.476261,1.0
1.9619093,9.782134,2470.1443,25.521793,1.0
2.0,8.693436,2390.4575,92.47081,1.0
2.0,5.5224752,1348.5216,6.168189,1.0
15.0969305,5.1543384,1288.2982,55.66707,1.0
0.2841342,6.3590007,1580.135,26.75964,1.0
4.0,1.8456546,475.76764,14.802448,1.0
11.887148,5.7809424,1444.149,20.526623,1.0
0.87859285,4.387637,1093.3972,27.26681,1.0
4.0,1.0000007,250.00026,2.2889712,1.0
15.43775,4.584065,1115.4445,45.93369,1.0
4.0,8.795702,2326.0688,43.291042,1.0
18.736416,5.296532,1309.901,40.220547,1.0
11.599702,5.850754,1537.4694,54.403866,1.0
3.4145105,7.002378,1725.6757,30.66374,1.0
2.0,4.4943266,1143.0227,14.1100645,1.0
17.052399,5.7595067,1531.6366,29.56886,1.0
2.0,5.4961348,1328.6377,17.325745,1.0
2.0,5.498438,1411.1671,61.760006,1.0
2.0,1.0,250.0,45.58328,1.0
4.0,24.972479,6287.766,78.08372,1.0
4.0,2.9048562,605.9037,21.535873,1.0
4.0,4.9887443,1205.8647,26.572235,1.0
2.0,34.2005,8840.451,81.92862,1.0
2.0,1.8487194,471.69818,20.75237,1.0
15.325165,11.044937,2952.758,58.873413,1.0
1.5091574,9.514257,2485.053,34.240784,1.0
5.700798,2.713129,682.74243,12.169875,1.0
2.0,3.3118103,762.32733,59.20051,1.0
3.4350975,3.8473792,971.17065,16.68855,1.0
10.183471,11.368447,2670.15,52.77327,1.0
4.0,40.716496,9810.43,48.6602,1.0
9.281581,3.1630933,639.338,14.404679,1.0
2.0,3.762049,1008.12305,10.065581,1.0
4.0,8.915136,2150.464,37.878906,1.0
2.0,5.430849,1417.2094,28.58923,1.0
3.9478686,12.632376,3321.4465,36.503815,1.0
4.331671,1.0,250.00017,29.668055,1.0
4.0,4.864837,1170.5632,46.86884,1.0
0.20583327,13.617864,3428.4663,28.62423,1.0
2.0,3.099963,750.7075,13.558793,1.0
2.0,7.6588807,1909.899,23.254326,1.0
0.49110708,12.555198,3305.3066,50.74525,1.0
4.699325,5.647767,1427.6687,46.14858,1.0
17.299517,8.005509,1985.6344,35.73745,1.0
4.9276433,1.0000012,250.00166,2.0,1.0
4.0,2.3135376,517.4434,44.767006,1.0
4.0,1.0000207,250.02045,6.130489,1.0
2.0,4.1414294,974.8039,11.673048,1.0
2.0,5.958279,1434.7511,40.106346,1.0
4.0,7.6411424,1992.1902,42.63879,1.0
4.0,4.148347,1042.9532,18.185974,1.0
2.0,3.9093673,887.8564,20.349586,1.0
9.142919,24.947618,10207.954,41.21059,1.0
1.1272279,3.6659365,729.6691,7.263128,1.0
11.458119,33.026447,7875.9785,84.60691,1.0
2.0,6.733996,1752.959,29.253342,1.0
4.0,18.700535,4930.312,60.574574,1.0
3.5452142,1.0000006,250.00018,2.3734045,1.0
2.0,4.726317,1137.0929,16.469807,1.0
3.7732317,4.9138436,1221.1924,26.622156,1.0
7.968673,7.1349607,1816.0077,43.71468,1.0
4.0,4.6892595,1119.1315,22.726603,1.0
