Attr0,Attr1,Attr2,Attr3,Attr4,Attr6,Attr7,Attr9,Attr10,Attr11,Attr12,class
1.0,13.999921,1.0,-3.3045714,0.27697083,1.9753408,0.07582901,-1.0027313,0.5461797,-0.19384927,1.0883152,1.0
1.0,13.301412,0.0,-1.1617097,-0.54218847,1.8546604,0.8571055,-0.8156272,0.6052053,-1.2625464,0.26866767,1.0
0.0,0.3511938,0.0,-1.1700218,-0.55116904,0.8295788,-0.35545468,0.55786425,1.1823769,-0.32117906,0.41564152,1.0
1.0,11.717601,0.0,-2.8388374,-0.84990615,1.6099381,-0.04227026,0.6273564,1.4322373,-0.71585745,-0.8346489,1.0
1.0,10.594442,0.0,-2.298304,0.53776366,1.2878863,0.5706652,0.21866305,-0.91382307,-1.5318695,0.010717274,1.0
0.0,0.16515927,0.0,-4.8105907,-0.8485271,0.8734244,0.09767049,0.85622865,-0.03556891,-1.4545238,-1.1442275,1.0
0.0,5.453272,0.0,-3.0654562,-0.36366352,0.6205696,-0.42016235,0.16325447,1.264686,-1.518518,-0.8181536,1.0
1.0,0.7783125,0.0,-1.9142541,-0.6630468,0.9234194,0.01847179,0.33481798,0.43107837,-0.42205682,-0.8660232,1.0
1.0,13.993091,1.0,-4.4926114,0.08697095,1.1103251,0.2760314,-0.045775138,-0.73385537,-0.30832696,-0.52918166,1.0
0.0,3.2828703,1.0,-1.8164656,-0.77725476,1.6169748,1.4938495,0.64234567,-1.2439041,-1.1894958,1.0096726,1.0
0.0,11.301006,0.0,-1.8502858,-0.17391606,0.34468046,0.41262528,1.0029539,1.3972367,-0.2755045,0.6790686,1.0
0.0,2.390902,0.0,-3.6531022,-0.802865,0.38912156,0.28958774,0.5107817,1.0609127,-1.4532686,-1.1975856,1.0
0.0,7.867893,1.0,-3.6223774,0.46600506,1.4653022,1.4929146,1.0206738,-1.0623395,-1.494726,0.22910601,1.0
1.0,13.20305,0.0,-3.6558776,-0.49519885,1.3126556,0.58790296,0.26494184,0.5082954,0.32071662,-0.9230309,1.0
0.0,10.171819,1.0,-1.4723344,0.086083874,1.3698143,1.523651,1.0410048,0.32963154,-0.80063725,-0.8812158,1.0
1.0,13.484095,1.0,-4.700466,1.3504068,0.40072596,1.267204,-0.67118937,0.4941331,-1.0472785,1.0356245,1.0
0.0,5.060771,1.0,-3.014796,0.017350193,1.8597404,1.7552332,0.9801486,-1.1490084,-0.2458641,0.34115142,1.0
0.0,1.5439508,1.0,-4.4872837,0.3245666,1.8936346,1.5360117,0.95822483,-1.2918453,-1.3381513,0.8632429,1.0
0.0,0.0,0.0,-4.064863,0.11141139,1.8883562,-0.30575135,-0.96382016,0.7507307,-1.144371,-0.6057942,1.0
0.0,9.647036,1.0,-4.978437,-0.8849431,1.724662,0.49380693,0.97422284,-1.2408422,-1.4374818,1.0159528,1.0
0.0,5.976496,1.0,-3.4999692,-0.7110187,1.5223402,1.1152445,0.9784279,-0.9911209,0.18057756,0.9601668,1.0
0.0,4.6614246,1.0,-2.0063815,-0.072714694,1.0431145,0.84364676,-0.45239785,-0.4888615,-1.2390522,-0.67364436,1.0
1.0,12.893927,1.0,-5.02982,-0.3593015,1.0171219,1.2198359,-0.71269774,0.9004199,-0.30850762,-0.5122597,1.0
0.0,0.0,0.0,-3.5348933,0.38763124,0.87669927,-0.3009416,-0.7260713,1.0247749,-0.079260245,-1.0678133,1.0
1.0,11.080867,1.0,-4.5716076,-0.49862042,2.1553347,0.1753478,-0.93549526,-0.048479166,0.51212496,0.3945348,1.0
0.0,1.6641861e-05,0.0,-1.1209241,0.17433809,1.711829,-0.2520107,0.1053696,-0.6481662,-1.5571603,-0.5385296,1.0
0.0,10.886521,1.0,-3.3276155,-0.281019,1.8140572,0.62899774,-0.5970693,-0.8885409,-0.5621649,0.8532913,1.0
0.0,0.7618034,1.0,-3.6997187,-0.48261005,1.1588857,1.7386698,0.5078301,-0.95757335,-0.22034268,-1.2291328,1.0
1.0,12.78082,0.0,-3.634128,1.2171965,1.7900842,0.35472685,0.41642708,-0.07342447,-0.25698662,-0.99945253,1.0
0.0,1.806356,0.0,-3.7026546,0.9216344,0.42242575,0.53074,0.99212766,0.9109768,-1.4029437,-0.66826147,1.0
1.0,10.701488,0.0,-3.3917909,-0.3299359,1.8215195,0.2343796,1.0137203,-0.46901193,-0.07435075,-0.70856243,1.0
1.0,10.960607,0.0,-4.688963,0.042068776,0.638602,1.6009116,-0.31448364,0.58256716,-0.4887675,-1.2192005,1.0
0.0,3.9228787,0.0,-3.9159992,-0.5958707,0.90293056,-0.72323483,1.0379162,1.281565,-0.27042466,-0.6183824,1.0
0.0,0.9955729,0.0,-1.2360457,-0.23653066,1.4261411,0.011651861,0.1918297,1.4504057,-0.30035996,-0.39204544,1.0
0.0,0.2870849,0.0,-3.6128492,-0.40916157,0.64631796,1.3227715,0.826643,1.2346723,-1.4850276,0.4879034,1.0
0.0,0.8591212,0.0,-2.6565852,0.07284549,0.25997907,0.23302132,0.73343015,1.2744973,-0.7593229,-0.6599765,1.0
1.0,13.752261,1.0,-1.2102859,0.051665943,1.5295738,1.3835621,0.27263063,0.8869713,-0.6920968,-0.31339186,1.0
0.0,0.0,0.0,-4.938343,1.0502021,2.0482247,0.9127107,-0.7637102,0.08745659,-1.5680996,-0.9313538,1.0
1.0,12.602556,0.0,-1.5689212,-0.99601007,1.3272952,0.1843289,0.33549294,1.4498413,-1.4973257,0.55261576,1.0
1.0,9.651695,0.0,-4.025299,-0.527672,1.3254608,-0.6448605,0.99586165,1.0731709,-1.2944632,-1.1796955,1.0
0.0,7.5113797,0.0,-4.2105694,0.5014034,0.3893059,0.3809797,0.6221232,-1.2317877,-1.0601451,-0.736604,1.0
0.0,1.75803e-05,0.0,-4.819242,0.61754173,1.7637857,-0.44181678,-0.77642167,1.2293669,-0.39247614,-0.024737455,1.0
0.0,2.7798283,0.0,-3.6165905,-0.7632072,0.45512533,-0.5646904,0.47285083,0.5331543,-0.82607734,-0.77273256,1.0
1.0,13.236757,0.0,-2.0986395,-0.24068938,0.43433776,0.10062151,0.38059914,1.3884976,-0.7876287,-0.6334032,1.0
0.0,0.0,0.0,-2.3110697,0.07745457,2.1457906,1.1359711,-0.8238952,0.8030898,-0.39315096,-0.5686929,1.0
0.0,2.673823,0.0,-1.4623246,-0.4855565,1.8768482,0.5986428,0.47306135,-0.21372786,-1.333476,-0.5836773,1.0
1.0,12.566206,0.0,-2.3600411,1.7983195,1.4652388,0.67954046,0.3455557,-1.0755372,-1.5644681,-1.1993032,1.0
0.0,5.9890456,1.0,-4.724119,2.319,1.7346284,-0.71026367,-0.9972739,0.49919212,-0.075028956,0.19906947,1.0
0.0,7.7168202,0.0,-4.318138,-0.7381726,0.40148243,-0.26072103,0.523464,-0.2533797,-0.96857977,-0.8753447,1.0
0.0,0.045039456,1.0,-5.1407204,0.28937033,1.4861465,0.20636939,-0.8585394,1.2857479,-0.3853576,0.46159232,1.0
0.0,3.2659671,1.0,-3.4898152,-0.36155406,1.9679246,0.16234262,0.97224927,-1.2836696,-0.76332796,-0.44940662,1.0
0.0,9.031281,1.0,-3.9665291,1.0607911,1.5917497,1.6260592,-0.7370859,-1.0363444,-1.3615099,-0.6839641,1.0
0.0,0.42938274,0.0,-3.942701,0.8616296,0.28481376,1.3799665,-0.69609326,0.6060967,-0.5000268,-0.68126506,1.0
1.0,13.926792,0.0,-1.094022,-0.9837635,0.8481381,0.10111569,0.1677787,0.5818998,-1.2876583,-1.0458708,1.0
0.0,5.592964,1.0,-5.1413326,1.0929046,1.2409981,-0.1172073,-1.002228,0.8897757,0.543613,0.6955186,1.0
0.0,5.530025,1.0,-5.1411805,2.3189492,2.3729117,-0.71693647,-0.9910197,-0.7376191,0.24087894,-0.6050211,1.0
1.0,8.314533,0.0,-3.422022,0.10240827,0.9908199,0.23384453,0.8332139,1.0408161,-0.42041475,-0.90327084,1.0
0.0,1.25288,1.0,-2.034306,-0.31615058,1.535959,1.8210115,0.13194911,-1.0045038,-0.39158833,-0.21428104,1.0
0.0,0.3126956,0.0,-3.0778425,-0.659034,0.24885769,0.81392103,0.5928255,1.3862542,-1.2563508,-0.43294656,1.0
0.0,5.9528027,0.0,-3.3827884,-0.8925569,0.40588272,-0.39520475,0.24358726,0.9184908,-0.31102318,0.73051274,1.0
1.0,5.9425077,0.0,-1.7613925,-0.42619252,0.48072097,0.10205362,0.47673827,0.629044,-0.7383399,-0.8437087,1.0
