Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,class
96,44,74,171,59,8,155,42,19,147,178,364,173,64,14,11,196,203,1
89,38,80,168,59,7,160,41,20,131,186,388,138,68,5,14,191,196,1
103,50,96,209,64,9,187,35,22,156,207,527,195,65,4,7,194,205,1
100,46,105,196,60,10,198,34,23,150,211,579,188,64,5,36,192,205,1
89,47,89,185,62,7,174,38,21,151,198,457,200,67,8,11,193,200,1
107,54,102,212,67,11,218,30,24,171,221,708,216,70,10,6,187,197,1
90,38,75,135,53,6,144,46,19,131,165,307,148,69,1,9,185,190,1
108,51,104,198,59,11,215,31,24,162,221,691,211,67,11,8,189,199,1
106,52,102,190,60,10,213,31,24,164,221,667,197,71,14,13,189,198,1
88,42,79,151,61,6,143,46,18,139,165,307,169,73,16,12,185,189,1
91,44,76,162,57,7,159,41,20,145,184,381,174,69,7,9,189,194,1
90,37,78,173,60,7,162,40,20,132,187,394,137,67,4,12,192,197,1
100,46,81,187,60,9,166,39,20,154,188,415,174,62,13,9,198,207,1
85,33,41,115,57,3,113,60,17,119,131,189,127,85,10,19,181,183,1
85,40,67,138,59,7,150,44,19,133,168,334,167,79,4,8,180,185,1
98,47,101,197,63,9,197,33,23,150,217,582,181,69,5,7,189,197,1
84,38,61,135,59,4,136,49,18,130,158,276,147,77,4,11,183,187,1
99,53,105,224,70,12,221,30,25,167,226,712,204,70,5,21,186,200,1
82,37,57,133,62,6,135,50,18,127,151,266,142,82,8,18,179,184,1
88,45,82,154,56,7,155,42,19,148,181,362,173,69,4,1,187,192,1
94,45,76,179,61,9,158,41,20,149,183,376,170,63,12,8,196,204,1
113,49,100,199,60,11,195,34,22,158,207,569,177,62,19,2,196,206,1
92,45,80,176,62,7,161,40,20,147,181,390,184,67,7,10,194,202,1
93,43,70,159,58,7,151,43,19,143,174,346,185,67,12,9,192,197,1
94,39,79,170,58,7,173,38,21,137,197,451,157,69,1,22,189,197,1
91,36,75,163,58,8,151,43,19,130,167,342,122,61,3,20,199,208,1
114,52,100,202,61,10,216,31,24,164,228,696,213,71,13,4,188,197,1
95,45,79,187,62,9,164,40,20,152,189,405,174,64,9,6,196,204,1
92,37,84,170,61,7,156,42,19,130,180,367,144,68,8,17,190,195,1
