Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,class
84,42,65,120,54,5,148,46,19,145,167,320,173,86,7,2,179,181,1
102,53,101,238,72,4,238,28,26,163,266,844,241,84,7,21,184,184,1
93,44,75,200,72,6,168,38,20,143,185,435,166,69,11,10,198,202,1
106,54,104,163,47,4,247,27,27,165,268,891,242,84,10,2,181,182,1
97,41,77,189,67,5,177,36,21,137,203,485,149,72,2,7,197,198,1
82,45,68,134,59,7,151,45,19,149,168,333,181,80,2,10,179,183,1
85,42,65,123,53,7,149,45,19,141,171,326,169,85,2,6,180,182,1
86,42,65,123,54,7,149,46,19,143,169,321,165,85,7,4,180,182,1
95,47,78,204,71,6,169,37,20,150,188,441,187,69,6,16,198,202,1
94,48,79,202,70,5,174,36,21,151,194,468,198,70,6,2,196,198,1
86,43,65,124,55,6,149,45,19,142,170,322,171,86,3,10,179,182,1
93,44,84,209,71,6,184,35,22,145,205,524,166,72,2,14,195,197,1
96,38,75,184,66,6,162,39,20,130,188,408,135,69,2,19,199,202,1
94,36,73,185,70,6,152,42,19,127,172,356,130,67,1,10,197,205,1
83,43,68,132,59,7,148,46,19,143,171,319,179,81,7,15,180,184,1
88,46,74,172,68,6,152,42,19,147,179,349,192,71,5,10,189,195,1
91,42,66,169,66,6,144,44,18,140,167,321,162,66,5,1,200,206,1
81,43,71,135,60,7,147,46,19,143,172,317,182,81,6,17,180,184,1
99,51,88,188,62,5,203,32,23,158,222,625,218,77,7,25,191,190,1
86,42,64,122,54,6,148,46,19,143,170,319,171,87,1,5,179,182,1
106,54,105,169,49,5,247,27,27,165,269,897,247,83,11,2,181,182,1
99,49,80,197,67,6,185,34,22,157,205,530,197,74,5,1,196,197,1
85,42,66,120,53,7,149,45,19,143,170,322,161,85,7,5,180,182,1
81,44,72,147,63,6,153,44,19,144,180,349,177,80,0,15,182,186,1
94,45,78,199,70,5,167,38,20,145,186,430,172,68,4,18,198,203,1
85,43,68,201,93,24,150,44,19,144,200,335,176,92,4,7,182,186,1
82,43,72,154,65,7,150,44,19,143,177,340,160,76,5,11,184,188,1
105,53,102,169,51,6,237,27,26,161,257,835,248,82,5,18,183,183,1
80,45,68,136,59,7,151,45,19,150,167,333,178,80,3,13,179,183,1
85,42,65,128,56,6,150,45,19,142,172,331,169,85,3,8,180,182,1
101,56,104,185,53,6,257,26,28,168,275,956,230,83,5,25,180,183,1
83,42,66,123,55,6,148,46,19,143,170,319,173,85,6,15,179,182,1
85,43,65,120,54,5,148,46,19,144,168,320,173,86,7,2,179,181,1
85,42,61,128,57,6,148,46,19,144,166,319,171,83,7,6,179,182,1
98,36,73,199,73,5,163,39,20,127,188,409,130,72,3,11,198,202,1
85,42,66,122,54,6,148,46,19,141,171,317,173,87,6,13,179,182,1
