Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,class
60.0,1.0,19.0,5.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.86,0.6,0.33,0.28,1.0,0.0,0.0,1.0,0.0,0.76,0.0,0.58,0.49,0.26,0.2,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.03,0.42,0.62,0.58,1.0,0.0,0.0,1.0,0.0,0.49,0.0,0.42,0.4,0.63,0.63,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.37,0.39,0.71,0.64,1.0,0.0,0.0,1.0,0.0,0.38,0.0,0.46,0.27,0.63,0.58,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.31,0.24,0.94,0.98,1.0,0.0,0.0,1.0,0.0,0.22,0.0,0.4,0.38,0.54,0.58,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.38,0.28,0.66,0.69,1.0,0.0,0.0,1.0,0.0,0.23,0.0,0.43,0.34,0.64,0.7,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.23,0.46,0.62,0.92,1.0,0.0,0.0,1.0,0.0,0.26,0.0,0.36,0.34,0.76,0.86,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.25,0.32,0.83,0.65,1.0,0.0,0.0,1.0,0.0,0.33,0.0,0.19,0.49,0.56,0.82,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.27,0.11,0.81,0.79,1.0,0.0,0.0,1.0,0.0,0.28,0.0,0.33,0.48,0.59,0.8,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.27,0.46,0.51,0.79,1.0,0.0,0.0,1.0,0.0,0.36,0.0,0.35,0.39,0.53,0.63,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.24,0.17,0.74,0.8,1.0,0.0,0.0,1.0,0.0,0.23,0.0,0.32,0.34,0.84,0.9,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.42,0.43,0.79,0.7,1.0,0.0,0.0,1.0,0.0,0.47,0.0,0.2,0.49,0.85,0.72,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.28,1.0,0.53,1.0,0.0,0.0,1.0,0.0,0.11,0.0,0.11,0.25,0.8,0.86,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.28,0.06,0.97,0.59,1.0,0.0,0.0,1.0,0.0,0.27,0.0,0.46,0.42,0.67,0.64,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.05,0.33,0.86,0.98,1.0,0.0,0.0,1.0,0.0,0.13,0.0,0.15,0.13,0.89,0.83,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.41,0.08,0.85,0.51,1.0,0.0,0.0,1.0,0.0,0.15,0.0,0.24,0.46,0.73,0.64,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.41,0.35,0.91,0.58,1.0,0.0,0.0,1.0,0.0,0.42,0.0,0.24,0.42,0.54,0.86,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.19,0.15,0.88,0.57,1.0,0.0,0.0,1.0,0.0,0.26,0.0,0.3,0.31,0.6,0.91,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.04,0.27,0.97,0.94,1.0,0.0,0.0,1.0,0.0,0.46,0.0,0.47,0.14,0.67,0.85,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.26,0.25,0.91,0.88,1.0,0.0,0.0,1.0,0.0,0.31,0.0,0.39,0.35,0.72,0.56,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.34,0.04,0.56,0.62,1.0,0.0,0.0,1.0,0.0,0.12,0.0,0.4,0.07,0.85,0.58,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.21,0.49,0.89,0.74,1.0,0.0,0.0,1.0,0.0,0.17,0.0,0.47,0.26,0.93,0.89,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.07,0.4,0.57,0.69,1.0,0.0,0.0,1.0,0.0,0.35,0.0,0.12,0.31,0.72,0.78,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.31,0.35,0.65,0.88,1.0,0.0,0.0,1.0,0.0,0.47,0.0,0.41,0.42,0.58,0.56,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.12,0.17,0.91,0.6,1.0,0.0,0.0,1.0,0.0,0.47,0.0,0.1,0.29,0.63,0.73,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.42,0.41,0.73,0.96,1.0,0.0,0.0,1.0,0.0,0.38,0.0,0.3,0.34,0.69,0.81,1
0.0,1.0,19.0,1.0,125.0,179.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.18,0.04,0.62,0.7,1.0,0.0,0.0,1.0,0.0,0.1,0.0,0.31,0.47,0.66,0.63,1
