Attr0,Attr1,Attr2,Attr3,Attr4,Attr8,Attr9,class
28.0,31.0,9.223372036854776e+18,1.13,0.49,9.223372036854776e+18,57.0,1
28.0,31.0,9.223372036854776e+18,1.12,0.49,9.223372036854776e+18,57.0,1
28.0,31.0,9.223372036854776e+18,1.14,0.48,9.223372036854776e+18,57.0,1
28.0,31.0,9.223372036854776e+18,1.12,0.48,9.223372036854776e+18,57.0,1
28.0,31.0,9.223372036854776e+18,1.11,0.49,9.223372036854776e+18,57.0,1
28.0,31.0,9.223372036854776e+18,1.11,0.48,9.223372036854776e+18,57.0,1
28.0,31.0,9.223372036854776e+18,1.13,0.48,9.223372036854776e+18,57.0,1
28.0,31.0,9.223372036854776e+18,1.14,0.49,9.223372036854776e+18,57.0,1
29.0,31.0,9.223372036854776e+18,1.08,0.48,9.223372036854776e+18,9.223372036854776e+18,1
28.0,31.0,9.223372036854776e+18,1.1,0.49,9.223372036854776e+18,9.223372036854776e+18,1
29.0,31.0,9.223372036854776e+18,1.08,0.49,9.223372036854776e+18,9.223372036854776e+18,1
28.0,31.0,9.223372036854776e+18,1.08,0.46,9.223372036854776e+18,9.223372036854776e+18,1
29.0,31.0,9.223372036854776e+18,1.1,0.49,9.223372036854776e+18,9.223372036854776e+18,1
28.0,31.0,9.223372036854776e+18,1.07,0.49,9.223372036854776e+18,9.223372036854776e+18,1
28.0,31.0,9.223372036854776e+18,1.1,0.48,9.223372036854776e+18,9.223372036854776e+18,1
28.0,31.0,9.223372036854776e+18,1.11,0.47,9.223372036854776e+18,9.223372036854776e+18,1
29.0,31.0,9.223372036854776e+18,1.07,0.48,9.223372036854776e+18,9.223372036854776e+18,1
28.0,31.0,9.223372036854776e+18,1.07,0.48,9.223372036854776e+18,9.223372036854776e+18,1
28.0,31.0,9.223372036854776e+18,1.09,0.48,9.223372036854776e+18,9.223372036854776e+18,1
28.0,31.0,9.223372036854776e+18,1.14,0.49,9.223372036854776e+18,9.223372036854776e+18,1
28.0,31.0,9.223372036854776e+18,1.11,0.49,9.223372036854776e+18,9.223372036854776e+18,1
28.0,31.0,9.223372036854776e+18,1.12,0.49,9.223372036854776e+18,9.223372036854776e+18,1
28.0,31.0,9.223372036854776e+18,1.13,0.49,9.223372036854776e+18,9.223372036854776e+18,1
28.0,31.0,9.223372036854776e+18,1.13,0.49,9.223372036854775e+18,9.223372036854775e+18,1
28.0,31.0,9.223372036854775e+18,1.11,0.49,9.223372036854775e+18,9.223372036854775e+18,1
28.0,31.0,9.223372036854775e+18,1.13,0.49,9.223372036854775e+18,9.223372036854775e+18,1
28.0,31.0,9.223372036854775e+18,1.12,0.47,647.0,59.0,1
28.0,31.0,9.223372036854775e+18,1.11,0.48,647.0,59.0,1
28.0,31.0,9.223372036854775e+18,1.13,0.48,647.0,58.0,1
