Attr0,Attr1,Attr2,Attr3,Attr5,Attr6,Attr7,class
2.0,0.68,0.54,0.165,0.62,0.27,0.64,1
0.0,0.69,0.54,0.2,0.58,0.39,0.45,1
2.0,0.63,0.52,0.18,0.53,0.35,0.42,1
2.0,0.66,0.46,0.16,0.42,0.26,0.33,1
1.0,0.66,0.525,0.17,0.68,0.38,0.39,1
2.0,0.64,0.5,0.18,0.53,0.32,0.35,1
0.0,0.62,0.51,0.165,0.5,0.35,0.34,1
0.0,0.63,0.51,0.17,0.55,0.19,0.37,1
0.0,0.58,0.49,0.17,0.49,0.18,0.34,1
2.0,0.63,0.5,0.17,0.54,0.22,0.34,1
1.0,0.63,0.47,0.15,0.44,0.17,0.28,1
1.0,0.58,0.49,0.17,0.55,0.26,0.33,1
1.0,0.57,0.52,0.14,0.24,0.25,0.33,1
2.0,0.59,0.52,0.14,0.39,0.25,0.31,1
2.0,0.61,0.52,0.17,0.55,0.29,0.36,1
2.0,0.66,0.525,0.18,0.59,0.35,0.36,1
2.0,0.55,0.48,0.13,0.45,0.35,0.3,1
2.0,0.72,0.57,0.18,0.66,0.36,0.48,1
2.0,0.63,0.51,0.18,0.54,0.27,0.43,1
2.0,0.66,0.51,0.18,0.52,0.33,0.43,1
0.0,0.65,0.49,0.17,0.54,0.34,0.34,1
0.0,0.64,0.49,0.17,0.47,0.31,0.31,1
2.0,0.7,0.53,0.18,0.55,0.3,0.38,1
1.0,0.66,0.525,0.2,0.55,0.29,0.38,1
2.0,0.58,0.51,0.17,0.54,0.2,0.34,1
2.0,0.44,0.45,0.16,0.16,0.21,0.32,1
1.0,0.52,0.46,0.15,0.41,0.28,0.19,1
1.0,0.65,0.51,0.17,0.54,0.28,0.47,1
2.0,0.66,0.51,0.16,0.58,0.34,0.38,1
0.0,0.64,0.54,0.17,0.56,0.28,0.41,1
2.0,0.62,0.49,0.17,0.28,0.36,0.38,1
2.0,0.62,0.47,0.18,0.51,0.3,0.35,1
2.0,0.64,0.51,0.16,0.48,0.33,0.35,1
2.0,0.64,0.52,0.165,0.56,0.32,0.39,1
0.0,0.63,0.5,0.14,0.52,0.33,0.27,1
1.0,0.66,0.53,0.19,0.5,0.33,0.39,1
2.0,0.56,0.49,0.15,0.49,0.29,0.31,1
2.0,0.66,0.52,0.16,0.55,0.34,0.35,1
2.0,0.51,0.42,0.16,0.49,0.19,0.25,1
2.0,0.66,0.51,0.17,0.54,0.32,0.44,1
1.0,0.66,0.5,0.18,0.48,0.36,0.35,1
1.0,0.72,0.55,0.18,0.69,0.28,0.97,1
2.0,0.63,0.5,0.24,0.53,0.28,0.7,1
2.0,0.59,0.46,0.16,0.52,0.14,0.53,1
1.0,0.71,0.54,0.17,0.7,0.27,0.66,1
2.0,0.69,0.52,0.17,0.65,0.27,0.36,1
0.0,0.65,0.53,0.165,0.69,0.24,0.56,1
2.0,0.66,0.49,0.17,0.59,0.21,0.72,1
2.0,0.59,0.48,0.17,0.73,0.25,0.37,1
2.0,0.67,0.51,0.17,0.74,0.25,0.6,1
1.0,0.69,0.47,0.16,0.5,0.18,0.45,1
1.0,0.53,0.43,0.17,0.6,0.23,0.38,1
2.0,0.5,0.38,0.14,0.5,0.09,0.19,1
1.0,0.51,0.45,0.15,0.64,0.21,0.32,1
1.0,0.63,0.52,0.19,0.68,0.26,0.59,1
1.0,0.68,0.53,0.17,0.65,0.28,0.62,1
2.0,0.65,0.5,0.16,0.57,0.21,0.65,1
2.0,0.72,0.57,0.18,0.82,0.3,0.67,1
2.0,0.63,0.5,0.18,0.59,0.26,0.6,1
2.0,0.7,0.52,0.18,0.69,0.26,0.65,1
2.0,0.68,0.48,0.17,0.66,0.26,0.49,1
2.0,0.64,0.5,0.17,0.65,0.23,0.73,1
2.0,0.71,0.54,0.17,0.69,0.25,0.76,1
1.0,0.7,0.53,0.18,0.6,0.27,0.7,1
2.0,0.65,0.53,0.19,0.71,0.2,0.6,1
2.0,0.61,0.46,0.13,0.33,0.23,0.37,1
0.0,0.63,0.53,0.14,0.73,0.14,0.19,1
2.0,0.66,0.51,0.17,0.6,0.25,0.72,1
2.0,0.67,0.51,0.16,0.66,0.29,0.54,1
0.0,0.69,0.54,0.17,0.63,0.27,0.55,1
2.0,0.66,0.49,0.17,0.51,0.22,0.45,1
2.0,0.61,0.49,0.19,0.67,0.23,0.69,1
2.0,0.64,0.54,0.16,0.46,0.26,0.38,1
2.0,0.69,0.51,0.165,0.71,0.3,0.54,1
0.0,0.65,0.49,0.15,0.66,0.18,0.28,1
0.0,0.69,0.54,0.18,0.57,0.26,0.63,1
2.0,0.62,0.44,0.15,0.76,0.25,0.67,1
2.0,0.63,0.53,0.16,0.63,0.28,0.44,1
2.0,0.57,0.4,0.16,0.4,0.21,0.53,1
0.0,0.67,0.52,0.17,0.51,0.31,0.55,1
0.0,0.67,0.5,0.17,0.52,0.31,0.56,1
1.0,0.68,0.55,0.23,0.62,0.38,0.8,1
0.0,0.66,0.55,0.18,0.53,0.37,0.43,1
0.0,0.65,0.54,0.2,0.68,0.39,0.55,1
2.0,0.65,0.53,0.21,0.54,0.4,0.84,1
0.0,0.68,0.5,0.17,0.4,0.39,0.81,1
0.0,0.63,0.46,0.21,0.61,0.25,0.77,1
0.0,0.61,0.56,0.18,0.48,0.28,0.75,1
2.0,0.72,0.52,0.19,0.62,0.33,0.75,1
0.0,0.65,0.46,0.17,0.62,0.3,0.36,1
1.0,0.72,0.45,0.2,0.49,0.22,0.34,1
0.0,0.7,0.39,0.15,0.55,0.4,0.25,1
0.0,0.54,0.44,0.15,0.31,0.18,0.64,1
1.0,0.61,0.53,0.21,0.57,0.38,0.88,1
0.0,0.67,0.56,0.19,0.6,0.37,0.64,1
2.0,0.7,0.48,0.13,0.56,0.27,0.49,1
0.0,0.73,0.57,0.19,0.78,0.42,0.75,1
2.0,0.68,0.49,0.2,0.55,0.33,0.75,1
2.0,0.68,0.51,0.21,0.64,0.33,0.74,1
0.0,0.68,0.53,0.19,0.64,0.36,0.53,1
0.0,0.68,0.53,0.18,0.63,0.28,0.62,1
2.0,0.72,0.53,0.2,0.59,0.3,0.82,1
0.0,0.67,0.53,0.21,0.62,0.31,0.96,1
2.0,0.68,0.56,0.21,0.52,0.28,0.69,1
0.0,0.72,0.48,0.17,0.46,0.13,0.66,1
0.0,0.61,0.37,0.19,0.52,0.3,0.43,1
0.0,0.7,0.55,0.2,0.62,0.4,0.54,1
1.0,0.71,0.5,0.16,0.64,0.39,0.79,1
0.0,0.71,0.54,0.2,0.64,0.31,0.53,1
0.0,0.7,0.46,0.21,0.44,0.21,0.92,1
2.0,0.57,0.53,0.2,0.35,0.24,0.53,1
2.0,0.67,0.51,0.19,0.53,0.36,0.65,1
2.0,0.66,0.56,0.18,0.63,0.39,0.58,1
0.0,0.63,0.49,0.17,0.32,0.21,0.55,1
0.0,0.66,0.54,0.19,0.49,0.35,0.57,1
2.0,0.6,0.44,0.16,0.53,0.31,0.47,1
1.0,0.72,0.52,0.21,0.64,0.34,0.96,1
0.0,0.72,0.41,0.21,0.58,0.25,0.89,1
0.0,0.68,0.54,0.18,0.55,0.38,0.88,1
0.0,0.7,0.56,0.21,0.55,0.39,0.98,1
1.0,0.59,0.46,0.23,0.38,0.29,0.44,1
0.0,0.64,0.51,0.21,0.68,0.38,0.62,1
2.0,0.61,0.49,0.22,0.48,0.32,0.37,1
0.0,0.61,0.49,0.24,0.52,0.29,0.4,1
0.0,0.6,0.47,0.21,0.5,0.23,0.58,1
1.0,0.6,0.47,0.21,0.47,0.28,0.47,1
2.0,0.58,0.46,0.17,0.41,0.27,0.67,1
2.0,0.57,0.47,0.2,0.53,0.19,0.62,1
1.0,0.58,0.45,0.19,0.38,0.31,0.27,1
2.0,0.55,0.41,0.17,0.5,0.13,0.46,1
2.0,0.49,0.42,0.14,0.53,0.16,0.68,1
2.0,0.59,0.5,0.22,0.53,0.28,0.58,1
2.0,0.65,0.51,0.18,0.6,0.34,0.67,1
2.0,0.57,0.43,0.22,0.48,0.22,0.31,1
1.0,0.74,0.56,0.19,0.74,0.37,0.67,1
2.0,0.61,0.48,0.23,0.53,0.25,0.62,1
2.0,0.61,0.5,0.22,0.5,0.3,0.64,1
1.0,0.61,0.48,0.23,0.53,0.3,0.51,1
1.0,0.57,0.5,0.22,0.5,0.24,0.56,1
2.0,0.69,0.53,0.22,0.54,0.3,0.56,1
1.0,0.62,0.51,0.23,0.51,0.3,0.64,1
2.0,0.59,0.49,0.22,0.52,0.23,0.32,1
2.0,0.53,0.4,0.15,0.25,0.07,0.16,1
1.0,0.49,0.37,0.23,0.28,0.23,0.68,1
0.0,0.63,0.5,0.23,0.53,0.33,0.55,1
2.0,0.64,0.49,0.18,0.58,0.33,0.68,1
1.0,0.64,0.5,0.22,0.6,0.28,0.65,1
1.0,0.56,0.47,0.19,0.5,0.28,0.57,1
2.0,0.54,0.49,0.22,0.3,0.27,0.61,1
2.0,0.62,0.5,0.24,0.5,0.33,0.32,1
2.0,0.63,0.5,0.22,0.54,0.32,0.46,1
1.0,0.51,0.42,0.22,0.44,0.16,0.4,1
0.0,0.64,0.5,0.23,0.53,0.32,0.57,1
2.0,0.55,0.42,0.22,0.53,0.32,0.38,1
2.0,0.61,0.5,0.21,0.55,0.33,0.62,1
2.0,0.51,0.44,0.18,0.26,0.31,0.27,1
1.0,0.62,0.5,0.2,0.53,0.32,0.58,1
1.0,0.64,0.5,0.22,0.5,0.35,0.44,1
0.0,0.64,0.5,0.16,0.62,0.25,0.37,1
1.0,0.58,0.47,0.16,0.47,0.17,0.32,1
0.0,0.6,0.46,0.16,0.39,0.18,0.33,1
0.0,0.58,0.45,0.17,0.37,0.16,0.37,1
0.0,0.58,0.45,0.17,0.34,0.15,0.32,1
2.0,0.58,0.455,0.16,0.32,0.14,0.32,1
0.0,0.57,0.455,0.15,0.36,0.16,0.28,1
1.0,0.54,0.45,0.17,0.32,0.16,0.24,1
0.0,0.56,0.44,0.15,0.21,0.08,0.19,1
1.0,0.53,0.44,0.15,0.26,0.13,0.23,1
0.0,0.58,0.48,0.16,0.44,0.17,0.39,1
0.0,0.6,0.49,0.16,0.37,0.2,0.42,1
2.0,0.55,0.44,0.13,0.3,0.16,0.3,1
0.0,0.71,0.57,0.18,0.74,0.25,0.57,1
1.0,0.59,0.46,0.17,0.38,0.23,0.39,1
2.0,0.59,0.48,0.19,0.34,0.16,0.48,1
0.0,0.59,0.46,0.17,0.45,0.23,0.32,1
0.0,0.58,0.46,0.17,0.38,0.21,0.29,1
1.0,0.67,0.47,0.18,0.52,0.16,0.41,1
0.0,0.65,0.47,0.17,0.39,0.29,0.34,1
0.0,0.58,0.47,0.19,0.44,0.16,0.31,1
1.0,0.53,0.33,0.15,0.14,0.11,0.18,1
0.0,0.48,0.42,0.15,0.29,0.12,0.29,1
0.0,0.58,0.48,0.16,0.43,0.16,0.42,1
0.0,0.64,0.46,0.155,0.54,0.28,0.37,1
0.0,0.63,0.46,0.16,0.54,0.16,0.36,1
0.0,0.57,0.44,0.16,0.26,0.2,0.32,1
1.0,0.53,0.45,0.17,0.31,0.17,0.32,1
1.0,0.63,0.49,0.155,0.41,0.28,0.32,1
2.0,0.62,0.49,0.16,0.34,0.24,0.38,1
0.0,0.56,0.44,0.15,0.28,0.12,0.27,1
0.0,0.63,0.52,0.16,0.36,0.26,0.51,1
2.0,0.56,0.45,0.15,0.3,0.17,0.32,1
1.0,0.59,0.47,0.16,0.39,0.19,0.32,1
2.0,0.51,0.44,0.15,0.23,0.14,0.32,1
0.0,0.64,0.48,0.16,0.36,0.15,0.44,1
0.0,0.59,0.47,0.17,0.36,0.31,0.33,1
2.0,0.63,0.51,0.18,0.54,0.32,0.36,1
0.0,0.62,0.51,0.17,0.64,0.25,0.37,1
0.0,0.6,0.5,0.19,0.38,0.25,0.39,1
0.0,0.58,0.47,0.18,0.52,0.18,0.34,1
1.0,0.61,0.47,0.18,0.47,0.33,0.38,1
0.0,0.64,0.51,0.19,0.63,0.29,0.29,1
1.0,0.59,0.47,0.18,0.36,0.23,0.22,1
0.0,0.55,0.43,0.13,0.38,0.21,0.18,1
1.0,0.59,0.39,0.14,0.58,0.25,0.33,1
1.0,0.61,0.51,0.19,0.59,0.29,0.4,1
0.0,0.65,0.525,0.18,0.61,0.35,0.52,1
0.0,0.53,0.47,0.19,0.47,0.21,0.39,1
0.0,0.71,0.58,0.19,0.76,0.41,0.48,1
0.0,0.63,0.49,0.19,0.62,0.33,0.41,1
2.0,0.66,0.52,0.2,0.54,0.31,0.56,1
0.0,0.64,0.48,0.18,0.51,0.33,0.37,1
0.0,0.63,0.5,0.18,0.45,0.36,0.38,1
2.0,0.69,0.53,0.19,0.62,0.25,0.42,1
0.0,0.66,0.525,0.2,0.61,0.37,0.41,1
1.0,0.6,0.49,0.19,0.54,0.22,0.35,1
1.0,0.5,0.32,0.13,0.42,0.32,0.24,1
0.0,0.5,0.49,0.16,0.24,0.22,0.2,1
0.0,0.64,0.51,0.19,0.58,0.36,0.46,1
1.0,0.645,0.51,0.19,0.66,0.38,0.39,1
0.0,0.64,0.53,0.18,0.65,0.38,0.42,1
0.0,0.59,0.46,0.19,0.5,0.27,0.39,1
0.0,0.58,0.49,0.19,0.33,0.39,0.38,1
0.0,0.64,0.52,0.17,0.44,0.35,0.34,1
2.0,0.64,0.51,0.17,0.65,0.36,0.39,1
0.0,0.57,0.52,0.15,0.45,0.23,0.37,1
0.0,0.65,0.53,0.19,0.65,0.37,0.52,1
2.0,0.62,0.45,0.17,0.61,0.21,0.32,1
2.0,0.62,0.5,0.18,0.69,0.38,0.37,1
1.0,0.54,0.52,0.15,0.35,0.19,0.38,1
0.0,0.65,0.52,0.19,0.62,0.32,0.41,1
0.0,0.645,0.51,0.19,0.61,0.38,0.37,1
2.0,0.61,0.49,0.18,0.44,0.27,0.33,1
2.0,0.6,0.46,0.18,0.46,0.26,0.38,1
2.0,0.6,0.47,0.18,0.44,0.27,0.32,1
2.0,0.6,0.47,0.17,0.43,0.28,0.34,1
1.0,0.6,0.47,0.17,0.45,0.18,0.27,1
2.0,0.6,0.49,0.18,0.41,0.28,0.26,1
1.0,0.53,0.44,0.13,0.31,0.19,0.31,1
1.0,0.57,0.45,0.15,0.4,0.28,0.2,1
2.0,0.58,0.49,0.19,0.53,0.25,0.4,1
1.0,0.62,0.51,0.18,0.59,0.3,0.37,1
2.0,0.55,0.44,0.15,0.29,0.21,0.31,1
0.0,0.66,0.53,0.18,0.63,0.29,0.53,1
2.0,0.61,0.48,0.18,0.53,0.26,0.36,1
2.0,0.62,0.5,0.18,0.49,0.3,0.54,1
2.0,0.6,0.48,0.18,0.49,0.28,0.34,1
1.0,0.58,0.49,0.18,0.43,0.22,0.31,1
2.0,0.62,0.5,0.18,0.54,0.24,0.38,1
1.0,0.64,0.52,0.19,0.48,0.29,0.37,1
2.0,0.58,0.48,0.19,0.48,0.24,0.33,1
2.0,0.52,0.39,0.16,0.15,0.12,0.19,1
2.0,0.58,0.41,0.16,0.37,0.24,0.17,1
0.0,0.62,0.49,0.18,0.51,0.25,0.37,1
2.0,0.63,0.49,0.17,0.53,0.29,0.38,1
2.0,0.61,0.51,0.18,0.59,0.27,0.44,1
2.0,0.58,0.44,0.18,0.35,0.26,0.35,1
2.0,0.53,0.44,0.19,0.3,0.28,0.35,1
2.0,0.62,0.49,0.16,0.46,0.29,0.33,1
2.0,0.62,0.5,0.17,0.61,0.29,0.38,1
2.0,0.54,0.42,0.17,0.46,0.15,0.28,1
2.0,0.65,0.5,0.19,0.49,0.31,0.44,1
2.0,0.57,0.43,0.15,0.34,0.23,0.34,1
2.0,0.605,0.49,0.17,0.49,0.29,0.35,1
2.0,0.49,0.45,0.17,0.43,0.27,0.27,1
0.0,0.61,0.5,0.18,0.51,0.31,0.41,1
1.0,0.63,0.49,0.18,0.48,0.29,0.35,1
0.0,0.59,0.45,0.17,0.39,0.23,0.36,1
0.0,0.6,0.47,0.17,0.39,0.18,0.3,1
0.0,0.6,0.47,0.17,0.37,0.24,0.33,1
0.0,0.61,0.46,0.16,0.37,0.23,0.26,1
0.0,0.55,0.47,0.17,0.37,0.21,0.22,1
1.0,0.51,0.37,0.15,0.24,0.13,0.28,1
1.0,0.51,0.41,0.16,0.36,0.15,0.26,1
1.0,0.6,0.49,0.18,0.45,0.25,0.34,1
1.0,0.62,0.49,0.17,0.56,0.26,0.47,1
0.0,0.53,0.43,0.13,0.3,0.24,0.31,1
0.0,0.73,0.55,0.19,0.6,0.29,0.36,1
0.0,0.61,0.48,0.17,0.44,0.24,0.35,1
0.0,0.64,0.5,0.17,0.41,0.28,0.4,1
0.0,0.61,0.48,0.17,0.4,0.25,0.32,1
0.0,0.58,0.48,0.17,0.39,0.24,0.28,1
1.0,0.64,0.51,0.17,0.49,0.23,0.4,1
0.0,0.64,0.51,0.2,0.46,0.26,0.37,1
2.0,0.6,0.48,0.19,0.41,0.22,0.32,1
2.0,0.59,0.4,0.13,0.39,0.21,0.19,1
0.0,0.57,0.36,0.16,0.36,0.13,0.24,1
0.0,0.63,0.5,0.18,0.41,0.25,0.33,1
2.0,0.64,0.485,0.16,0.52,0.26,0.37,1
0.0,0.63,0.53,0.17,0.49,0.26,0.34,1
0.0,0.56,0.48,0.17,0.32,0.22,0.38,1
1.0,0.57,0.45,0.17,0.32,0.22,0.35,1
1.0,0.62,0.5,0.16,0.4,0.26,0.32,1
0.0,0.62,0.49,0.165,0.46,0.26,0.39,1
0.0,0.6,0.45,0.15,0.39,0.19,0.26,1
0.0,0.64,0.53,0.17,0.44,0.29,0.44,1
2.0,0.57,0.44,0.16,0.32,0.23,0.32,1
2.0,0.61,0.48,0.16,0.45,0.33,0.33,1
1.0,0.59,0.46,0.16,0.27,0.19,0.28,1
0.0,0.65,0.49,0.18,0.51,0.27,0.39,1
0.0,0.62,0.49,0.19,0.43,0.29,0.34,1
0.0,0.57,0.45,0.17,0.38,0.17,0.32,1
0.0,0.57,0.45,0.17,0.37,0.16,0.38,1
0.0,0.57,0.45,0.16,0.37,0.16,0.37,1
0.0,0.57,0.44,0.17,0.36,0.2,0.28,1
1.0,0.57,0.44,0.15,0.21,0.11,0.38,1
0.0,0.51,0.45,0.17,0.24,0.14,0.2,1
1.0,0.58,0.48,0.19,0.51,0.2,0.41,1
0.0,0.64,0.52,0.18,0.42,0.23,0.52,1
2.0,0.54,0.43,0.13,0.34,0.17,0.35,1
0.0,0.59,0.54,0.17,0.6,0.43,0.56,1
0.0,0.61,0.48,0.19,0.51,0.21,0.42,1
0.0,0.6,0.47,0.18,0.47,0.27,0.57,1
0.0,0.59,0.47,0.18,0.5,0.23,0.34,1
0.0,0.57,0.46,0.17,0.39,0.2,0.29,1
2.0,0.62,0.49,0.17,0.5,0.18,0.4,1
0.0,0.58,0.46,0.18,0.45,0.25,0.4,1
