Attr0,Attr1,Attr2,Attr3,Attr4,Attr8,Attr9,class
28.0,31.0,,1.12,0.49,,57.0,1
28.0,31.0,,1.14,0.48,,57.0,1
28.0,31.0,,1.14,0.49,,57.0,1
28.0,31.0,,1.13,0.49,,57.0,1
28.0,31.0,,1.11,0.49,,57.0,1
28.0,31.0,,1.12,0.48,,57.0,1
28.0,31.0,,1.13,0.48,,57.0,1
28.0,31.0,,1.11,0.48,,57.0,1
28.0,31.0,,1.11,0.48,,57.0,1
28.0,31.0,,1.08,0.49,648.0,59.0,1
29.0,31.0,,1.09,0.49,650.0,59.0,1
29.0,31.0,,1.09,0.47,648.0,59.0,1
28.0,31.0,,1.09,0.49,651.0,58.0,1
29.0,31.0,,1.07,0.48,652.0,59.0,1
28.0,31.0,,1.09,0.49,651.0,59.0,1
29.0,31.0,,1.1,0.49,652.0,60.0,1
29.0,31.0,,1.07,0.47,647.0,60.0,1
29.0,31.0,,1.09,0.48,653.0,59.0,1
28.0,31.0,,1.08,0.47,650.0,60.0,1
29.0,31.0,,1.1,0.47,650.0,58.0,1
28.0,31.0,,1.13,0.49,,58.0,1
28.0,31.0,,1.13,0.49,,60.0,1
28.0,31.0,,1.11,0.49,,58.0,1
28.0,31.0,,1.12,0.49,,61.41,1
28.0,31.0,,1.12,0.49,,60.96,1
28.0,31.0,,1.12,0.49,,58.0,1
28.0,31.0,,1.11,0.49,,60.0,1
28.0,31.0,,1.14,0.49,,62.0,1
28.0,31.0,,1.12,0.49,,57.0,1
28.0,31.0,,1.11,0.49,,62.0,1
28.0,31.0,,1.11,0.49,,59.0,1
28.0,31.0,,1.12,0.49,647.0,59.0,1
28.0,31.0,,1.11,0.48,647.0,57.0,1
28.0,31.0,,1.12,0.48,647.0,59.0,1
28.0,31.0,,1.12,0.49,647.0,57.0,1
28.0,31.0,,1.14,0.46,647.0,57.0,1
28.0,31.0,,1.14,0.48,647.0,57.0,1
28.0,31.0,,1.13,0.49,647.0,57.0,1
28.0,31.0,,1.11,0.48,647.0,58.5,1
28.0,31.0,,1.13,0.48,647.0,57.0,1
28.0,31.0,,1.12,0.47,647.0,57.57,1
28.0,31.0,,1.13,0.47,647.0,58.12,1
28.0,31.0,868.0,1.107,0.51,,59.0,1
28.0,31.0,868.0,1.107,0.5,,57.0,1
28.0,31.0,868.0,1.107,0.5,,58.0,1
28.0,31.0,868.0,1.107,0.5,,57.44,1
28.0,31.0,868.0,1.107,0.5,,59.0,1
28.0,31.0,868.0,1.107,0.5,,58.12,1
28.0,31.0,868.0,1.107,0.5,,57.93,1
28.0,31.0,868.0,1.107,0.5,,57.46,1
28.0,31.0,868.0,1.107,0.51,,58.0,1
28.0,31.0,868.0,1.107,0.5,,58.81,1
28.0,31.0,868.0,1.107,0.5,,58.62,1
28.0,31.0,,1.11,0.48,,58.0,1
29.0,32.0,,1.11,0.48,,58.0,1
28.0,31.0,,1.1,0.48,,60.0,1
29.0,32.0,,1.1,0.49,,57.0,1
28.0,31.0,,1.11,0.49,,57.0,1
29.0,32.0,,1.1,0.48,,59.0,1
29.0,32.0,,1.1,0.48,,58.0,1
29.0,32.0,,1.11,0.48,,58.77,1
29.0,32.0,,1.1,0.48,,60.0,1
29.0,32.0,,1.11,0.49,,58.52,1
29.0,32.0,,1.1,0.49,,61.0,1
28.0,31.0,,1.1,0.44,645.0,61.0,1
29.0,32.0,,1.1,0.44,640.0,62.0,1
29.0,32.0,,1.11,0.48,639.0,59.0,1
28.0,31.0,,1.11,0.45,642.0,57.0,1
29.0,32.0,,1.11,0.46,641.0,59.0,1
28.0,31.0,,1.11,0.44,645.0,64.0,1
28.0,31.0,,1.1,0.46,646.0,62.0,1
29.0,32.0,,1.11,0.47,643.0,59.0,1
29.0,32.0,,1.11,0.45,646.0,58.0,1
29.0,32.0,,1.1,0.46,641.0,63.0,1
28.0,31.0,,1.1,0.49,642.0,63.0,1
29.0,31.0,898.0,1.1,0.48,,59.0,1
29.0,31.0,896.0,1.07,0.47,,60.0,1
29.0,31.0,899.0,1.08,0.47,,58.0,1
29.0,31.0,899.0,1.1,0.47,,60.0,1
28.0,32.0,899.0,1.14,0.48,,60.0,1
28.0,32.0,896.0,1.11,0.48,,60.0,1
29.0,31.0,898.0,1.08,0.47,,60.0,1
28.0,32.0,899.0,1.12,0.47,,60.0,1
29.0,31.0,897.0,1.14,0.47,,58.0,1
28.0,32.0,899.0,1.14,0.48,,58.0,1
28.0,32.0,898.0,1.09,0.47,,60.0,1
28.0,32.0,896.0,1.143,0.49,666.0,59.0,1
28.0,32.0,896.0,1.143,0.49,666.0,60.0,1
28.0,32.0,896.0,1.143,0.48,665.0,62.0,1
28.0,32.0,896.0,1.143,0.48,665.0,59.0,1
28.0,32.0,896.0,1.143,0.48,665.0,61.0,1
28.0,32.0,896.0,1.143,0.48,665.0,60.0,1
28.0,32.0,896.0,1.143,0.49,666.0,61.0,1
28.0,32.0,896.0,1.143,0.48,665.0,59.17,1
28.0,32.0,896.0,1.143,0.49,666.0,62.0,1
28.0,32.0,896.0,1.143,0.48,665.0,60.29,1
28.0,32.0,896.0,1.143,0.48,665.0,60.88,1
28.0,32.0,896.0,1.143,0.46,,58.0,1
28.0,32.0,896.0,1.143,0.48,,58.0,1
28.0,32.0,896.0,1.143,0.47,,58.0,1
28.0,32.0,,1.12,0.49,665.0,58.0,1
28.0,32.0,,1.14,0.5,665.0,58.0,1
28.0,32.0,,1.11,0.51,665.0,58.0,1
28.0,32.0,,1.14,0.49,665.0,58.0,1
28.0,32.0,,1.14,0.51,665.0,58.0,1
28.0,32.0,,1.11,0.5,665.0,58.0,1
28.0,32.0,,1.11,0.48,665.0,58.0,1
28.0,32.0,,1.12,0.5,665.0,58.0,1
28.0,32.0,,1.12,0.48,665.0,58.0,1
28.0,32.0,,1.13,0.49,665.0,58.0,1
28.0,32.0,,1.14,0.48,665.0,60.0,1
29.0,32.0,,1.13,0.48,665.0,60.0,1
29.0,32.0,,1.12,0.48,667.0,61.0,1
29.0,32.0,,1.11,0.48,666.0,58.0,1
28.0,32.0,,1.13,0.48,667.0,58.0,1
28.0,32.0,,1.12,0.48,666.0,60.0,1
28.0,32.0,,1.14,0.48,666.0,61.0,1
29.0,32.0,,1.11,0.48,668.0,59.0,1
29.0,32.0,,1.13,0.48,667.0,61.0,1
28.0,32.0,,1.13,0.48,668.0,59.0,1
29.0,32.0,,1.13,0.48,666.0,59.0,1
28.0,32.0,,1.12,0.46,,63.0,1
29.0,32.0,,1.13,0.46,,60.0,1
29.0,32.0,,1.11,0.45,,58.0,1
28.0,32.0,,1.13,0.45,,60.0,1
28.0,32.0,,1.1,0.45,,61.0,1
28.0,32.0,,1.13,0.46,,58.0,1
28.0,32.0,,1.14,0.47,,64.0,1
29.0,32.0,,1.14,0.45,,63.0,1
29.0,32.0,,1.12,0.47,,60.0,1
29.0,32.0,,1.14,0.44,,63.0,1
28.0,32.0,,1.12,0.43,,63.0,1
29.0,31.0,899.0,1.08,0.47,,62.0,1
29.0,31.0,898.0,1.09,0.47,,61.0,1
29.0,31.0,897.0,1.14,0.48,,60.0,1
29.0,31.0,898.0,1.12,0.48,,61.0,1
29.0,31.0,898.0,1.12,0.48,,62.0,1
29.0,31.0,897.0,1.12,0.47,,61.0,1
29.0,31.0,898.0,1.08,0.48,,61.0,1
28.0,32.0,896.0,1.11,0.49,,60.0,1
28.0,32.0,898.0,1.12,0.48,,62.0,1
