Attr0,Attr1,Attr2,Attr3,Attr4,Attr6,Attr7,Attr9,Attr10,Attr11,Attr12,class
0.0,0.0,0.0,-3.66,0.34,1.75,-0.2,-0.35,0.57,-0.76,-0.82,1
0.0,0.0,0.0,-3.64,0.37,1.75,-0.22,-0.28,0.55,-0.73,-0.83,1
0.0,0.0,0.0,-3.62,0.32,1.71,-0.21,-0.19,0.53,-0.72,-0.89,1
0.0,0.0,0.0,-3.61,0.34,1.74,-0.18,-0.21,0.51,-0.77,-0.86,1
0.0,1.0,0.0,-3.74,0.33,1.07,0.67,0.09,0.04,-0.79,-0.73,1
0.0,1.0,0.0,-4.27,0.33,1.41,0.54,0.66,0.21,-0.82,-0.79,1
0.0,1.0,0.0,-3.65,0.373,1.25,0.778,0.37,0.06,-0.87,-0.78,1
0.0,1.0,0.0,-3.77,0.36,1.59,-0.22,-0.12,0.4,-1.14,-0.57,1
0.0,1.0,0.0,-3.95,0.29,1.59,0.42,-0.12,0.12,-1.08,-0.78,1
0.0,0.0,0.0,-3.95,-0.02,1.19,0.52,0.12,0.41,-1.17,-0.64,1
0.0,2.0,0.0,-3.3,-0.13,1.6,-0.33,0.31,0.93,-1.13,-0.72,1
0.0,2.0,0.0,-2.14,0.27,1.47,-0.28,-0.25,0.71,-1.19,-0.65,1
0.0,2.0,0.0,-2.01,-0.06,1.19,-0.24,-0.18,0.63,-1.27,-0.77,1
0.0,0.0,0.0,-1.99,0.18,1.42,-0.22,-0.32,0.56,-1.35,-0.75,1
0.0,0.0,0.0,-2.51,-0.26,1.38,-0.28,-0.03,0.78,-0.89,-0.71,1
0.0,2.0,0.0,-1.8,0.17,1.43,-0.24,0.39,1.18,-0.99,-0.75,1
0.0,1.0,0.0,-2.57,0.14,1.38,-0.2,-0.19,0.99,-0.8,-0.8,1
0.0,3.0,0.0,-1.9,-0.38,0.37,-0.22,-0.2,0.88,0.0,-0.5,1
0.0,0.0,0.0,-1.72,-0.11,1.04,-0.08,0.33,1.07,-0.03,-0.74,1
