Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,class
82,44,115,102,78,11,200,29,18,118,232,761,270,71,5,-1,184,205,0
84,38,50,202,56,10,171,39,16,129,140,358,105,62,4,28,188,189,0
87,53,109,163,57,8,179,26,16,128,123,516,144,76,9,9,190,186,0
85,52,62,165,78,4,154,42,18,152,175,461,138,69,3,40,190,184,0
81,60,80,232,59,8,200,36,24,133,163,525,202,70,3,38,189,189,0
89,52,115,151,69,7,139,30,17,136,229,533,217,77,0,-1,185,189,0
86,52,114,154,51,9,140,26,21,150,219,628,249,64,23,-5,188,196,0
106,61,117,212,58,9,135,26,24,133,222,546,270,69,-1,47,186,202,0
83,42,37,132,50,7,160,48,18,117,157,426,144,62,-1,0,203,186,0
76,56,65,196,52,7,143,42,17,144,148,475,167,69,4,0,191,181,0
76,37,58,177,61,6,133,43,17,146,162,270,168,61,3,2,186,182,0
80,42,45,162,59,5,137,45,17,123,149,280,124,71,12,13,183,183,0
82,53,92,211,66,6,133,54,19,125,164,655,271,73,6,-3,201,199,0
99,52,97,224,65,8,190,35,21,145,211,613,180,66,9,38,190,202,0
99,61,96,245,61,6,137,49,16,168,191,544,175,70,3,36,186,208,0
73,42,101,168,66,9,170,38,19,114,172,602,268,69,6,4,184,202,0
91,53,111,213,63,6,106,33,23,139,228,270,280,73,2,-2,184,192,0
100,55,98,220,70,8,143,30,18,119,166,489,172,72,2,26,185,193,0
106,48,99,167,65,10,220,36,21,173,120,724,186,82,21,32,182,195,0
93,35,38,222,65,5,212,48,18,115,215,197,213,72,1,51,180,184,0
