Attr0,Attr1,Attr2,Attr3,Attr4,Attr8,Attr9,class
187.0,31.0,81954.0,0.733,0.899,35499.0,1756.0,1
28.0,31.0,868.0,0.733,0.899,647.0,26.0,1
28.0,31.0,868.0,0.7330006220185876,0.899,647.0,26.0,1
28.0,31.0,868.0,0.733,0.899,647.0,26.0,1
28.0,31.0,868.0,0.733,0.899,647.0,26.0,1
187.0,471.0,81954.0,2.711,0.339,35499.0,1756.0,1
28.0,31.0,868.0,0.733,0.899,647.0,26.0,1
187.0,471.0,81954.0,2.711,0.339,35499.0,1756.0,1
28.0,31.0,868.0,2.711,0.8906885630505561,647.0,26.0,1
28.0,31.0,868.0,0.733,0.899,647.0,26.0,1
178.0,471.0,81954.0,2.71077590853276,0.339,35499.0,1756.0,1
187.0,145.0,25619.0,0.733,0.899,35499.0,1356.0,1
187.0,31.0,81954.0,0.733,0.899,35499.0,1756.0,1
28.0,31.0,868.0,2.711,0.8961218199173219,647.0,26.0,1
28.0,31.0,868.0,0.733,0.899,647.0,26.0,1
28.0,31.0,868.0,1.135614877872452,0.4887565765256338,647.0,59.0,1
28.0,31.0,868.0,0.733,0.899,647.0,26.0,1
187.0,31.0,81954.0,0.733,0.899,35499.0,1756.0,1
28.0,31.0,868.0,1.1087069614121292,0.4987525873374386,647.0,58.0,1
28.0,31.0,868.0,0.733,0.899,647.0,26.0,1
187.0,471.0,81954.0,2.711,0.339,35499.0,1756.0,1
28.0,31.0,868.0,0.7330020016238411,0.899,647.0,26.0,1
28.0,31.0,868.0,0.733,0.899,647.0,26.0,1
187.0,471.0,81954.0,2.7109984906000664,0.339,35499.0,1756.0,1
28.0,31.0,868.0,0.733,0.899,647.0,26.0,1
187.0,31.0,81954.0,0.733,0.899,35499.0,1756.0,1
28.0,31.0,868.0,0.733,0.899,647.0,26.0,1
28.0,31.0,868.0,0.7722263567506654,0.899,647.0,26.0,1
28.0,31.0,868.0,2.711,0.899,647.0,26.0,1
28.0,31.0,868.0,0.733,0.899,647.0,26.0,1
128.0,158.0,25619.0,2.7107752603157005,0.3953869624481606,23457.0,1028.0,1
28.0,31.0,868.0,0.733,0.899,647.0,26.0,1
187.0,31.0,81954.0,0.733,0.899,35499.0,1756.0,1
28.0,32.0,896.0,1.3386934699034538,0.4433761669867821,647.0,59.0,1
93.0,73.0,9672.0,0.974948351750452,0.5206683616232756,5838.0,302.0,1
28.0,31.0,868.0,0.733,0.899,647.0,26.0,1
187.0,31.0,81954.0,0.733,0.899,35499.0,1756.0,1
187.0,471.0,81954.0,2.711,0.339,35499.0,1756.0,1
28.0,31.0,868.0,0.733,0.899,647.0,26.0,1
187.0,471.0,81954.0,2.711,0.339,35499.0,1756.0,1
28.0,31.0,868.0,0.7330025464645102,0.899,647.0,26.0,1
