Attr0,Attr1,Attr2,Attr3,Attr5,Attr6,Attr7,class
1,0.52,0.41,0.16,0.28,0.12,0.25,1
0,0.55,0.43,0.18,0.35,0.16,0.34,1
2,0.5,0.39,0.14,0.22,0.09,0.18,1
1,0.53,0.42,0.17,0.3,0.13,0.27,1
0,0.56,0.44,0.19,0.39,0.18,0.37,1
2,0.48,0.38,0.15,0.25,0.11,0.21,1
1,0.54,0.43,0.16,0.32,0.14,0.29,1
0,0.57,0.45,0.17,0.36,0.17,0.35,1
2,0.49,0.4,0.13,0.2,0.08,0.19,1
1,0.51,0.41,0.15,0.26,0.1,0.23,1
0,0.58,0.46,0.2,0.4,0.19,0.38,1
2,0.47,0.37,0.12,0.18,0.07,0.16,1
1,0.55,0.44,0.18,0.34,0.15,0.33,1
0,0.59,0.47,0.21,0.42,0.2,0.4,1
2,0.46,0.36,0.11,0.15,0.06,0.14,1
1,0.56,0.45,0.19,0.37,0.18,0.36,1
0,0.6,0.48,0.22,0.44,0.21,0.42,1
2,0.45,0.35,0.1,0.12,0.05,0.12,1
1,0.57,0.46,0.2,0.38,0.19,0.39,1
0,0.61,0.49,0.23,0.46,0.22,0.44,1
2,0.44,0.34,0.09,0.1,0.04,0.1,1
1,0.58,0.47,0.21,0.41,0.2,0.41,1
0,0.62,0.5,0.24,0.48,0.23,0.46,1
2,0.43,0.33,0.08,0.08,0.03,0.08,1
1,0.59,0.48,0.22,0.43,0.21,0.43,1
0,0.63,0.51,0.25,0.5,0.24,0.48,1
2,0.42,0.32,0.07,0.06,0.02,0.06,1
1,0.6,0.49,0.23,0.45,0.22,0.45,1
0,0.64,0.52,0.26,0.52,0.25,0.5,1
2,0.41,0.31,0.06,0.04,0.01,0.04,1
2,0.56,0.47,0.19,0.45,0.185,0.31,1
1,0.49,0.36,0.12,0.18,0.07,0.17,1
0,0.57,0.44,0.16,0.37,0.16,0.38,1
2,0.43,0.32,0.13,0.11,0.055,0.135,1
0,0.59,0.46,0.16,0.31,0.14,0.33,1
1,0.5,0.38,0.13,0.2,0.08,0.18,1
0,0.55,0.43,0.15,0.35,0.15,0.36,1
2,0.44,0.33,0.14,0.12,0.06,0.14,1
0,0.6,0.47,0.17,0.39,0.17,0.4,1
1,0.48,0.37,0.11,0.19,0.065,0.16,1
0,0.56,0.42,0.14,0.32,0.13,0.34,1
2,0.41,0.31,0.12,0.1,0.05,0.12,1
0,0.58,0.48,0.18,0.41,0.18,0.42,1
1,0.51,0.39,0.14,0.21,0.09,0.19,1
0,0.54,0.41,0.13,0.33,0.14,0.35,1
2,0.42,0.34,0.15,0.13,0.065,0.145,1
0,0.61,0.49,0.19,0.43,0.19,0.43,1
1,0.47,0.36,0.1,0.17,0.06,0.15,1
0,0.57,0.43,0.15,0.34,0.145,0.36,1
2,0.4,0.3,0.11,0.105,0.045,0.11,1
0,0.59,0.46,0.175,0.38,0.175,0.39,1
1,0.52,0.4,0.15,0.22,0.095,0.2,1
0,0.53,0.4,0.12,0.31,0.135,0.33,1
2,0.39,0.29,0.1,0.09,0.04,0.1,1
0,0.6,0.47,0.185,0.4,0.185,0.41,1
1,0.46,0.35,0.09,0.16,0.055,0.14,1
0,0.55,0.42,0.14,0.32,0.14,0.34,1
2,0.38,0.28,0.095,0.085,0.035,0.095,1
0,0.58,0.44,0.165,0.36,0.165,0.37,1
1,0.53,0.41,0.16,0.23,0.1,0.21,1
1,0.56,0.465,0.18,0.45,0.18,0.29,1
0,0.53,0.44,0.16,0.35,0.15,0.33,1
2,0.51,0.39,0.13,0.22,0.07,0.17,1
0,0.54,0.43,0.15,0.34,0.14,0.31,1
1,0.52,0.405,0.14,0.25,0.09,0.18,1
2,0.55,0.47,0.19,0.48,0.19,0.3,1
0,0.57,0.46,0.17,0.39,0.16,0.34,1
1,0.5,0.38,0.12,0.19,0.065,0.165,1
0,0.59,0.48,0.2,0.49,0.195,0.35,1
2,0.43,0.32,0.125,0.115,0.055,0.135,1
1,0.54,0.42,0.15,0.28,0.12,0.25,1
0,0.56,0.45,0.165,0.36,0.155,0.32,1
2,0.49,0.37,0.13,0.2,0.075,0.16,1
1,0.53,0.41,0.14,0.23,0.095,0.19,1
0,0.58,0.475,0.185,0.47,0.185,0.33,1
2,0.44,0.33,0.13,0.14,0.06,0.14,1
1,0.51,0.395,0.135,0.24,0.08,0.175,1
0,0.55,0.445,0.16,0.38,0.165,0.31,1
2,0.46,0.35,0.14,0.16,0.065,0.15,1
1,0.52,0.405,0.145,0.26,0.1,0.185,1
0,0.57,0.46,0.175,0.42,0.175,0.34,1
2,0.47,0.36,0.135,0.18,0.07,0.155,1
1,0.54,0.425,0.155,0.29,0.125,0.24,1
0,0.59,0.485,0.195,0.5,0.2,0.36,1
2,0.48,0.37,0.14,0.19,0.075,0.165,1
1,0.53,0.415,0.145,0.27,0.115,0.22,1
0,0.56,0.455,0.17,0.4,0.17,0.33,1
2,0.45,0.34,0.135,0.15,0.065,0.145,1
1,0.55,0.435,0.16,0.3,0.13,0.26,1
0,0.58,0.47,0.18,0.46,0.18,0.34,1
1,0.56,0.465,0.185,0.453,0.18,0.295,1
0,0.505,0.38,0.135,0.195,0.075,0.175,1
2,0.565,0.445,0.165,0.367,0.165,0.375,1
1,0.435,0.325,0.115,0.123,0.051,0.125,1
0,0.59,0.445,0.145,0.325,0.135,0.315,1
2,0.55,0.46,0.175,0.445,0.175,0.285,1
1,0.485,0.375,0.13,0.18,0.068,0.165,1
0,0.57,0.44,0.16,0.355,0.155,0.365,1
2,0.415,0.32,0.12,0.108,0.055,0.128,1
1,0.585,0.45,0.15,0.335,0.14,0.31,1
0,0.52,0.39,0.14,0.205,0.078,0.18,1
2,0.555,0.455,0.18,0.435,0.172,0.278,1
1,0.475,0.365,0.128,0.175,0.067,0.162,1
0,0.565,0.435,0.158,0.345,0.152,0.355,1
2,0.405,0.31,0.118,0.105,0.053,0.125,1
1,0.595,0.448,0.148,0.328,0.137,0.308,1
0,0.515,0.385,0.138,0.198,0.076,0.177,1
2,0.545,0.452,0.178,0.428,0.17,0.272,1
1,0.465,0.36,0.126,0.17,0.065,0.158,1
0,0.56,0.43,0.156,0.335,0.15,0.345,1
2,0.395,0.305,0.116,0.102,0.051,0.122,1
1,0.6,0.446,0.146,0.322,0.135,0.305,1
0,0.51,0.38,0.136,0.192,0.074,0.172,1
2,0.535,0.448,0.176,0.42,0.168,0.268,1
1,0.455,0.355,0.124,0.165,0.063,0.155,1
0,0.555,0.425,0.154,0.325,0.148,0.335,1
2,0.385,0.3,0.114,0.1,0.05,0.12,1
1,0.605,0.444,0.144,0.315,0.133,0.302,1
0,0.5,0.375,0.134,0.185,0.072,0.168,1
2,0.525,0.445,0.174,0.412,0.166,0.262,1
2,0.56,0.48,0.19,0.45,0.18,0.3,1
1,0.5,0.38,0.13,0.19,0.07,0.17,1
0,0.57,0.46,0.16,0.38,0.17,0.38,1
2,0.43,0.32,0.12,0.11,0.05,0.12,1
0,0.59,0.45,0.15,0.32,0.14,0.31,1
1,0.51,0.39,0.14,0.2,0.08,0.18,1
2,0.44,0.33,0.13,0.12,0.06,0.13,1
0,0.58,0.46,0.17,0.39,0.18,0.39,1
2,0.45,0.34,0.14,0.14,0.07,0.14,1
1,0.49,0.36,0.12,0.18,0.07,0.16,1
0,0.56,0.44,0.15,0.31,0.13,0.3,1
2,0.42,0.31,0.11,0.1,0.05,0.11,1
1,0.48,0.35,0.11,0.17,0.06,0.15,1
0,0.6,0.47,0.18,0.4,0.19,0.4,1
2,0.46,0.35,0.15,0.15,0.08,0.15,1
1,0.47,0.34,0.1,0.16,0.06,0.14,1
0,0.57,0.45,0.14,0.3,0.12,0.29,1
2,0.41,0.3,0.1,0.09,0.04,0.1,1
1,0.46,0.33,0.09,0.15,0.05,0.13,1
0,0.59,0.48,0.19,0.41,0.2,0.41,1
2,0.47,0.36,0.16,0.16,0.09,0.16,1
1,0.45,0.32,0.08,0.14,0.04,0.12,1
0,0.58,0.47,0.2,0.42,0.21,0.42,1
2,0.48,0.37,0.17,0.17,0.1,0.17,1
1,0.44,0.31,0.07,0.13,0.03,0.11,1
0,0.57,0.46,0.16,0.38,0.17,0.38,1
2,0.49,0.38,0.18,0.18,0.11,0.18,1
1,0.43,0.3,0.06,0.12,0.02,0.1,1
0,0.6,0.49,0.21,0.43,0.22,0.43,1
2,0.5,0.39,0.19,0.19,0.12,0.19,1
1,0.56,0.465,0.18,0.35,0.16,0.33,1
2,0.53,0.44,0.175,0.3,0.14,0.31,1
0,0.54,0.425,0.165,0.32,0.145,0.34,1
1,0.51,0.4,0.16,0.28,0.13,0.29,1
2,0.49,0.385,0.15,0.25,0.125,0.27,1
0,0.52,0.41,0.17,0.29,0.135,0.31,1
1,0.55,0.45,0.19,0.37,0.18,0.35,1
2,0.5,0.39,0.155,0.26,0.128,0.28,1
0,0.57,0.47,0.195,0.4,0.19,0.36,1
1,0.48,0.38,0.145,0.22,0.11,0.24,1
2,0.52,0.42,0.18,0.33,0.15,0.32,1
0,0.51,0.405,0.16,0.27,0.12,0.26,1
1,0.53,0.435,0.175,0.31,0.14,0.3,1
2,0.47,0.36,0.135,0.2,0.1,0.23,1
0,0.56,0.46,0.185,0.34,0.165,0.335,1
1,0.59,0.48,0.2,0.41,0.195,0.37,1
2,0.54,0.43,0.17,0.31,0.14,0.31,1
0,0.5,0.395,0.15,0.24,0.115,0.25,1
1,0.52,0.415,0.165,0.28,0.13,0.28,1
2,0.55,0.445,0.18,0.35,0.16,0.34,1
0,0.53,0.425,0.175,0.3,0.145,0.31,1
1,0.57,0.475,0.195,0.39,0.185,0.35,1
2,0.51,0.4,0.16,0.26,0.125,0.27,1
0,0.54,0.44,0.18,0.32,0.15,0.33,1
1,0.58,0.49,0.21,0.42,0.2,0.38,1
2,0.52,0.41,0.17,0.29,0.135,0.305,1
0,0.55,0.45,0.19,0.36,0.175,0.355,1
1,0.5,0.395,0.155,0.25,0.12,0.26,1
2,0.53,0.43,0.175,0.3,0.14,0.31,1
0,0.56,0.46,0.185,0.33,0.16,0.34,1
1,0.56,0.465,0.18,0.45,0.175,0.29,1
0,0.54,0.44,0.16,0.35,0.15,0.35,1
2,0.51,0.39,0.13,0.21,0.08,0.18,1
1,0.53,0.41,0.14,0.25,0.09,0.22,1
0,0.55,0.43,0.15,0.33,0.14,0.31,1
2,0.52,0.4,0.135,0.23,0.085,0.19,1
1,0.54,0.42,0.145,0.26,0.095,0.23,1
0,0.56,0.45,0.165,0.34,0.155,0.33,1
2,0.53,0.41,0.14,0.24,0.09,0.21,1
1,0.55,0.43,0.155,0.32,0.145,0.3,1
0,0.57,0.46,0.175,0.36,0.165,0.34,1
2,0.54,0.42,0.15,0.27,0.1,0.24,1
1,0.56,0.44,0.16,0.35,0.15,0.32,1
0,0.58,0.47,0.185,0.38,0.175,0.35,1
2,0.55,0.43,0.155,0.29,0.11,0.25,1
1,0.57,0.45,0.17,0.37,0.16,0.33,1
0,0.59,0.48,0.19,0.39,0.18,0.36,1
2,0.56,0.44,0.165,0.31,0.12,0.26,1
1,0.58,0.46,0.18,0.38,0.17,0.34,1
0,0.6,0.49,0.195,0.4,0.185,0.37,1
2,0.57,0.45,0.175,0.33,0.13,0.27,1
1,0.59,0.47,0.185,0.39,0.18,0.35,1
0,0.61,0.5,0.2,0.41,0.19,0.38,1
2,0.58,0.46,0.18,0.35,0.14,0.28,1
1,0.6,0.48,0.19,0.4,0.185,0.36,1
0,0.62,0.51,0.205,0.42,0.195,0.39,1
2,0.59,0.47,0.19,0.37,0.15,0.29,1
1,0.61,0.49,0.2,0.41,0.19,0.37,1
0,0.63,0.52,0.21,0.43,0.2,0.4,1
2,0.6,0.48,0.195,0.39,0.16,0.3,1
1,0.52,0.41,0.16,0.28,0.12,0.24,1
2,0.53,0.43,0.18,0.35,0.15,0.29,1
0,0.56,0.44,0.17,0.36,0.16,0.33,1
1,0.48,0.38,0.14,0.22,0.09,0.18,1
2,0.44,0.32,0.13,0.14,0.06,0.14,1
0,0.59,0.46,0.19,0.39,0.18,0.37,1
1,0.51,0.4,0.15,0.25,0.11,0.21,1
2,0.54,0.42,0.17,0.31,0.14,0.27,1
0,0.57,0.45,0.18,0.38,0.17,0.34,1
1,0.49,0.39,0.13,0.2,0.08,0.17,1
2,0.43,0.33,0.12,0.12,0.05,0.12,1
0,0.58,0.47,0.2,0.4,0.19,0.38,1
1,0.5,0.395,0.145,0.23,0.095,0.195,1
2,0.55,0.435,0.175,0.34,0.155,0.31,1
0,0.565,0.445,0.165,0.335,0.145,0.325,1
1,0.485,0.375,0.135,0.195,0.075,0.175,1
2,0.435,0.325,0.115,0.125,0.055,0.135,1
0,0.585,0.465,0.185,0.395,0.175,0.365,1
1,0.505,0.405,0.155,0.255,0.105,0.215,1
2,0.525,0.415,0.165,0.29,0.125,0.25,1
0,0.555,0.435,0.175,0.345,0.155,0.315,1
1,0.475,0.365,0.145,0.215,0.085,0.185,1
2,0.445,0.335,0.11,0.135,0.045,0.145,1
0,0.595,0.445,0.195,0.405,0.185,0.375,1
1,0.515,0.395,0.125,0.245,0.115,0.225,1
2,0.535,0.425,0.19,0.33,0.135,0.28,1
0,0.545,0.425,0.16,0.325,0.14,0.295,1
1,0.465,0.355,0.12,0.205,0.065,0.165,1
2,0.455,0.345,0.105,0.145,0.035,0.155,1
0,0.605,0.485,0.21,0.415,0.195,0.395,1
2,0.56,0.465,0.185,0.4535,0.1805,0.295,1
1,0.505,0.38,0.135,0.195,0.0805,0.179,1
0,0.565,0.44,0.165,0.3675,0.1605,0.375,1
2,0.435,0.325,0.135,0.1235,0.0665,0.14,1
0,0.59,0.445,0.145,0.305,0.1285,0.31,1
1,0.485,0.365,0.115,0.175,0.0605,0.159,1
2,0.545,0.425,0.175,0.4435,0.1755,0.285,1
0,0.595,0.46,0.16,0.325,0.1355,0.33,1
1,0.515,0.375,0.14,0.205,0.0905,0.189,1
2,0.415,0.305,0.115,0.1035,0.0465,0.12,1
0,0.555,0.435,0.155,0.3575,0.1555,0.365,1
1,0.525,0.39,0.145,0.215,0.1005,0.199,1
2,0.455,0.335,0.145,0.1335,0.0765,0.15,1
0,0.605,0.47,0.175,0.335,0.1455,0.34,1
1,0.475,0.355,0.105,0.165,0.0505,0.149,1
2,0.535,0.415,0.165,0.4335,0.1655,0.275,1
0,0.585,0.45,0.15,0.295,0.1255,0.3,1
1,0.535,0.385,0.13,0.225,0.1105,0.209,1
2,0.445,0.345,0.155,0.1435,0.0865,0.16,1
0,0.615,0.48,0.18,0.345,0.1555,0.35,1
1,0.465,0.345,0.095,0.155,0.0405,0.139,1
2,0.525,0.405,0.155,0.4235,0.1555,0.265,1
0,0.595,0.44,0.14,0.285,0.1155,0.29,1
1,0.545,0.395,0.12,0.235,0.1205,0.219,1
2,0.465,0.355,0.165,0.1535,0.0965,0.17,1
0,0.625,0.49,0.185,0.355,0.1655,0.36,1
1,0.455,0.335,0.085,0.145,0.0305,0.129,1
2,0.515,0.395,0.145,0.4135,0.1455,0.255,1
0,0.605,0.43,0.13,0.275,0.1055,0.28,1
1,0.555,0.405,0.11,0.245,0.1305,0.229,1
2,0.56,0.465,0.185,0.4535,0.1805,0.295,1
1,0.485,0.36,0.115,0.175,0.0605,0.159,1
0,0.565,0.44,0.16,0.3675,0.1605,0.375,1
2,0.415,0.305,0.115,0.1035,0.0465,0.12,1
0,0.57,0.445,0.145,0.305,0.1285,0.31,1
2,0.55,0.455,0.175,0.4435,0.1705,0.285,1
1,0.475,0.35,0.105,0.165,0.0505,0.149,1
0,0.555,0.43,0.15,0.3575,0.1505,0.365,1
2,0.405,0.295,0.105,0.0935,0.0365,0.11,1
0,0.56,0.435,0.135,0.295,0.1185,0.3,1
2,0.54,0.445,0.165,0.4335,0.1605,0.275,1
1,0.465,0.34,0.095,0.155,0.0405,0.139,1
0,0.545,0.42,0.14,0.3475,0.1405,0.355,1
2,0.395,0.285,0.095,0.0835,0.0265,0.1,1
0,0.55,0.425,0.125,0.285,0.1085,0.29,1
2,0.53,0.435,0.155,0.4235,0.1505,0.265,1
1,0.455,0.33,0.085,0.145,0.0305,0.129,1
0,0.535,0.41,0.13,0.3375,0.1305,0.345,1
2,0.385,0.275,0.085,0.0735,0.0165,0.09,1
0,0.54,0.415,0.115,0.275,0.0985,0.28,1
2,0.52,0.425,0.145,0.4135,0.1405,0.255,1
1,0.445,0.32,0.075,0.135,0.0205,0.119,1
0,0.525,0.4,0.12,0.3275,0.1205,0.335,1
2,0.375,0.265,0.075,0.0635,0.0065,0.08,1
0,0.53,0.405,0.105,0.265,0.0885,0.27,1
2,0.51,0.415,0.135,0.4035,0.1305,0.245,1
1,0.435,0.31,0.065,0.125,0.0105,0.109,1
0,0.515,0.39,0.11,0.3175,0.1105,0.325,1
2,0.365,0.255,0.065,0.0535,-0.0035,0.07,1
