Attr0,Attr1,Attr2,Attr3,Attr5,Attr6,Attr7,class
2,0.475,0.37,0.125,0.2165,0.1125,0.165,0
2,0.45,0.32,0.1,0.1705,0.075,0.115,0
0,0.55,0.415,0.135,0.318,0.21,0.2,0
2,0.665,0.525,0.165,0.5515,0.3575,0.35,1
2,0.355,0.29,0.09,0.134,0.086,0.09,0
0,0.45,0.335,0.105,0.1865,0.091,0.115,0
2,0.47,0.37,0.12,0.293,0.227,0.14,0
0,0.525,0.425,0.16,0.3545,0.2135,0.245,0
2,0.505,0.405,0.11,0.305,0.16,0.175,0
2,0.595,0.475,0.14,0.3625,0.189,0.315,0
0,0.575,0.445,0.14,0.3845,0.252,0.285,0
0,0.46,0.355,0.13,0.2205,0.114,0.165,0
2,0.535,0.435,0.15,0.269,0.1385,0.25,0
0,0.51,0.39,0.135,0.231,0.179,0.2,0
0,0.435,0.395,0.105,0.136,0.098,0.13,0
2,0.495,0.395,0.125,0.2375,0.1345,0.155,0
2,0.465,0.36,0.105,0.172,0.107,0.175,0
1,0.435,0.32,0.08,0.1485,0.0635,0.105,0
2,0.425,0.35,0.105,0.13,0.063,0.165,0
0,0.56,0.43,0.15,0.3465,0.172,0.31,0
0,0.47,0.365,0.105,0.163,0.1035,0.14,0
2,0.71,0.54,0.165,0.7665,0.261,0.78,1
0,0.44,0.35,0.125,0.175,0.063,0.129,0
2,0.345,0.255,0.09,0.094,0.0295,0.063,0
0,0.405,0.325,0.11,0.151,0.063,0.117,0
2,0.375,0.285,0.095,0.096,0.0575,0.0925,0
1,0.28,0.205,0.08,0.052,0.039,0.042,0
0,0.605,0.5,0.185,0.469,0.2585,0.335,0
0,0.725,0.56,0.21,0.65,0.398,1.005,1
0,0.585,0.46,0.17,0.365,0.271,0.29,0
0,0.45,0.345,0.12,0.1655,0.095,0.135,0
0,0.44,0.34,0.14,0.186,0.1085,0.16,0
1,0.4,0.3,0.11,0.109,0.067,0.12,0
2,0.5,0.405,0.14,0.241,0.1355,0.205,0
0,0.445,0.325,0.125,0.1785,0.1125,0.14,0
0,0.49,0.375,0.15,0.22,0.144,0.19,0
0,0.5,0.37,0.135,0.1715,0.1055,0.155,0
1,0.295,0.225,0.08,0.0485,0.032,0.04,0
1,0.36,0.275,0.085,0.0745,0.0415,0.07,0
2,0.47,0.39,0.15,0.2185,0.0885,0.255,0
2,0.61,0.5,0.24,0.532,0.3345,0.69,1
0,0.455,0.355,0.12,0.177,0.104,0.15,0
2,0.44,0.355,0.125,0.132,0.0815,0.19,0
2,0.37,0.28,0.105,0.0905,0.0585,0.075,0
0,0.405,0.305,0.095,0.1455,0.0895,0.1,0
0,0.58,0.455,0.155,0.315,0.1385,0.32,1
0,0.525,0.42,0.16,0.2745,0.173,0.275,0
2,0.58,0.455,0.17,0.408,0.259,0.22,0
