Attr0,Attr1,Attr2,Attr3,class
4.8,3.5,1.6,0.4,1
5.0,3.9,1.7,0.5,1
4.3,3.0,1.2,0.1,1
4.6,3.4,1.4,0.3,1
4.9,3.8,1.6,0.6,1
5.2,4.0,1.8,0.7,1
4.5,3.1,1.1,0.2,1
4.8,3.6,1.5,0.5,1
5.0,3.3,1.9,0.8,1
4.4,3.5,1.3,0.4,1
5.3,3.4,1.6,0.4,1
4.8,3.3,1.4,0.3,1
5.5,3.9,1.7,0.5,1
4.6,3.0,1.2,0.2,1
5.2,3.6,1.4,0.4,1
5.8,3.5,1.7,0.5,1
4.9,3.4,1.3,0.3,1
5.7,3.9,1.8,0.6,1
4.4,3.1,1.2,0.2,1
5.0,3.5,1.6,0.4,1
5.6,3.8,1.6,0.4,1
4.3,3.4,1.2,0.3,1
5.9,3.9,1.7,0.5,1
4.6,3.5,1.4,0.2,1
5.8,3.3,1.5,0.4,1
4.1,3.0,1.1,0.1,1
5.4,3.6,1.6,0.3,1
4.9,3.4,1.3,0.2,1
5.7,3.8,1.9,0.5,1
5.2,3.5,1.4,0.4,1
5.7,3.8,1.6,0.4,1
4.8,3.5,1.4,0.3,1
5.3,3.9,1.7,0.5,1
4.6,3.4,1.2,0.2,1
5.0,3.6,1.5,0.3,1
5.5,3.9,1.8,0.6,1
4.9,3.3,1.4,0.2,1
5.2,3.7,1.6,0.4,1
4.5,3.1,1.3,0.1,1
5.8,4.0,1.9,0.7,1
5.7,3.9,1.6,0.4,1
5.8,3.4,1.7,0.3,1
4.6,3.5,1.4,0.2,1
5.3,3.6,1.6,0.3,1
5.9,3.8,1.4,0.4,1
4.3,3.1,1.2,0.1,1
5.5,3.9,1.7,0.5,1
5.2,3.4,1.6,0.3,1
5.4,3.6,1.5,0.3,1
5.0,3.3,1.4,0.2,1
5.6,3.9,1.7,0.5,1
4.8,3.5,1.6,0.3,1
5.3,3.1,1.4,0.2,1
4.5,3.8,1.9,0.6,1
5.9,3.3,1.7,0.4,1
5.2,3.4,1.1,0.1,1
4.3,3.6,1.8,0.5,1
5.5,3.9,1.2,0.3,1
5.0,3.7,1.4,0.2,1
4.6,3.4,1.5,0.4,1
5.3,3.9,1.4,0.3,1
4.8,3.4,1.6,0.2,1
4.9,3.8,1.7,0.5,1
5.0,3.5,1.3,0.6,1
4.3,3.1,1.2,0.1,1
4.5,3.6,1.4,0.3,1
5.2,4.0,1.7,0.4,1
4.7,3.9,1.5,0.2,1
4.4,3.5,1.2,0.3,1
