Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.98,0.85,0.83,0.87,0.91,0.91,0.93
Random Forest,0.97,0.82,0.77,0.87,0.90,0.90,0.91
Decision Tree,0.95,0.78,0.78,0.78,0.86,0.86,0.90
XGBoost,0.97,0.77,0.81,0.74,0.84,0.84,0.90
AdaBoost,0.96,0.86,0.81,0.91,0.92,0.92,0.93
Gradient Boosting,0.97,0.83,0.80,0.87,0.90,0.90,0.92
Extra Trees,0.96,0.78,0.68,0.91,0.89,0.89,0.88
LightGBM,0.97,0.81,0.79,0.83,0.88,0.88,0.91
Neural Network (MLP),0.94,0.72,0.63,0.83,0.84,0.84,0.85
Logistic Regression,0.94,0.76,0.63,0.96,0.89,0.89,0.86
