Attr0,Attr1,Attr2,Attr3,class
4.64,3.07,1.42,0.2,1
4.92,3.13,1.4,0.2,1
5.35,3.32,1.52,0.28,1
4.78,3.26,1.4,0.25,1
4.99,3.37,1.45,0.2,1
4.77,2.92,1.4,0.2,1
5.12,3.1,1.41,0.2,1
4.85,3.3,1.45,0.2,1
4.87,3.0,1.4,0.19,1
4.47,3.0,1.23,0.14,1
5.19,3.83,1.47,0.32,1
5.16,3.15,1.33,0.23,1
4.96,3.49,1.4,0.25,1
5.26,3.74,1.48,0.3,1
5.02,3.62,1.45,0.25,1
5.33,3.26,1.63,0.2,1
5.07,3.06,1.46,0.34,1
4.64,3.48,1.15,0.2,1
5.06,3.26,1.56,0.46,1
4.84,3.29,1.87,0.2,1
4.96,3.0,1.56,0.2,1
4.96,3.27,1.52,0.32,1
5.0,3.41,1.48,0.2,1
5.14,3.23,1.4,0.2,1
4.77,3.03,1.49,0.2,1
4.86,3.07,1.58,0.2,1
5.01,3.1,1.49,0.21,1
5.16,3.62,1.46,0.11,1
5.28,3.93,1.4,0.2,1
4.9,3.03,1.48,0.16,1
4.92,3.15,1.32,0.2,1
5.17,3.16,1.39,0.2,1
4.9,3.08,1.45,0.11,1
4.7,3.0,1.3,0.2,1
5.08,3.01,1.49,0.2,1
4.93,3.33,1.36,0.26,1
