idx1,idx2,attribute_count,in_all_attrs
9,106,18,True
123,132,18,True
122,159,18,True
51,108,18,True
40,141,18,True
50,195,18,True
9,198,18,True
10,21,18,True
120,195,18,True
120,197,18,True
124,134,18,True
120,180,18,True
120,184,18,True
120,158,18,True
50,166,18,True
40,157,18,True
120,128,18,True
120,131,18,True
120,135,18,True
120,138,18,True
40,46,18,True
31,136,18,True
66,196,18,True
30,170,18,True
68,86,18,True
119,142,18,True
119,140,18,True
10,134,18,True
118,192,18,True
8,168,18,True
10,144,18,True
10,147,18,True
10,152,18,True
65,178,18,True
68,150,18,True
180,187,18,True
68,105,18,True
68,107,18,True
52,110,18,True
11,14,18,True
11,17,18,True
50,153,18,True
52,130,18,True
8,180,18,True
8,158,18,True
11,60,18,True
116,170,18,True
11,72,18,True
8,131,18,True
30,86,18,True
179,188,18,True
68,182,18,True
11,88,18,True
11,90,18,True
11,92,18,True
115,168,18,True
8,115,18,True
126,151,18,True
8,120,18,True
11,104,18,True
11,120,18,True
11,128,18,True
11,131,18,True
50,131,18,True
50,138,18,True
50,146,18,True
115,138,18,True
31,174,18,True
45,87,18,True
69,100,18,True
30,68,18,True
30,107,18,True
11,138,18,True
53,59,18,True
8,88,18,True
8,93,18,True
11,158,18,True
11,180,18,True
11,184,18,True
11,195,18,True
114,144,18,True
70,81,18,True
69,188,18,True
69,179,18,True
11,197,18,True
50,111,18,True
8,59,18,True
114,148,18,True
114,152,18,True
12,42,18,True
12,48,18,True
113,157,18,True
12,59,18,True
8,14,18,True
12,85,18,True
12,88,18,True
39,55,18,True
7,195,18,True
70,146,18,True
176,181,18,True
176,198,18,True
70,123,18,True
70,132,18,True
7,197,18,True
127,163,18,True
8,11,18,True
8,12,18,True
112,145,18,True
112,157,18,True
112,164,18,True
50,82,18,True
111,195,18,True
112,113,18,True
71,72,18,True
175,191,18,True
32,74,18,True
32,80,18,True
28,196,18,True
7,153,18,True
7,155,18,True
12,163,18,True
12,165,18,True
128,158,18,True
111,153,18,True
12,187,18,True
7,131,18,True
128,184,18,True
49,189,18,True
110,149,18,True
110,162,18,True
53,156,18,True
38,193,18,True
49,172,18,True
7,120,18,True
110,112,18,True
109,184,18,True
7,104,18,True
7,111,18,True
53,163,18,True
53,165,18,True
53,175,18,True
130,140,18,True
109,135,18,True
109,120,18,True
109,128,18,True
53,191,18,True
32,87,18,True
32,97,18,True
38,152,18,True
38,154,18,True
49,139,18,True
129,183,18,True
14,17,18,True
107,181,18,True
107,182,18,True
7,50,18,True
130,142,18,True
130,160,18,True
14,72,18,True
107,170,18,True
107,150,18,True
71,180,18,True
71,187,18,True
71,156,18,True
28,123,18,True
131,135,18,True
14,120,18,True
131,155,18,True
131,158,18,True
14,90,18,True
14,104,18,True
14,109,18,True
105,198,18,True
14,128,18,True
14,131,18,True
14,135,18,True
132,146,18,True
6,176,18,True
131,180,18,True
131,184,18,True
38,114,18,True
105,176,18,True
105,181,18,True
1,50,18,True
1,60,18,True
172,189,18,True
45,121,18,True
28,97,18,True
72,90,18,True
28,74,18,True
14,138,18,True
14,184,18,True
14,158,18,True
131,195,18,True
131,197,18,True
44,85,18,True
170,198,18,True
28,80,18,True
72,104,18,True
72,109,18,True
14,197,18,True
48,187,18,True
38,98,18,True
105,107,18,True
15,28,18,True
104,197,18,True
6,122,18,True
54,177,18,True
38,73,18,True
104,180,18,True
104,184,18,True
168,195,18,True
27,190,18,True
28,32,18,True
72,120,18,True
72,128,18,True
104,158,18,True
48,156,18,True
48,163,18,True
48,165,18,True
54,198,18,True
15,97,18,True
104,120,18,True
104,128,18,True
104,131,18,True
133,173,18,True
6,96,18,True
6,102,18,True
104,135,18,True
104,109,18,True
