dataset;metodo;Silhouette;Davies-Bouldin;Compactness_class_1;KL_mean;JS_mean;Q_multi_attribute_similarity;mDCR
abalone9-18;casTGAN;0.223 ± 0.000;1.741 ± 0.000;7.824 ± 0.000;5.29 ± 0.000;0.209 ± 0.000;0.534 ± 0.000;4.164 ± 0.000
cleveland-0_vs_4;casTGAN;0.207 ± 0.000;2.041 ± 0.000;14.28 ± 0.000;nan ± 0.000;nan ± 0.000;nan ± 0.000;1.084 ± 0.000
dermatology-6;casTGAN;0.095 ± 0.000;2.383 ± 0.000;22.52 ± 0.000;1.715 ± 0.000;0.092 ± 0.000;0.82 ± 0.000;1.441 ± 0.000
iris0;casTGAN;0.418 ± 0.000;1.098 ± 0.000;3.643 ± 0.000;5.813 ± 0.000;0.153 ± 0.000;0.537 ± 0.000;5.897 ± 0.000
ecoli-0_vs_1;casTGAN;0.219 ± 0.000;1.995 ± 0.000;9.602 ± 0.000;1.722 ± 0.000;0.086 ± 0.000;nan ± 0.000;3.188 ± 0.000
ecoli1;casTGAN;0.179 ± 0.000;1.886 ± 0.000;3.911 ± 0.000;nan ± 0.000;nan ± 0.000;nan ± 0.000;2.476 ± 0.000
kddcup-guess_passwd_vs_satan;casTGAN;0.628 ± 0.000;0.756 ± 0.000;57.681 ± 0.000;6.109 ± 0.000;0.173 ± 0.000;nan ± 0.000;0.0 ± 0.000
Migraine_onevsrest_0;casTGAN;0.189 ± 0.000;4.153 ± 0.000;41.777 ± 0.000;3.712 ± 0.000;0.111 ± 0.000;nan ± 0.000;1.471 ± 0.000
Migraine_onevsrest_1;casTGAN;0.049 ± 0.000;2.486 ± 0.000;11.874 ± 0.000;2.408 ± 0.000;0.056 ± 0.000;0.885 ± 0.000;1.225 ± 0.000
Migraine_onevsrest_2;casTGAN;0.281 ± 0.000;2.073 ± 0.000;26.667 ± 0.000;1.783 ± 0.000;0.079 ± 0.000;nan ± 0.000;2.121 ± 0.000
Migraine_onevsrest_3;casTGAN;0.487 ± 0.000;1.493 ± 0.000;50.876 ± 0.000;2.24 ± 0.000;0.093 ± 0.000;0.808 ± 0.000;2.121 ± 0.000
Migraine_onevsrest_4;casTGAN;0.279 ± 0.000;2.429 ± 0.000;36.474 ± 0.000;1.083 ± 0.000;0.076 ± 0.000;0.851 ± 0.000;1.871 ± 0.000
Migraine_onevsrest_5;casTGAN;0.091 ± 0.000;2.98 ± 0.000;16.644 ± 0.000;2.072 ± 0.000;0.069 ± 0.000;nan ± 0.000;1.581 ± 0.000
new-thyroid1;casTGAN;0.34 ± 0.000;1.461 ± 0.000;5.305 ± 0.000;3.976 ± 0.000;0.172 ± 0.000;0.527 ± 0.000;3.728 ± 0.000
newthyroid2;casTGAN;0.322 ± 0.000;1.401 ± 0.000;4.162 ± 0.000;6.568 ± 0.000;0.248 ± 0.000;0.483 ± 0.000;3.575 ± 0.000
Obesity_onevsrest_0;casTGAN;0.113 ± 0.000;3.155 ± 0.000;15.925 ± 0.000;12.478 ± 0.000;0.297 ± 0.000;0.518 ± 0.000;3.131 ± 0.000
Obesity_onevsrest_1;casTGAN;0.134 ± 0.000;4.039 ± 0.000;21.3 ± 0.000;0.782 ± 0.000;0.063 ± 0.000;0.854 ± 0.000;2.725 ± 0.000
Obesity_onevsrest_2;casTGAN;0.056 ± 0.000;6.212 ± 0.000;17.598 ± 0.000;1.084 ± 0.000;0.081 ± 0.000;0.827 ± 0.000;2.738 ± 0.000
Obesity_onevsrest_3;casTGAN;0.03 ± 0.000;5.274 ± 0.000;14.588 ± 0.000;1.088 ± 0.000;0.087 ± 0.000;0.814 ± 0.000;2.539 ± 0.000
Obesity_onevsrest_4;casTGAN;0.019 ± 0.000;5.692 ± 0.000;14.585 ± 0.000;1.388 ± 0.000;0.097 ± 0.000;0.793 ± 0.000;2.927 ± 0.000
Obesity_onevsrest_5;casTGAN;0.015 ± 0.000;2.879 ± 0.000;9.798 ± 0.000;3.424 ± 0.000;0.129 ± 0.000;0.742 ± 0.000;2.258 ± 0.000
Obesity_onevsrest_6;casTGAN;0.021 ± 0.000;2.319 ± 0.000;4.273 ± 0.000;2.397 ± 0.000;0.101 ± 0.000;0.808 ± 0.000;5.132 ± 0.000
page-blocks-1-3_vs_4;casTGAN;0.373 ± 0.000;1.739 ± 0.000;11.592 ± 0.000;4.18 ± 0.000;0.309 ± 0.000;0.431 ± 0.000;1132.852 ± 0.000
pima;casTGAN;0.094 ± 0.000;3.635 ± 0.000;9.379 ± 0.000;6.709 ± 0.000;0.24 ± 0.000;0.441 ± 0.000;2.851 ± 0.000
transfusion;casTGAN;0.073 ± 0.000;3.654 ± 0.000;4.591 ± 0.000;3.283 ± 0.000;0.146 ± 0.000;0.542 ± 0.000;60.295 ± 0.000
vowel0;casTGAN;0.137 ± 0.000;2.551 ± 0.000;10.781 ± 0.000;1.132 ± 0.000;0.111 ± 0.000;0.684 ± 0.000;8.031 ± 0.000
yeast1;casTGAN;0.047 ± 0.000;3.687 ± 0.000;6.396 ± 0.000;1.2 ± 0.000;0.088 ± 0.000;0.734 ± 0.000;1.711 ± 0.000
yeast3;casTGAN;0.057 ± 0.000;3.173 ± 0.000;5.438 ± 0.000;nan ± 0.000;nan ± 0.000;nan ± 0.000;2.029 ± 0.000
abalone9-18;SMOTE;0.122 ± 0.000;2.049 ± 0.000;5.026 ± 0.000;2.793 ± 0.000;0.121 ± 0.000;0.74 ± 0.000;1.187 ± 0.000
cleveland-0_vs_4;SMOTE;0.206 ± 0.000;1.781 ± 0.000;7.115 ± 0.000;2.8 ± 0.000;0.19 ± 0.000;0.643 ± 0.000;0.868 ± 0.000
dermatology-6;SMOTE;0.124 ± 0.000;1.58 ± 0.000;11.006 ± 0.000;5.746 ± 0.000;0.152 ± 0.000;0.729 ± 0.000;0.707 ± 0.000
iris0;SMOTE;0.608 ± 0.000;0.581 ± 0.000;0.787 ± 0.000;12.056 ± 0.000;0.277 ± 0.000;0.65 ± 0.000;0.292 ± 0.000
ecoli-0_vs_1;SMOTE;0.354 ± 0.000;1.204 ± 0.000;5.973 ± 0.000;2.339 ± 0.000;0.1 ± 0.000;0.771 ± 0.000;0.431 ± 0.000
ecoli1;SMOTE;0.211 ± 0.000;1.807 ± 0.000;3.101 ± 0.000;2.383 ± 0.000;0.104 ± 0.000;0.782 ± 0.000;0.432 ± 0.000
kddcup-guess_passwd_vs_satan;SMOTE;0.549 ± 0.000;0.854 ± 0.000;13.334 ± 0.000;5.714 ± 0.000;0.193 ± 0.000;0.668 ± 0.000;0.0 ± 0.000
Migraine_onevsrest_0;SMOTE;0.119 ± 0.000;4.313 ± 0.000;32.326 ± 0.000;0.149 ± 0.000;0.012 ± 0.000;0.969 ± 0.000;0.816 ± 0.000
Migraine_onevsrest_1;SMOTE;0.038 ± 0.000;2.323 ± 0.000;5.031 ± 0.000;1.978 ± 0.000;0.051 ± 0.000;0.901 ± 0.000;1.0 ± 0.000
Migraine_onevsrest_2;SMOTE;0.058 ± 0.000;3.217 ± 0.000;14.614 ± 0.000;1.999 ± 0.000;0.052 ± 0.000;0.896 ± 0.000;1.0 ± 0.000
Migraine_onevsrest_3;SMOTE;0.315 ± 0.000;1.319 ± 0.000;14.486 ± 0.000;4.087 ± 0.000;0.111 ± 0.000;0.79 ± 0.000;1.414 ± 0.000
Migraine_onevsrest_4;SMOTE;0.206 ± 0.000;3.193 ± 0.000;31.975 ± 0.000;1.651 ± 0.000;0.043 ± 0.000;0.913 ± 0.000;1.414 ± 0.000
Migraine_onevsrest_5;SMOTE;0.013 ± 0.000;3.424 ± 0.000;12.237 ± 0.000;2.018 ± 0.000;0.05 ± 0.000;0.9 ± 0.000;1.0 ± 0.000
new-thyroid1;SMOTE;0.353 ± 0.000;1.112 ± 0.000;2.72 ± 0.000;8.274 ± 0.000;0.272 ± 0.000;0.544 ± 0.000;0.686 ± 0.000
newthyroid2;SMOTE;0.356 ± 0.000;1.113 ± 0.000;2.663 ± 0.000;8.474 ± 0.000;0.285 ± 0.000;0.53 ± 0.000;0.849 ± 0.000
Obesity_onevsrest_0;SMOTE;0.1 ± 0.000;3.105 ± 0.000;13.187 ± 0.000;1.25 ± 0.000;0.062 ± 0.000;0.866 ± 0.000;0.243 ± 0.000
Obesity_onevsrest_1;SMOTE;0.075 ± 0.000;3.682 ± 0.000;14.99 ± 0.000;0.65 ± 0.000;0.043 ± 0.000;0.907 ± 0.000;1.514 ± 0.000
Obesity_onevsrest_2;SMOTE;0.029 ± 0.000;5.807 ± 0.000;13.79 ± 0.000;0.761 ± 0.000;0.035 ± 0.000;0.915 ± 0.000;0.608 ± 0.000
Obesity_onevsrest_3;SMOTE;0.028 ± 0.000;5.468 ± 0.000;12.192 ± 0.000;0.854 ± 0.000;0.042 ± 0.000;0.905 ± 0.000;0.661 ± 0.000
Obesity_onevsrest_4;SMOTE;0.029 ± 0.000;5.336 ± 0.000;11.394 ± 0.000;0.743 ± 0.000;0.039 ± 0.000;0.91 ± 0.000;0.352 ± 0.000
Obesity_onevsrest_5;SMOTE;0.097 ± 0.000;2.767 ± 0.000;8.319 ± 0.000;1.926 ± 0.000;0.075 ± 0.000;0.848 ± 0.000;0.199 ± 0.000
Obesity_onevsrest_6;SMOTE;0.173 ± 0.000;1.97 ± 0.000;1.673 ± 0.000;4.579 ± 0.000;0.103 ± 0.000;0.811 ± 0.000;0.016 ± 0.000
page-blocks-1-3_vs_4;SMOTE;0.191 ± 0.000;1.832 ± 0.000;6.586 ± 0.000;8.522 ± 0.000;0.334 ± 0.000;0.456 ± 0.000;51.095 ± 0.000
pima;SMOTE;0.069 ± 0.000;3.723 ± 0.000;8.446 ± 0.000;0.595 ± 0.000;0.047 ± 0.000;0.8 ± 0.000;0.41 ± 0.000
transfusion;SMOTE;0.083 ± 0.000;2.786 ± 0.000;4.248 ± 0.000;0.768 ± 0.000;0.089 ± 0.000;0.759 ± 0.000;2.449 ± 0.000
vowel0;SMOTE;0.134 ± 0.000;2.649 ± 0.000;10.208 ± 0.000;2.463 ± 0.000;0.113 ± 0.000;0.687 ± 0.000;0.504 ± 0.000
yeast1;SMOTE;0.038 ± 0.000;3.966 ± 0.000;5.348 ± 0.000;1.013 ± 0.000;0.05 ± 0.000;0.844 ± 0.000;0.368 ± 0.000
yeast3;SMOTE;0.117 ± 0.000;2.414 ± 0.000;3.311 ± 0.000;2.82 ± 0.000;0.089 ± 0.000;0.79 ± 0.000;0.393 ± 0.000
abalone9-18;SMOTECDNN;0.123 ± 0.000;2.049 ± 0.000;5.092 ± 0.000;2.615 ± 0.000;0.124 ± 0.000;0.733 ± 0.000;1.073 ± 0.000
cleveland-0_vs_4;SMOTECDNN;0.203 ± 0.000;1.795 ± 0.000;7.268 ± 0.000;2.78 ± 0.000;0.183 ± 0.000;0.649 ± 0.000;0.667 ± 0.000
dermatology-6;SMOTECDNN;0.123 ± 0.000;1.605 ± 0.000;10.475 ± 0.000;5.632 ± 0.000;0.153 ± 0.000;0.728 ± 0.000;0.679 ± 0.000
iris0;SMOTECDNN;0.603 ± 0.000;0.595 ± 0.000;0.849 ± 0.000;12.293 ± 0.000;0.274 ± 0.000;0.65 ± 0.000;0.329 ± 0.000
ecoli-0_vs_1;SMOTECDNN;0.352 ± 0.000;1.205 ± 0.000;5.845 ± 0.000;3.832 ± 0.000;0.113 ± 0.000;0.757 ± 0.000;0.473 ± 0.000
ecoli1;SMOTECDNN;0.22 ± 0.000;1.743 ± 0.000;2.832 ± 0.000;3.66 ± 0.000;0.118 ± 0.000;0.764 ± 0.000;0.359 ± 0.000
kddcup-guess_passwd_vs_satan;SMOTECDNN;0.55 ± 0.000;0.841 ± 0.000;12.456 ± 0.000;5.919 ± 0.000;0.195 ± 0.000;0.666 ± 0.000;0.0 ± 0.000
Migraine_onevsrest_0;SMOTECDNN;0.138 ± 0.000;4.147 ± 0.000;33.223 ± 0.000;0.281 ± 0.000;0.017 ± 0.000;0.959 ± 0.000;0.816 ± 0.000
Migraine_onevsrest_1;SMOTECDNN;0.035 ± 0.000;2.336 ± 0.000;5.078 ± 0.000;1.998 ± 0.000;0.052 ± 0.000;0.9 ± 0.000;1.0 ± 0.000
Migraine_onevsrest_2;SMOTECDNN;0.054 ± 0.000;3.192 ± 0.000;14.164 ± 0.000;2.142 ± 0.000;0.052 ± 0.000;0.896 ± 0.000;1.225 ± 0.000
Migraine_onevsrest_3;SMOTECDNN;0.297 ± 0.000;1.395 ± 0.000;14.132 ± 0.000;3.952 ± 0.000;0.108 ± 0.000;0.795 ± 0.000;1.414 ± 0.000
Migraine_onevsrest_4;SMOTECDNN;0.226 ± 0.000;3.136 ± 0.000;33.024 ± 0.000;1.649 ± 0.000;0.043 ± 0.000;0.912 ± 0.000;1.414 ± 0.000
Migraine_onevsrest_5;SMOTECDNN;0.031 ± 0.000;3.44 ± 0.000;13.22 ± 0.000;2.74 ± 0.000;0.059 ± 0.000;0.884 ± 0.000;1.0 ± 0.000
new-thyroid1;SMOTECDNN;0.358 ± 0.000;1.109 ± 0.000;2.769 ± 0.000;8.029 ± 0.000;0.286 ± 0.000;0.534 ± 0.000;0.683 ± 0.000
newthyroid2;SMOTECDNN;0.374 ± 0.000;1.069 ± 0.000;2.51 ± 0.000;8.092 ± 0.000;0.292 ± 0.000;0.524 ± 0.000;0.677 ± 0.000
Obesity_onevsrest_0;SMOTECDNN;0.099 ± 0.000;3.136 ± 0.000;13.254 ± 0.000;1.258 ± 0.000;0.061 ± 0.000;0.867 ± 0.000;0.278 ± 0.000
Obesity_onevsrest_1;SMOTECDNN;0.075 ± 0.000;3.701 ± 0.000;15.146 ± 0.000;0.645 ± 0.000;0.044 ± 0.000;0.906 ± 0.000;1.527 ± 0.000
Obesity_onevsrest_2;SMOTECDNN;0.03 ± 0.000;5.727 ± 0.000;13.747 ± 0.000;0.767 ± 0.000;0.035 ± 0.000;0.914 ± 0.000;0.565 ± 0.000
Obesity_onevsrest_3;SMOTECDNN;0.028 ± 0.000;5.509 ± 0.000;12.143 ± 0.000;0.86 ± 0.000;0.042 ± 0.000;0.905 ± 0.000;0.66 ± 0.000
Obesity_onevsrest_4;SMOTECDNN;0.028 ± 0.000;5.407 ± 0.000;11.469 ± 0.000;0.741 ± 0.000;0.037 ± 0.000;0.913 ± 0.000;0.421 ± 0.000
Obesity_onevsrest_5;SMOTECDNN;0.097 ± 0.000;2.766 ± 0.000;8.376 ± 0.000;1.936 ± 0.000;0.076 ± 0.000;0.846 ± 0.000;0.213 ± 0.000
Obesity_onevsrest_6;SMOTECDNN;0.168 ± 0.000;1.966 ± 0.000;1.624 ± 0.000;5.191 ± 0.000;0.104 ± 0.000;0.808 ± 0.000;0.018 ± 0.000
page-blocks-1-3_vs_4;SMOTECDNN;0.208 ± 0.000;1.729 ± 0.000;6.461 ± 0.000;8.562 ± 0.000;0.339 ± 0.000;0.452 ± 0.000;63.06 ± 0.000
