dataset;metodo;strategia;llm_model;Silhouette;Davies-Bouldin;Compactness_class_1;KL_mean;JS_mean;Q_multi_attribute_similarity;KS_mean;Chi2_mean;WD_mean;pMSE;Precision;Recall;Density;Coverage;mDCR;MAD_mean;MMD;PCA_WD_mean;PCA_explained_var_cum;Moment_mean_diff;Moment_var_diff;Moment_skew_diff;Moment_kurt_diff;FE_real_mean;FE_syn_mean;FE_ratio_mean;Coverage_div
abalone9-18;casTGAN;—;;0.223 +/- 0.000;1.741 +/- 0.000;7.824 +/- 0.000;5.29 +/- 0.000;0.209 +/- 0.000;0.534 +/- 0.000;0.508 +/- 0.000;0.181 +/- 0.000;1.264 +/- 0.000;0.039 +/- 0.000;0.476 +/- 0.000;0.984 +/- 0.000;0.152 +/- 0.000;0.027 +/- 0.000;4.164 +/- 0.000;1.253 +/- 0.000;0.603 +/- 0.000;1.344 +/- 0.000;0.983 +/- 0.000;1.253 +/- 0.000;1.006 +/- 0.000;0.786 +/- 0.000;1.763 +/- 0.000;2.313 +/- 0.000;2.107 +/- 0.000;0.913 +/- 0.000;0.056 +/- 0.000
cleveland-0_vs_4;casTGAN;—;;0.207 +/- 0.000;2.041 +/- 0.000;14.28 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.642 +/- 0.000;0.205 +/- 0.000;0.992 +/- 0.000;0.011 +/- 0.000;0.75 +/- 0.000;1.0 +/- 0.000;0.45 +/- 0.000;0.051 +/- 0.000;1.084 +/- 0.000;0.93 +/- 0.000;0.488 +/- 0.000;1.245 +/- 0.000;0.418 +/- 0.000;0.93 +/- 0.000;0.801 +/- 0.000;0.942 +/- 0.000;2.341 +/- 0.000;1.242 +/- 0.000;0.663 +/- 0.000;0.633 +/- 0.000;0.0 +/- 0.000
dermatology-6;casTGAN;—;;0.095 +/- 0.000;2.383 +/- 0.000;22.52 +/- 0.000;1.715 +/- 0.000;0.092 +/- 0.000;0.82 +/- 0.000;0.274 +/- 0.000;0.121 +/- 0.000;0.637 +/- 0.000;0.141 +/- 0.000;0.247 +/- 0.000;0.227 +/- 0.000;0.064 +/- 0.000;0.036 +/- 0.000;1.441 +/- 0.000;0.607 +/- 0.000;0.411 +/- 0.000;1.692 +/- 0.000;0.631 +/- 0.000;0.607 +/- 0.000;0.732 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.877 +/- 0.000;0.625 +/- 0.000;0.833 +/- 0.000;0.0 +/- 0.000
iris0;casTGAN;—;;0.418 +/- 0.000;1.098 +/- 0.000;3.643 +/- 0.000;5.813 +/- 0.000;0.153 +/- 0.000;0.537 +/- 0.000;0.418 +/- 0.000;0.078 +/- 0.000;0.594 +/- 0.000;0.009 +/- 0.000;0.267 +/- 0.000;1.0 +/- 0.000;0.093 +/- 0.000;0.034 +/- 0.000;5.897 +/- 0.000;0.519 +/- 0.000;0.271 +/- 0.000;0.702 +/- 0.000;1.0 +/- 0.000;0.519 +/- 0.000;0.283 +/- 0.000;0.695 +/- 0.000;1.15 +/- 0.000;1.833 +/- 0.000;1.484 +/- 0.000;0.807 +/- 0.000;0.044 +/- 0.000
ecoli-0_vs_1;casTGAN;—;;0.219 +/- 0.000;1.995 +/- 0.000;9.602 +/- 0.000;1.722 +/- 0.000;0.086 +/- 0.000;nan +/- 0.000;0.422 +/- 0.000;0.173 +/- 0.000;0.356 +/- 0.000;0.061 +/- 0.000;0.827 +/- 0.000;0.813 +/- 0.000;0.481 +/- 0.000;0.269 +/- 0.000;3.188 +/- 0.000;0.327 +/- 0.000;0.288 +/- 0.000;0.538 +/- 0.000;0.984 +/- 0.000;0.327 +/- 0.000;0.369 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.482 +/- 0.000;1.541 +/- 0.000;27720605050.466 +/- 0.000;0.0 +/- 0.000
ecoli1;casTGAN;—;;0.179 +/- 0.000;1.886 +/- 0.000;3.911 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.63 +/- 0.000;0.171 +/- 0.000;0.792 +/- 0.000;0.068 +/- 0.000;0.404 +/- 0.000;0.636 +/- 0.000;0.149 +/- 0.000;0.051 +/- 0.000;2.476 +/- 0.000;0.773 +/- 0.000;0.57 +/- 0.000;0.827 +/- 0.000;0.914 +/- 0.000;0.773 +/- 0.000;0.608 +/- 0.000;3.992 +/- 0.000;51.929 +/- 0.000;1.631 +/- 0.000;1.185 +/- 0.000;0.529 +/- 0.000;0.046 +/- 0.000
kddcup-guess_passwd_vs_satan;casTGAN;—;;0.628 +/- 0.000;0.756 +/- 0.000;57.68 +/- 0.000;6.109 +/- 0.000;0.173 +/- 0.000;nan +/- 0.000;0.442 +/- 0.000;0.152 +/- 0.000;0.942 +/- 0.000;0.023 +/- 0.000;0.78 +/- 0.000;0.059 +/- 0.000;0.192 +/- 0.000;0.006 +/- 0.000;0.0 +/- 0.000;0.898 +/- 0.000;1.056 +/- 0.000;3.6 +/- 0.000;0.742 +/- 0.000;0.898 +/- 0.000;0.696 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.664 +/- 0.000;0.006 +/- 0.000
Migraine_onevsrest_0;casTGAN;—;;0.189 +/- 0.000;4.153 +/- 0.000;41.777 +/- 0.000;3.712 +/- 0.000;0.111 +/- 0.000;nan +/- 0.000;0.26 +/- 0.000;0.273 +/- 0.000;1.394 +/- 0.000;0.02 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.2 +/- 0.000;0.003 +/- 0.000;1.471 +/- 0.000;1.336 +/- 0.000;1.074 +/- 0.000;2.887 +/- 0.000;0.492 +/- 0.000;1.336 +/- 0.000;0.665 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.495 +/- 0.000;0.344 +/- 0.000;18872413.247 +/- 0.000;0.0 +/- 0.000
Migraine_onevsrest_1;casTGAN;—;;0.05 +/- 0.000;2.486 +/- 0.000;11.874 +/- 0.000;2.408 +/- 0.000;0.056 +/- 0.000;0.885 +/- 0.000;0.155 +/- 0.000;0.22 +/- 0.000;0.396 +/- 0.000;0.011 +/- 0.000;0.125 +/- 0.000;0.817 +/- 0.000;0.125 +/- 0.000;0.013 +/- 0.000;1.225 +/- 0.000;0.36 +/- 0.000;0.302 +/- 0.000;0.595 +/- 0.000;0.492 +/- 0.000;0.36 +/- 0.000;0.948 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;13294882.695 +/- 0.000;0.0 +/- 0.000
Migraine_onevsrest_2;casTGAN;—;;0.282 +/- 0.000;2.073 +/- 0.000;26.667 +/- 0.000;1.783 +/- 0.000;0.079 +/- 0.000;nan +/- 0.000;0.293 +/- 0.000;0.212 +/- 0.000;1.141 +/- 0.000;0.111 +/- 0.000;0.474 +/- 0.000;0.032 +/- 0.000;0.095 +/- 0.000;0.003 +/- 0.000;2.121 +/- 0.000;1.133 +/- 0.000;0.763 +/- 0.000;2.17 +/- 0.000;0.492 +/- 0.000;1.133 +/- 0.000;5.076 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.495 +/- 0.000;0.491 +/- 0.000;15587795.036 +/- 0.000;0.0 +/- 0.000
