dataset;metodo;Silhouette;Davies-Bouldin;Compactness_class_0;Compactness_class_1;KL_feature_0;KL_feature_1;KL_feature_2;KL_feature_3;KL_feature_4;KL_feature_5;KL_feature_6;KL_mean;JS_feature_0;JS_feature_1;JS_feature_2;JS_feature_3;JS_feature_4;JS_feature_5;JS_feature_6;JS_mean;Q_multi_attribute_similarity;JS_multi_attribute_mean;n_pairs_evaluated;mDCR;KL_feature_7;KL_feature_8;KL_feature_9;KL_feature_10;KL_feature_11;KL_feature_12;JS_feature_7;JS_feature_8;JS_feature_9;JS_feature_10;JS_feature_11;JS_feature_12;KL_feature_13;KL_feature_14;KL_feature_15;KL_feature_16;KL_feature_17;KL_feature_18;KL_feature_19;KL_feature_20;KL_feature_21;KL_feature_22;KL_feature_23;KL_feature_24;KL_feature_25;KL_feature_26;KL_feature_27;KL_feature_28;KL_feature_29;KL_feature_30;KL_feature_31;KL_feature_32;KL_feature_33;JS_feature_13;JS_feature_14;JS_feature_15;JS_feature_16;JS_feature_17;JS_feature_18;JS_feature_19;JS_feature_20;JS_feature_21;JS_feature_22;JS_feature_23;JS_feature_24;JS_feature_25;JS_feature_26;JS_feature_27;JS_feature_28;JS_feature_29;JS_feature_30;JS_feature_31;JS_feature_32;JS_feature_33;KL_feature_34;KL_feature_35;KL_feature_36;KL_feature_37;KL_feature_38;JS_feature_34;JS_feature_35;JS_feature_36;JS_feature_37;JS_feature_38
abalone9-18;casTGAN;0.223;1.741;5.899;7.824;0.114;5.662;5.497;9.814;1.733;7.491;6.72;5.29;0.028;0.155;0.247;0.418;0.084;0.268;0.264;0.209;0.534;0.466;21;4.164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cleveland-0_vs_4;casTGAN;0.207;2.041;11.763;14.28;15.471;;7.083;13.788;11.802;2.922;12.727;;0.457;;0.23;0.389;0.362;0.048;0.251;;;;78;1.084;12.47;3.726;21.389;8.626;4.498;0.664;0.355;0.061;0.609;0.16;0.105;0.139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dermatology-6;casTGAN;0.095;2.383;33.184;22.52;0.422;0.609;3.692;4.486;4.41;1.735;0.278;1.715;0.088;0.127;0.224;0.127;0.121;0.056;0.079;0.092;0.82;0.18;561;1.441;3.841;0.057;2.676;0.195;0.089;0.626;0.069;0.016;0.049;0.029;0.026;0.029;0.04;1.696;0.348;4.842;0.554;2.006;2.041;0.753;0.225;4.015;2.021;1.042;5.506;2.5;0.487;0.075;0.461;0.596;0.665;3.259;2.049;0.011;0.04;0.085;0.22;0.057;0.084;0.055;0.124;0.043;0.072;0.051;0.046;0.1;0.046;0.109;0.016;0.133;0.174;0.135;0.12;0.36;;;;;;;;;;
iris0;casTGAN;0.418;1.098;1.709;3.643;5.055;5.685;5.261;7.25;;;;5.813;0.131;0.14;0.151;0.192;;;;0.153;0.537;0.463;6;5.897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ecoli-0_vs_1;casTGAN;0.219;1.995;2.55;9.602;6.483;2.503;0.089;0.314;1.576;0.12;0.968;1.722;0.222;0.057;0.002;0.104;0.106;0.03;0.08;0.086;;;21;3.188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ecoli1;casTGAN;0.179;1.886;7.067;3.911;6.424;11.062;;0.057;3.336;0.495;12.216;;0.194;0.243;;0.001;0.108;0.066;0.446;;;;21;2.476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kddcup-guess_passwd_vs_satan;casTGAN;0.628;0.756;19.165;57.681;0.051;0.242;17.12;0.581;0.006;0.011;0.0;6.109;0.001;0.079;0.568;0.154;0.0;0.0;0.0;0.173;;;741;0.0;0.0;0.0;0.239;1.92;0.081;0.0;0.0;0.0;0.06;0.436;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;19.174;0.295;18.32;2.369;20.677;5.081;23.372;22.752;0.011;24.173;22.992;1.991;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.576;0.007;0.409;0.039;0.534;0.084;0.586;0.553;0.0;0.622;0.577;0.06;0.011;15.46;2.437;12.239;26.621;0.0;0.397;0.06;0.304;0.639
Migraine_onevsrest_0;casTGAN;0.189;4.153;7.127;41.777;12.991;3.86;18.626;1.769;1.136;1.613;25.243;3.712;0.351;0.091;0.484;0.398;0.019;0.056;0.684;0.111;;;210;1.471;7.216;0.0;0.0;0.531;1.647;0.84;0.125;0.0;0.0;0.024;0.034;0.014;0.001;1.196;0.321;0.101;0.321;0.378;0.155;0.001;;;;;;;;;;;;;;0.0;0.02;0.006;0.002;0.006;0.006;0.003;0.0;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_1;casTGAN;0.049;2.486;20.513;11.874;7.271;5.976;1.789;1.136;0.139;1.613;0.049;2.408;0.181;0.108;0.131;0.019;0.04;0.056;0.001;0.056;0.885;0.115;210;1.225;0.127;0.0;0.0;12.74;4.815;0.84;0.028;0.0;0.0;0.278;0.084;0.014;2.472;1.196;0.321;0.101;0.321;0.378;0.155;9.13;;;;;;;;;;;;;;0.04;0.02;0.006;0.002;0.006;0.006;0.003;0.163;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_2;casTGAN;0.281;2.073;16.626;26.667;0.629;0.157;2.365;23.777;1.451;1.089;0.624;1.783;0.125;0.031;0.056;0.588;0.35;0.02;0.194;0.079;;;210;2.121;0.103;0.0;0.0;0.977;4.815;0.011;0.023;0.0;0.0;0.113;0.084;0.002;0.045;0.007;0.321;0.101;0.321;0.378;0.155;0.112;;;;;;;;;;;;;;0.012;0.002;0.006;0.002;0.006;0.006;0.003;0.028;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_3;casTGAN;0.487;1.493;15.479;50.876;4.712;16.891;10.467;1.23;0.392;1.122;1.078;2.24;0.107;0.366;0.332;0.31;0.114;0.162;0.31;0.093;0.808;0.192;210;2.121;0.024;0.0;0.0;5.252;0.077;0.84;0.006;0.0;0.0;0.12;0.022;0.014;2.472;1.196;0.321;0.101;0.321;0.378;0.155;0.009;;;;;;;;;;;;;;0.04;0.02;0.006;0.002;0.006;0.006;0.003;0.002;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_4;casTGAN;0.279;2.429;12.709;36.474;1.75;0.158;4.866;1.093;0.168;2.118;1.702;1.083;0.123;0.039;0.138;0.283;0.049;0.212;0.434;0.076;0.851;0.149;210;1.871;7.216;0.0;0.0;0.955;1.723;0.84;0.125;0.0;0.0;0.115;0.048;0.014;0.0;0.022;0.0;0.101;0.031;0.0;0.0;0.0;;;;;;;;;;;;;;0.0;0.005;0.0;0.002;0.009;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_5;casTGAN;0.091;2.98;20.915;16.644;0.696;0.303;0.705;0.113;23.777;0.315;0.473;2.072;0.038;0.059;0.056;0.033;0.588;0.087;0.151;0.069;;;210;1.581;0.099;0.0;-0.0;2.747;0.05;0.158;0.022;0.0;-0.0;0.122;0.011;0.047;2.472;1.196;0.321;0.101;0.321;0.378;0.155;9.13;;;;;;;;;;;;;;0.04;0.02;0.006;0.002;0.006;0.006;0.003;0.163;;;;;;;;;;;;;;;;;;;;;;;
new-thyroid1;casTGAN;0.34;1.461;3.432;5.305;4.549;3.023;5.834;3.376;3.097;;;3.976;0.336;0.151;0.198;0.079;0.095;;;0.172;0.527;0.473;10;3.728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
newthyroid2;casTGAN;0.322;1.401;3.721;4.162;4.192;15.569;2.305;2.904;7.872;;;6.568;0.153;0.446;0.154;0.245;0.243;;;0.248;0.483;0.517;10;3.575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_0;casTGAN;0.113;3.155;15.27;15.925;11.894;18.76;22.976;15.954;3.966;22.02;21.589;12.478;0.218;0.58;0.617;0.5;0.065;0.506;0.529;0.297;0.518;0.482;120;3.131;20.547;3.23;0.432;14.929;0.979;15.363;0.484;0.057;0.007;0.297;0.016;0.315;7.477;0.764;18.764;;;;;;;;;;;;;;;;;;;0.131;0.029;0.407;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_1;casTGAN;0.134;4.039;14.247;21.3;0.144;3.051;1.386;4.818;0.489;0.175;0.023;0.782;0.034;0.101;0.083;0.16;0.125;0.048;0.006;0.063;0.854;0.146;120;2.725;0.812;0.106;0.432;0.187;0.009;0.136;0.197;0.03;0.007;0.045;0.002;0.035;0.086;0.446;0.208;;;;;;;;;;;;;;;;;;;0.019;0.103;0.017;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_2;casTGAN;0.056;6.212;15.393;17.598;0.048;2.057;0.685;5.262;0.024;3.142;0.759;1.084;0.012;0.098;0.05;0.159;0.006;0.461;0.184;0.081;0.827;0.173;120;2.738;0.692;0.753;0.432;0.069;0.014;0.829;0.015;0.089;0.007;0.017;0.003;0.034;1.524;0.867;0.182;;;;;;;;;;;;;;;;;;;0.091;0.055;0.009;;;;;;;;;;;;;;;;;;;;;;;;;;;;
