Attr0,Attr1,Attr2,Attr3,Attr4,Attr6,Attr7,class
2,0.6,0.5,0.16,1.015,0.1735,0.33,1
1,0.495,0.355,0.12,0.4965,0.1045,0.1495,0
2,0.74,0.57,0.18,1.8725,0.427,0.446,0
0,0.36,0.265,0.09,0.2065,0.057,0.06,0
0,0.6,0.475,0.155,1.059,0.19,0.39,0
0,0.62,0.485,0.175,1.2155,0.253,0.345,0
2,0.545,0.44,0.14,0.8395,0.1905,0.2385,0
1,0.52,0.39,0.14,0.7325,0.144,0.26,1
2,0.47,0.36,0.135,0.501,0.115,0.165,0
2,0.69,0.55,0.2,1.8465,0.472,0.57,1
1,0.4,0.31,0.1,0.306,0.06,0.094,0
1,0.535,0.4,0.135,0.775,0.208,0.2055,0
2,0.685,0.55,0.19,1.885,0.41,0.4895,0
0,0.705,0.555,0.2,1.4685,0.3235,0.52,1
0,0.68,0.55,0.175,1.798,0.3925,0.455,1
1,0.175,0.125,0.04,0.028,0.008,0.009,0
2,0.65,0.51,0.155,1.407,0.298,0.335,0
0,0.69,0.555,0.205,1.8165,0.4395,0.515,1
1,0.18,0.135,0.08,0.033,0.007,0.01,0
0,0.6,0.475,0.135,1.4405,0.191,0.3175,0
2,0.7,0.535,0.16,1.7255,0.2635,0.54,1
1,0.635,0.505,0.19,1.3315,0.252,0.435,0
1,0.475,0.375,0.11,0.456,0.099,0.16,0
0,0.69,0.555,0.205,1.8165,0.4395,0.515,1
2,0.69,0.55,0.2,1.8465,0.472,0.57,1
0,0.695,0.565,0.19,1.7635,0.399,0.4975,0
2,0.69,0.55,0.2,1.8465,0.472,0.57,1
0,0.7,0.54,0.215,1.978,0.3125,0.71,0
0,0.58,0.46,0.15,0.9955,0.212,0.26,1
0,0.565,0.455,0.175,1.013,0.207,0.35,1
0,0.65,0.495,0.175,1.227,0.258,0.37,0
0,0.68,0.55,0.175,1.798,0.3925,0.455,1
2,0.465,0.355,0.12,0.5315,0.097,0.1395,0
2,0.49,0.395,0.14,0.549,0.1275,0.15,0
2,0.54,0.41,0.145,0.989,0.213,0.355,1
2,0.7,0.535,0.16,1.7255,0.2635,0.54,1
1,0.435,0.325,0.1,0.342,0.0835,0.105,0
2,0.625,0.47,0.145,1.7855,0.247,0.3245,0
1,0.36,0.26,0.09,0.1785,0.037,0.075,0
2,0.55,0.425,0.16,0.793,0.2035,0.215,0
0,0.6,0.475,0.18,1.1805,0.2475,0.425,1
2,0.615,0.495,0.2,1.219,0.227,0.3885,0
0,0.6,0.475,0.18,1.1805,0.2475,0.425,1
2,0.6,0.5,0.16,1.015,0.1735,0.33,1
1,0.36,0.27,0.09,0.232,0.0435,0.056,0
0,0.615,0.475,0.17,1.055,0.246,0.2345,0
0,0.545,0.41,0.125,0.6935,0.146,0.21,0
2,0.63,0.51,0.19,1.4985,0.3075,0.545,0
2,0.7,0.535,0.16,1.7255,0.2635,0.54,1
0,0.58,0.46,0.15,0.9955,0.212,0.26,1
1,0.615,0.49,0.155,0.9885,0.195,0.345,0
2,0.515,0.425,0.145,0.9365,0.181,0.2185,0
1,0.21,0.15,0.05,0.042,0.0125,0.015,0
0,0.605,0.485,0.165,1.0105,0.209,0.3,1
2,0.6,0.48,0.175,1.229,0.2735,0.415,0
2,0.525,0.4,0.13,0.8295,0.1825,0.275,0
0,0.605,0.485,0.165,1.0105,0.209,0.3,1
2,0.49,0.385,0.125,0.609,0.096,0.1775,0
0,0.69,0.555,0.205,1.8165,0.4395,0.515,1
2,0.645,0.515,0.185,1.4605,0.3155,0.41,1
0,0.55,0.44,0.15,0.8945,0.151,0.32,1
1,0.495,0.39,0.125,0.6655,0.162,0.2,0
2,0.54,0.41,0.145,0.989,0.213,0.355,1
0,0.44,0.34,0.1,0.451,0.087,0.13,0
0,0.68,0.55,0.175,1.798,0.3925,0.455,1
2,0.645,0.515,0.185,1.4605,0.3155,0.41,1
0,0.62,0.485,0.155,1.1945,0.271,0.352,0
0,0.595,0.46,0.16,0.921,0.2025,0.2875,0
0,0.68,0.55,0.175,1.798,0.3925,0.455,1
2,0.525,0.395,0.165,0.782,0.1405,0.285,1
2,0.595,0.455,0.195,1.3305,0.3235,0.345,1
1,0.175,0.125,0.05,0.0235,0.0035,0.008,0
2,0.63,0.515,0.16,1.016,0.244,0.355,1
1,0.5,0.395,0.14,0.6215,0.1205,0.195,0
1,0.485,0.415,0.14,0.5705,0.134,0.185,0
1,0.44,0.345,0.13,0.4495,0.0835,0.134,0
0,0.645,0.55,0.175,1.2915,0.3045,0.33,0
0,0.55,0.44,0.15,0.8945,0.151,0.32,1
1,0.52,0.39,0.14,0.7325,0.144,0.26,1
1,0.475,0.42,0.16,0.7095,0.1505,0.1845,0
0,0.56,0.44,0.155,0.9705,0.263,0.255,0
0,0.65,0.545,0.175,1.5245,0.326,0.495,0
2,0.59,0.475,0.16,0.9455,0.184,0.27,1
1,0.52,0.39,0.14,0.7325,0.144,0.26,1
2,0.525,0.395,0.165,0.782,0.1405,0.285,1
2,0.59,0.475,0.16,0.9455,0.184,0.27,1
2,0.6,0.41,0.145,0.939,0.196,0.268,0
1,0.45,0.355,0.12,0.412,0.0665,0.16,1
2,0.6,0.5,0.16,1.015,0.1735,0.33,1
2,0.57,0.415,0.13,0.88,0.1955,0.238,0
2,0.525,0.395,0.165,0.782,0.1405,0.285,1
0,0.57,0.445,0.155,1.017,0.2025,0.265,0
2,0.58,0.44,0.15,1.0465,0.2185,0.2795,0
1,0.4,0.31,0.1,0.306,0.06,0.094,0
2,0.545,0.435,0.165,0.9955,0.2665,0.325,1
1,0.52,0.39,0.14,0.7325,0.144,0.26,1
2,0.54,0.41,0.145,0.989,0.213,0.355,1
1,0.52,0.39,0.14,0.7325,0.144,0.26,1
0,0.565,0.44,0.15,0.983,0.2355,0.2485,0
0,0.66,0.53,0.17,1.326,0.2625,0.44,0
0,0.615,0.475,0.145,0.9525,0.195,0.32,0
2,0.505,0.4,0.155,0.8415,0.1775,0.285,0
2,0.6,0.46,0.155,0.9595,0.189,0.295,0
2,0.72,0.58,0.19,2.0885,0.478,0.5305,0
2,0.545,0.435,0.165,0.9955,0.2665,0.325,1
0,0.69,0.555,0.205,1.8165,0.4395,0.515,1
0,0.64,0.475,0.19,1.151,0.281,0.3805,0
2,0.7,0.535,0.16,1.7255,0.2635,0.54,1
2,0.6,0.5,0.16,1.015,0.1735,0.33,1
2,0.545,0.42,0.14,0.7505,0.13,0.255,0
2,0.595,0.455,0.195,1.3305,0.3235,0.345,1
0,0.57,0.43,0.16,0.811,0.159,0.2285,0
0,0.6,0.475,0.18,1.1805,0.2475,0.425,1
2,0.7,0.535,0.16,1.7255,0.2635,0.54,1
0,0.58,0.46,0.15,0.9955,0.212,0.26,1
0,0.54,0.415,0.175,0.8975,0.241,0.275,0
1,0.52,0.39,0.14,0.7325,0.144,0.26,1
0,0.55,0.44,0.15,0.8945,0.151,0.32,1
2,0.54,0.41,0.145,0.989,0.213,0.355,1
2,0.59,0.475,0.16,0.9455,0.184,0.27,1
0,0.575,0.46,0.19,0.994,0.2425,0.34,0
0,0.58,0.46,0.15,0.9955,0.212,0.26,1
0,0.465,0.375,0.135,0.6,0.129,0.23,0
2,0.65,0.52,0.175,1.2655,0.2775,0.336,0
1,0.37,0.28,0.09,0.233,0.0545,0.07,0
2,0.44,0.365,0.125,0.516,0.114,0.155,0
0,0.53,0.41,0.165,0.8115,0.169,0.24,1
2,0.59,0.475,0.16,0.9455,0.184,0.27,1
0,0.605,0.46,0.17,1.122,0.3045,0.315,0
2,0.59,0.475,0.16,0.9455,0.184,0.27,1
2,0.495,0.4,0.155,0.8085,0.1155,0.35,0
