Attr0,Attr1,Attr2,Attr3,Attr5,Attr6,Attr7,class
2,0.64,0.505,0.165,0.6145,0.3035,0.39,1
0,0.5,0.405,0.14,0.265,0.124,0.25,1
0,0.645,0.49,0.19,0.479,0.3565,0.345,1
2,0.635,0.51,0.155,0.428,0.289,0.315,1
2,0.61,0.5,0.24,0.532,0.3345,0.69,1
0,0.575,0.435,0.155,0.4115,0.2325,0.23,0
2,0.61,0.47,0.155,0.497,0.2175,0.2785,0
2,0.615,0.48,0.19,0.5305,0.2375,0.47,1
2,0.685,0.545,0.205,0.8145,0.416,0.461,0
0,0.565,0.48,0.175,0.3885,0.215,0.275,1
1,0.485,0.38,0.14,0.2175,0.13,0.195,1
0,0.525,0.425,0.16,0.3545,0.2135,0.245,0
2,0.615,0.48,0.19,0.5305,0.2375,0.47,1
0,0.645,0.525,0.19,0.7035,0.3885,0.395,1
0,0.725,0.56,0.21,0.65,0.398,1.005,1
1,0.44,0.35,0.12,0.1425,0.0965,0.115,0
2,0.45,0.34,0.13,0.1605,0.0795,0.105,0
2,0.595,0.455,0.15,0.518,0.2205,0.27,0
0,0.725,0.56,0.21,0.65,0.398,1.005,1
0,0.645,0.49,0.19,0.479,0.3565,0.345,1
0,0.64,0.54,0.175,0.627,0.271,0.475,1
0,0.645,0.49,0.16,0.4935,0.3155,0.299,0
2,0.645,0.485,0.155,0.5915,0.312,0.38,1
0,0.615,0.47,0.155,0.5885,0.209,0.246,0
2,0.505,0.405,0.11,0.305,0.16,0.175,0
2,0.615,0.51,0.15,0.545,0.3315,0.32,0
0,0.475,0.36,0.125,0.1695,0.081,0.14,0
0,0.615,0.475,0.17,0.543,0.246,0.2345,0
0,0.645,0.49,0.19,0.479,0.3565,0.345,1
2,0.57,0.455,0.175,0.4805,0.2145,0.29,0
1,0.485,0.38,0.14,0.2175,0.13,0.195,1
0,0.455,0.355,0.12,0.177,0.104,0.15,0
0,0.5,0.405,0.14,0.265,0.124,0.25,1
0,0.545,0.445,0.15,0.3535,0.163,0.207,0
2,0.635,0.51,0.155,0.428,0.289,0.315,1
2,0.5,0.405,0.14,0.241,0.1355,0.205,0
2,0.605,0.49,0.18,0.48,0.287,0.35,1
2,0.59,0.435,0.165,0.4525,0.2395,0.235,0
0,0.645,0.525,0.19,0.7035,0.3885,0.395,1
0,0.645,0.525,0.19,0.7035,0.3885,0.395,1
1,0.58,0.49,0.195,0.5305,0.254,0.41,1
0,0.56,0.44,0.155,0.4315,0.263,0.255,0
0,0.465,0.35,0.13,0.1945,0.103,0.155,1
0,0.645,0.525,0.19,0.7035,0.3885,0.395,1
0,0.54,0.42,0.13,0.368,0.1675,0.1845,0
2,0.71,0.54,0.165,0.7665,0.261,0.78,1
1,0.525,0.41,0.175,0.3585,0.207,0.205,1
1,0.59,0.46,0.125,0.334,0.15,0.238,0
2,0.38,0.29,0.12,0.1175,0.0655,0.085,0
2,0.525,0.4,0.13,0.2655,0.147,0.184,0
2,0.48,0.395,0.15,0.2145,0.1405,0.2495,1
2,0.515,0.35,0.155,0.4185,0.198,0.273,0
2,0.58,0.47,0.165,0.54,0.166,0.279,0
2,0.36,0.295,0.1,0.066,0.0525,0.075,0
0,0.565,0.455,0.15,0.365,0.159,0.26,1
2,0.41,0.3,0.1,0.124,0.069,0.09,0
1,0.465,0.37,0.115,0.1515,0.0935,0.1455,0
0,0.465,0.35,0.13,0.1945,0.103,0.155,1
2,0.4,0.29,0.115,0.1115,0.0575,0.075,0
2,0.59,0.45,0.16,0.445,0.214,0.301,0
0,0.655,0.5,0.18,0.508,0.314,0.445,1
2,0.605,0.49,0.18,0.48,0.287,0.35,1
0,0.655,0.53,0.19,0.493,0.318,0.565,1
0,0.5,0.405,0.14,0.265,0.124,0.25,1
0,0.65,0.525,0.165,0.647,0.2485,0.3005,0
0,0.565,0.455,0.15,0.365,0.159,0.26,1
0,0.605,0.455,0.145,0.334,0.1985,0.3,0
2,0.71,0.54,0.165,0.7665,0.261,0.78,1
1,0.58,0.49,0.195,0.5305,0.254,0.41,1
2,0.605,0.475,0.16,0.5495,0.332,0.34,1
0,0.67,0.505,0.205,0.6075,0.3025,0.353,0
0,0.565,0.48,0.175,0.3885,0.215,0.275,1
2,0.645,0.49,0.16,0.5355,0.3345,0.3165,0
2,0.645,0.485,0.155,0.5915,0.312,0.38,1
2,0.61,0.5,0.24,0.532,0.3345,0.69,1
0,0.645,0.49,0.19,0.479,0.3565,0.345,1
1,0.5,0.375,0.12,0.215,0.116,0.17,0
2,0.605,0.49,0.18,0.48,0.287,0.35,1
2,0.63,0.455,0.15,0.481,0.2745,0.305,0
1,0.495,0.37,0.125,0.185,0.0705,0.169,1
0,0.565,0.455,0.15,0.365,0.159,0.26,1
0,0.5,0.405,0.14,0.265,0.124,0.25,1
2,0.505,0.39,0.12,0.3315,0.1385,0.167,0
1,0.58,0.49,0.195,0.5305,0.254,0.41,1
0,0.725,0.56,0.21,0.65,0.398,1.005,1
0,0.53,0.41,0.145,0.375,0.204,0.245,0
0,0.55,0.425,0.145,0.297,0.15,0.265,0
0,0.655,0.5,0.18,0.508,0.314,0.445,1
2,0.58,0.445,0.135,0.3775,0.1915,0.22,0
0,0.54,0.42,0.13,0.368,0.1675,0.1845,0
1,0.58,0.49,0.195,0.5305,0.254,0.41,1
2,0.615,0.48,0.19,0.5305,0.2375,0.47,1
0,0.46,0.355,0.13,0.2205,0.114,0.165,0
2,0.45,0.34,0.13,0.1605,0.0795,0.105,0
0,0.61,0.485,0.165,0.3935,0.2435,0.33,1
2,0.57,0.455,0.175,0.4805,0.2145,0.29,0
2,0.645,0.485,0.155,0.5915,0.312,0.38,1
1,0.515,0.405,0.13,0.213,0.134,0.195,0
2,0.635,0.51,0.155,0.428,0.289,0.315,1
0,0.555,0.43,0.135,0.4055,0.163,0.2215,0
1,0.495,0.37,0.125,0.185,0.0705,0.169,1
0,0.635,0.5,0.18,0.529,0.2485,0.485,1
1,0.525,0.41,0.175,0.3585,0.207,0.205,1
0,0.745,0.585,0.19,0.8435,0.437,0.5855,1
1,0.495,0.37,0.125,0.185,0.0705,0.169,1
1,0.525,0.4,0.145,0.248,0.159,0.175,0
1,0.485,0.38,0.14,0.2175,0.13,0.195,1
0,0.655,0.49,0.16,0.5455,0.2615,0.3225,0
2,0.67,0.525,0.195,0.6595,0.2675,0.425,0
2,0.455,0.35,0.105,0.1575,0.083,0.135,0
1,0.54,0.425,0.14,0.32,0.1395,0.25,0
2,0.41,0.3,0.1,0.124,0.069,0.09,0
0,0.465,0.35,0.13,0.1945,0.103,0.155,1
