Attr0,Attr1,Attr2,Attr3,Attr4,Attr8,Attr9,class
2,9,18,4.5,0.556,10,1,0
166,472,78352,2.843,0.359,42821,1641,1
1,17,17,17.0,0.765,17,2,0
1,13,13,13.0,0.692,13,2,0
9,13,117,1.444,0.103,88,3,0
28,31,868,1.107,0.492,647,57,1
1,52,52,52.0,0.538,52,2,0
178,140,24920,0.787,0.574,16177,664,1
29,32,928,1.103,0.476,668,61,1
83,149,12367,1.795,0.388,5838,167,1
36,43,1548,1.194,0.117,283,59,0
168,145,24360,0.863,0.798,23457,1488,1
1,42,42,42.0,0.31,42,5,0
4,8,32,2.0,0.344,17,2,0
1,107,107,107.0,0.869,107,5,0
7,46,322,6.571,0.177,98,7,0
83,149,12367,1.795,0.388,5838,167,1
28,32,896,1.143,0.481,665,58,1
6,5,30,0.833,0.367,30,5,0
28,32,896,1.143,0.481,665,58,1
174,471,81954,2.707,0.339,35499,1756,1
1,47,47,47.0,1.0,47,1,0
9,10,90,1.111,0.144,47,2,0
6,5,30,0.833,0.367,30,5,0
3,550,1650,183.33,0.329,619,20,0
28,32,896,1.143,0.481,665,58,1
10,2,20,0.2,0.55,12,1,0
178,140,24920,0.787,0.574,16177,664,1
132,547,72204,4.144,0.37,34874,1292,1
163,161,26243,0.988,0.523,23547,1634,1
1,10,10,10.0,0.9,10,1,0
2,50,100,25.0,0.46,51,3,0
186,469,87234,2.522,0.378,46133,1481,1
55,48,2640,0.873,0.142,960,88,0
1,29,29,29.0,0.586,29,8,0
168,135,22680,0.804,0.82,20513,296,1
1,124,124,124.0,0.444,124,7,0
178,140,24920,0.787,0.574,16177,664,1
1,186,186,186.0,0.828,186,17,0
2,415,830,207.5,0.505,480,25,0
168,145,24360,0.863,0.798,23457,1488,1
29,32,928,1.103,0.432,639,64,1
11,427,4697,38.818,0.566,2676,14,0
168,145,24360,0.863,0.798,23457,1488,1
95,93,8835,0.979,0.675,7968,1644,1
6,142,852,23.667,0.115,147,15,0
1,13,13,13.0,0.692,13,2,0
28,31,868,1.107,0.492,647,57,1
1,45,45,45.0,0.244,45,8,0
2,69,138,34.5,0.623,125,8,0
1,69,69,69.0,0.841,69,7,0
83,149,12367,1.795,0.388,5838,167,1
153,158,24174,1.033,0.587,15491,302,1
168,135,22680,0.804,0.82,20513,296,1
174,471,81954,2.707,0.339,35499,1756,1
311,463,143993,1.489,0.088,23092,3212,0
29,32,928,1.103,0.476,668,61,1
31,105,3255,3.387,0.242,1485,161,0
178,140,24920,0.787,0.574,16177,664,1
163,161,26243,0.988,0.523,23547,1634,1
1,115,115,115.0,0.2,115,5,0
28,32,896,1.143,0.488,666,62,1
166,472,78352,2.843,0.359,42821,1641,1
6,6,36,1.0,0.194,15,2,0
63,79,4977,1.254,0.338,1718,9,1
95,93,8835,0.979,0.675,7968,1644,1
2,157,314,78.5,0.506,173,6,0
1,10,10,10.0,1.0,10,1,0
1,11,11,11.0,0.909,11,1,0
29,32,928,1.103,0.476,668,61,1
28,32,896,1.143,0.481,665,58,1
168,145,24360,0.863,0.798,23457,1488,1
28,32,896,1.143,0.481,665,58,1
163,161,26243,0.988,0.523,23547,1634,1
1,70,70,70.0,0.943,70,3,0
153,158,24174,1.033,0.587,15491,302,1
30,61,1830,2.033,0.157,884,153,0
178,140,24920,0.787,0.574,16177,664,1
2,14,28,7.0,0.464,15,1,0
168,135,22680,0.804,0.82,20513,296,1
1,28,28,28.0,0.964,28,1,0
4,11,44,2.75,0.159,41,4,0
187,137,25619,0.733,0.899,25400,786,1
1,81,81,81.0,0.901,81,3,0
166,472,78352,2.843,0.359,42821,1641,1
29,32,928,1.103,0.476,668,61,1
174,471,81954,2.707,0.339,35499,1756,1
1,15,15,15.0,0.867,15,1,0
1,52,52,52.0,0.538,52,2,0
95,93,8835,0.979,0.675,7968,1644,1
1,279,279,279.0,0.964,279,7,0
28,31,868,1.107,0.492,647,57,1
83,149,12367,1.795,0.388,5838,167,1
45,79,3555,1.756,0.087,693,64,0
29,32,928,1.103,0.476,668,61,1
28,31,868,1.107,0.492,647,57,1
28,31,868,1.107,0.492,647,57,1
7,13,91,1.857,0.154,44,7,0
52,461,23972,8.865,0.192,5938,400,0
3,59,177,19.667,0.475,84,1,0
29,32,928,1.103,0.476,668,61,1
83,326,27058,3.928,0.286,18149,1025,0
168,145,24360,0.863,0.798,23457,1488,1
31,105,3255,3.387,0.242,1485,161,0
16,29,464,1.813,0.144,230,26,0
31,105,3255,3.387,0.242,1485,161,0
6,12,72,2.0,0.139,37,7,0
132,547,72204,4.144,0.37,34874,1292,1
163,161,26243,0.988,0.523,23547,1634,1
174,471,81954,2.707,0.339,35499,1756,1
28,32,896,1.143,0.488,666,62,1
1,26,26,26.0,1.0,26,1,0
18,342,6156,19.0,0.847,5522,120,0
168,135,22680,0.804,0.82,20513,296,1
187,137,25619,0.733,0.899,25400,786,1
2,199,398,99.5,0.485,202,6,0
132,547,72204,4.144,0.37,34874,1292,1
4,7,28,1.75,0.286,28,4,0
29,32,928,1.103,0.476,668,61,1
6,5,30,0.833,0.233,19,4,0
32,106,3392,3.313,0.198,1341,147,0
1,41,41,41.0,0.78,41,7,0
37,72,2664,1.946,0.12,685,42,0
2,22,44,11.0,0.705,38,2,0
28,31,868,1.107,0.492,647,57,1
28,31,868,1.107,0.508,666,59,1
1,13,13,13.0,0.692,13,2,0
29,32,928,1.103,0.476,668,61,1
39,70,2730,1.795,0.09,697,35,0
174,471,81954,2.707,0.339,35499,1756,1
21,4,84,0.19,0.31,54,7,0
187,137,25619,0.733,0.899,25400,786,1
28,31,868,1.107,0.492,647,57,1
16,30,480,1.875,0.133,226,28,0
1,12,12,12.0,0.667,12,2,0
7,1,7,0.143,1.0,7,1,0
95,93,8835,0.979,0.675,7968,1644,1
1,32,32,32.0,0.469,32,8,0
3,106,318,35.333,0.258,108,13,0
168,135,22680,0.804,0.82,20513,296,1
1,257,257,257.0,1.0,257,1,0
1,42,42,42.0,0.31,42,5,0
2,18,36,9.0,0.806,30,1,0
28,32,896,1.143,0.481,665,58,1
53,48,2544,0.906,0.157,685,51,0
178,140,24920,0.787,0.574,16177,664,1
5,280,1400,56.0,0.78,1100,7,0
6,13,78,2.167,0.103,35,2,0
163,161,26243,0.988,0.523,23547,1634,1
7,46,322,6.571,0.177,98,7,0
1,206,206,206.0,0.99,206,1,0
2,415,830,207.5,0.505,480,25,0
1,10,10,10.0,1.0,10,1,0
1,206,206,206.0,0.99,206,1,0
1,78,78,78.0,0.949,78,3,0
1,70,70,70.0,0.943,70,3,0
28,32,896,1.143,0.481,665,58,1
1,537,537,537.0,1.0,537,1,0
2,32,64,16.0,0.516,34,1,0
1,29,29,29.0,0.586,29,8,0
83,326,27058,3.928,0.286,18149,1025,0
1,77,77,77.0,0.403,77,6,0
1,14,14,14.0,0.857,14,1,0
2,14,28,7.0,0.464,15,1,0
153,158,24174,1.033,0.587,15491,302,1
28,31,868,1.107,0.492,647,57,1
3,537,1611,179.0,0.345,652,25,0
1,47,47,47.0,0.532,47,1,0
1,14,14,14.0,1.0,14,1,0
29,32,928,1.103,0.476,668,61,1
5,9,45,1.8,0.178,24,5,0
29,32,928,1.103,0.432,639,64,1
28,31,868,1.107,0.508,666,59,1
29,32,928,1.103,0.432,639,64,1
2,538,1076,269.0,0.519,736,16,0
1,84,84,84.0,0.917,84,4,0
7,15,105,2.143,0.114,31,5,0
39,70,2730,1.795,0.09,697,35,0
29,32,928,1.103,0.476,668,61,1
1,29,29,29.0,0.931,29,2,0
1,41,41,41.0,0.927,41,3,0
1,14,14,14.0,1.0,14,1,0
153,158,24174,1.033,0.587,15491,302,1
14,19,266,1.357,0.128,144,12,0
63,79,4977,1.254,0.338,1718,9,1
2,535,1070,267.5,0.564,657,15,0
95,93,8835,0.979,0.675,7968,1644,1
28,32,896,1.143,0.488,666,62,1
22,22,484,1.0,0.107,229,29,0
6,5,30,0.833,0.233,19,4,0
153,158,24174,1.033,0.587,15491,302,1
95,93,8835,0.979,0.675,7968,1644,1
28,31,868,1.107,0.508,666,59,1
174,471,81954,2.707,0.339,35499,1756,1
163,161,26243,0.988,0.523,23547,1634,1
153,158,24174,1.033,0.587,15491,302,1
13,8,104,0.615,0.154,80,15,0
83,149,12367,1.795,0.388,5838,167,1
14,19,266,1.357,0.128,144,12,0
12,278,3336,23.167,0.11,479,23,0
49,79,3871,1.612,0.084,694,44,0
163,161,26243,0.988,0.523,23547,1634,1
153,158,24174,1.033,0.587,15491,302,1
16,29,464,1.813,0.144,230,26,0
166,472,78352,2.843,0.359,42821,1641,1
187,137,25619,0.733,0.899,25400,786,1
14,19,266,1.357,0.128,144,12,0
1,8,8,8.0,1.0,8,1,0
28,31,868,1.107,0.508,666,59,1
174,471,81954,2.707,0.339,35499,1756,1
178,140,24920,0.787,0.574,16177,664,1
17,342,5814,20.118,0.916,5790,176,0
1,14,14,14.0,0.929,14,1,0
65,50,3250,0.769,0.454,1582,6,1
28,32,896,1.143,0.488,666,62,1
12,146,1752,12.167,0.091,225,6,0
6,39,234,6.5,0.192,46,1,0
166,472,78352,2.843,0.359,42821,1641,1
6,13,78,2.167,0.103,35,2,0
2,537,1074,268.5,0.556,704,24,0
28,330,9240,11.786,0.057,614,17,0
6,5,30,0.833,0.367,30,5,0
2,99,198,49.5,0.253,122,11,0
1,17,17,17.0,0.824,17,3,0
168,145,24360,0.863,0.798,23457,1488,1
163,161,26243,0.988,0.523,23547,1634,1
168,135,22680,0.804,0.82,20513,296,1
174,471,81954,2.707,0.339,35499,1756,1
132,547,72204,4.144,0.37,34874,1292,1
4,524,2096,131.0,0.542,1264,28,0
95,93,8835,0.979,0.675,7968,1644,1
168,135,22680,0.804,0.82,20513,296,1
1,15,15,15.0,0.867,15,2,0
2,14,28,7.0,0.464,15,1,0
186,469,87234,2.522,0.378,46133,1481,1
49,79,3871,1.612,0.084,694,44,0
1,23,23,23.0,0.348,23,5,0
28,31,868,1.107,0.508,666,59,1
8,9,72,1.125,0.125,23,2,0
25,9,225,0.36,0.187,98,17,0
95,93,8835,0.979,0.675,7968,1644,1
1,186,186,186.0,0.828,186,17,0
83,326,27058,3.928,0.286,18149,1025,0
2,116,232,58.0,0.616,186,8,0
95,93,8835,0.979,0.675,7968,1644,1
168,145,24360,0.863,0.798,23457,1488,1
2,537,1074,268.5,0.51,574,11,0
166,472,78352,2.843,0.359,42821,1641,1
29,32,928,1.103,0.432,639,64,1
187,137,25619,0.733,0.899,25400,786,1
163,161,26243,0.988,0.523,23547,1634,1
28,32,896,1.143,0.481,665,58,1
1,39,39,39.0,0.308,39,7,0
178,140,24920,0.787,0.574,16177,664,1
163,161,26243,0.988,0.523,23547,1634,1
132,547,72204,4.144,0.37,34874,1292,1
166,472,78352,2.843,0.359,42821,1641,1
6,6,36,1.0,0.194,15,2,0
4,7,28,1.75,0.286,28,4,0
4,9,36,2.25,0.611,22,1,0
187,137,25619,0.733,0.899,25400,786,1
168,145,24360,0.863,0.798,23457,1488,1
1,278,278,278.0,0.946,278,9,0
83,149,12367,1.795,0.388,5838,167,1
132,547,72204,4.144,0.37,34874,1292,1
