Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,class
8,38,304.0,4.75,0.128,0.444,1.86,39,135,21,0
12,146,1752.0,12.167,0.091,0.128,26.67,160,225,6,1
29,61,1769.0,2.103,0.121,0.431,1.78,214,762,120,1
1,29,29.0,29.0,0.931,1.0,13.5,27,29,2,1
29,61,1769.0,2.103,0.121,0.431,1.78,214,762,120,1
25,300,7500.0,12.0,0.065,0.071,40.33,484,531,12,1
1,172,172.0,172.0,0.465,1.0,1.04,80,172,77,1
10,249,2490.0,24.9,0.462,0.842,3.53,1151,2097,326,0
98,3,294.0,0.031,0.48,0.486,141.0,141,143,1,1
8,135,1080.0,16.875,0.077,0.294,1.54,83,317,54,0
2,538,1076.0,269.0,0.518,0.596,29.32,557,641,19,1
1,75,75.0,75.0,0.92,1.0,11.5,69,75,6,1
9,32,288.0,3.556,0.333,0.861,1.68,96,248,57,0
9,82,738.0,9.111,0.247,0.935,2.09,182,690,87,0
13,409,5317.0,31.462,0.312,0.602,3.03,1657,3200,547,0
8,75,600.0,9.375,0.423,0.87,3.02,254,522,84,0
11,52,572.0,4.727,0.28,0.605,2.05,160,346,78,0
5,46,230.0,9.2,0.174,0.804,1.43,40,185,28,0
11,22,242.0,2.0,0.603,0.81,8.59,146,196,17,0
2,325,650.0,162.5,0.485,0.537,28.64,315,349,11,1
9,172,1548.0,19.111,0.171,0.731,1.31,265,1131,202,0
10,262,2620.0,26.2,0.274,0.757,1.8,719,1984,399,0
1,46,46.0,46.0,0.239,1.0,1.38,11,46,8,1
6,7,42.0,1.167,0.524,1.0,2.0,22,42,11,0
76,1,76.0,0.013,1.0,1.0,76.0,76,76,1,1
8,25,200.0,3.125,0.405,0.755,1.98,81,151,41,0
9,4,36.0,0.444,0.25,0.75,9.0,9,27,1,1
93,4,372.0,0.043,0.419,0.565,2.89,156,210,54,1
1,17,17.0,17.0,1.0,1.0,17.0,17,17,1,1
9,23,207.0,2.556,0.246,0.57,1.82,51,118,28,0
10,553,5530.0,55.3,0.797,0.884,21.3,4409,4890,207,1
81,49,3969.0,0.605,0.113,0.398,2.26,449,1580,199,1
9,91,819.0,10.111,0.302,0.956,1.98,247,783,125,0
27,1,27.0,0.037,1.0,1.0,27.0,27,27,1,1
10,1,10.0,0.1,0.9,1.0,9.0,9,10,1,1
11,271,2981.0,24.636,0.278,0.728,1.99,829,2171,417,0
31,1,31.0,0.032,1.0,1.0,31.0,31,31,1,1
7,125,875.0,17.857,0.27,0.858,1.4,236,751,168,0
7,11,77.0,1.571,0.364,0.896,1.47,28,69,19,0
1,159,159.0,159.0,0.994,1.0,158.0,158,159,1,1
6,7,42.0,1.167,0.262,0.929,1.38,11,39,8,0
9,76,684.0,8.444,0.38,0.95,2.2,260,650,118,0
11,344,3784.0,31.273,0.446,0.712,4.71,1686,2694,358,0
6,58,348.0,9.667,0.276,0.744,1.17,96,259,82,0
9,12,108.0,1.333,0.426,1.0,1.64,46,108,28,0
8,75,600.0,9.375,0.423,0.87,3.02,254,522,84,0
7,43,301.0,6.143,0.319,0.801,1.41,96,241,68,0
8,70,560.0,8.75,0.371,0.911,1.7,208,510,122,0
11,262,2882.0,23.818,0.251,0.677,1.85,722,1951,391,0
7,9,63.0,1.286,0.143,0.238,9.0,9,15,1,1
3,550,1650.0,183.33,0.329,0.375,27.15,543,619,20,1
7,110,770.0,15.714,0.174,0.447,1.25,134,344,107,0
28,82,2296.0,2.929,0.271,0.39,8.9,623,895,70,0
9,44,396.0,4.889,0.46,0.937,2.84,182,371,64,0
5,2,10.0,0.4,0.7,0.7,7.0,7,7,1,1
14,273,3822.0,19.5,0.373,0.701,4.59,1424,2681,310,0
10,19,190.0,1.9,0.6,0.858,7.6,114,163,15,0
2,537,1074.0,268.5,0.538,0.594,32.11,578,638,18,1
10,197,1970.0,19.7,0.144,0.589,1.25,284,1160,228,0
5,4,20.0,0.8,0.45,0.65,4.5,9,13,2,1
10,21,210.0,2.1,0.362,0.819,2.11,76,172,36,0
12,90,1080.0,7.5,0.183,0.716,1.92,198,773,103,0
7,9,63.0,1.286,0.302,0.905,1.46,19,57,13,0
37,72,2664.0,1.946,0.12,0.257,7.64,321,685,42,1
9,213,1917.0,23.667,0.203,0.784,1.41,390,1503,276,0
8,13,104.0,1.625,0.471,1.0,1.81,49,104,27,0
14,19,266.0,1.357,0.113,0.504,30.0,30,134,1,1
9,490,4410.0,54.444,0.067,0.323,1.4,297,1425,212,0
9,510,4590.0,56.667,0.137,0.636,1.24,629,2918,506,0
4,25,100.0,6.25,0.28,0.71,1.33,28,71,21,0
2,535,1070.0,267.5,0.648,0.92,11.75,693,984,59,1
118,105,12390.0,0.89,0.052,0.105,3.33,642,1296,193,1
10,509,5090.0,50.9,0.097,0.388,1.23,492,1974,401,0
7,14,98.0,2.0,0.408,0.939,2.5,40,92,16,0
5,34,170.0,6.8,0.141,0.594,1.26,24,101,19,0
1,12,12.0,12.0,0.667,1.0,4.0,8,12,2,1
6,8,48.0,1.333,0.458,0.729,2.44,22,35,9,0
3,286,858.0,95.333,0.406,0.427,87.0,348,366,4,1
38,410,15580.0,10.789,0.279,0.696,2.39,4341,10849,1815,0
7,10,70.0,1.429,0.286,0.886,1.82,20,62,11,0
2,446,892.0,223.0,0.439,0.603,17.82,392,538,22,1
9,75,675.0,8.333,0.373,0.913,2.23,252,616,113,0
8,21,168.0,2.625,0.339,0.673,1.97,57,113,29,0
13,386,5018.0,29.692,0.286,0.658,2.19,1437,3301,657,0
1,14,14.0,14.0,0.5,1.0,2.33,7,14,3,1
2,538,1076.0,269.0,0.518,0.596,29.32,557,641,19,1
24,510,12240.0,21.25,0.846,0.927,38.65,10359,11341,268,1
10,10,100.0,1.0,0.34,0.93,1.89,34,93,18,0
6,4,24.0,0.667,0.5,0.75,6.0,12,18,2,0
8,100,800.0,12.5,0.245,0.863,1.58,196,690,124,0
9,240,2160.0,26.667,0.259,0.714,1.66,559,1542,336,0
3,537,1611.0,179.0,0.353,0.364,71.13,569,587,8,1
1,14,14.0,14.0,0.571,1.0,2.0,8,14,4,1
8,319,2552.0,39.875,0.174,0.692,1.26,445,1765,353,0
1,87,87.0,87.0,0.92,1.0,16.0,80,87,5,1
9,32,288.0,3.556,0.271,0.594,2.23,78,171,35,0
5,26,130.0,5.2,0.523,0.985,1.89,68,128,36,0
1,199,199.0,199.0,0.945,1.0,37.6,188,199,5,1
186,469,87234.0,2.522,0.378,0.529,22.29,33017,46133,1481,1
7,51,357.0,7.286,0.207,0.969,1.14,74,346,65,0
9,124,1116.0,13.778,0.367,0.705,2.85,410,787,144,0
13,13,169.0,1.0,0.124,0.45,3.5,21,76,6,1
44,3,132.0,0.068,0.598,0.841,2.47,79,111,32,1
1,11,11.0,11.0,0.909,1.0,10.0,10,11,1,1
20,18,360.0,0.9,0.489,0.583,19.56,176,210,9,0
1,44,44.0,44.0,0.727,1.0,5.33,32,44,6,1
10,63,630.0,6.3,0.251,0.898,1.84,158,566,86,0
7,25,175.0,3.571,0.354,0.606,2.14,62,106,29,0
2,537,1074.0,268.5,0.51,0.534,49.82,548,574,11,1
5,43,215.0,8.6,0.33,0.819,1.16,71,176,61,0
14,125,1750.0,8.929,0.289,0.734,2.21,505,1285,228,0
7,6,42.0,0.857,0.357,1.0,1.67,15,42,9,0
2,538,1076.0,269.0,0.637,0.703,29.78,685,756,23,1
3,304,912.0,101.33,0.555,0.686,42.17,506,626,12,1
7,4,28.0,0.571,0.714,0.929,10.0,20,26,2,0
5,9,45.0,1.8,0.178,0.533,1.6,8,24,5,1
7,157,1099.0,22.429,0.439,0.874,2.77,482,961,174,0
13,5,65.0,0.385,0.323,0.554,5.25,21,36,4,1
2,22,44.0,11.0,0.705,0.864,15.5,31,38,2,1
24,170,4080.0,7.083,0.924,0.997,15.9,3768,4068,237,0
28,31,868.0,1.107,0.508,0.767,7.47,441,666,59,1
13,350,4550.0,26.923,0.381,0.589,4.49,1732,2682,386,0
2,22,44.0,11.0,0.705,0.864,15.5,31,38,2,1
1,32,32.0,32.0,0.719,1.0,5.75,23,32,4,1
7,20,140.0,2.857,0.35,0.757,1.58,49,106,31,0
12,67,804.0,5.583,0.403,0.704,3.68,324,566,88,0
178,140,24920.0,0.787,0.574,0.649,21.52,14292,16177,664,1
1,114,114.0,114.0,0.939,1.0,21.4,107,114,5,1
10,79,790.0,7.9,0.244,0.742,1.79,193,586,108,0
55,48,2640.0,0.873,0.142,0.364,4.26,375,960,88,1
17,110,1870.0,6.471,0.175,0.603,1.46,328,1128,224,0
9,76,684.0,8.444,0.436,0.955,2.37,298,653,126,0
6,14,84.0,2.333,0.571,1.0,2.29,48,84,21,0
1,45,45.0,45.0,0.244,1.0,1.38,11,45,8,1
7,63,441.0,9.0,0.317,0.991,1.71,140,437,82,0
5,7,35.0,1.4,0.2,0.314,7.0,7,11,1,1
6,7,42.0,1.167,0.262,0.786,1.83,11,33,6,0
1,61,61.0,61.0,1.0,1.0,61.0,61,61,1,1
1,86,86.0,86.0,0.93,1.0,40.0,80,86,2,1
2,535,1070.0,267.5,0.564,0.614,40.2,603,657,15,1
10,19,190.0,1.9,0.332,0.695,3.71,63,132,17,0
153,158,24174.0,1.033,0.587,0.641,46.95,14180,15491,302,1
8,40,320.0,5.0,0.463,0.969,2.47,148,310,60,0
2,475,950.0,237.5,0.504,0.544,95.8,479,517,5,1
1,39,39.0,39.0,0.897,1.0,8.75,35,39,4,1
7,14,98.0,2.0,0.296,0.786,2.9,29,77,10,0
1,22,22.0,22.0,0.818,1.0,4.5,18,22,4,1
1,63,63.0,63.0,0.587,1.0,2.31,37,63,16,1
6,13,78.0,2.167,0.372,0.987,1.71,29,77,17,0
11,9,99.0,0.818,0.475,0.636,15.67,47,63,3,0
8,16,128.0,2.0,0.43,1.0,2.04,55,128,27,0
9,64,576.0,7.111,0.491,0.984,2.57,283,567,110,0
6,33,198.0,5.5,0.247,0.813,1.2,49,161,41,0
2,537,1074.0,268.5,0.51,0.534,49.82,548,574,11,1
11,427,4697.0,38.818,0.566,0.57,189.79,2657,2676,14,1
8,19,152.0,2.375,0.454,1.0,2.16,69,152,32,0
7,25,175.0,3.571,0.331,0.891,1.41,58,156,41,0
9,511,4599.0,56.778,0.225,0.798,1.38,1035,3670,751,0
9,37,333.0,4.111,0.526,0.898,3.18,175,299,55,0
31,1,31.0,0.032,1.0,1.0,31.0,31,31,1,1
9,47,423.0,5.222,0.371,0.865,2.75,157,366,57,0
13,350,4550.0,26.923,0.381,0.589,4.49,1732,2682,386,0
7,46,322.0,6.571,0.304,0.745,1.53,98,240,64,0
7,22,154.0,3.143,0.247,0.883,1.19,38,136,32,0
9,42,378.0,4.667,0.384,0.817,2.38,145,309,61,0
1,7,7.0,7.0,1.0,1.0,7.0,7,7,1,1
5,2,10.0,0.4,0.8,0.8,8.0,8,8,1,1
11,292,3212.0,26.545,0.341,0.761,2.95,1096,2445,371,0
2,6,12.0,3.0,0.667,1.0,4.0,8,12,2,1
8,8,64.0,1.0,0.406,0.953,2.17,26,61,12,0
158,167,26386.0,1.057,0.16,0.276,8.24,4213,7279,511,1
1,78,78.0,78.0,0.949,1.0,24.67,74,78,3,1
1,114,114.0,114.0,0.939,1.0,21.4,107,114,5,1
1,115,115.0,115.0,0.2,1.0,4.6,23,115,5,1
153,442,67626.0,2.889,0.114,0.215,6.27,7689,14538,1227,1
9,82,738.0,9.111,0.32,0.947,2.13,236,699,111,0
8,48,384.0,6.0,0.354,0.865,1.89,136,332,72,0
2,415,830.0,207.5,0.505,0.578,16.76,419,480,25,1
1,13,13.0,13.0,0.692,1.0,3.0,9,13,3,1
1,32,32.0,32.0,0.719,1.0,5.75,23,32,4,1
53,1,53.0,0.019,1.0,1.0,53.0,53,53,1,1
3,4,12.0,1.333,0.917,0.917,11.0,11,11,1,0
9,81,729.0,9.0,0.388,0.897,2.38,283,654,119,0
28,333,9324.0,11.893,0.351,0.65,4.55,3270,6057,718,0
3,304,912.0,101.33,0.555,0.686,42.17,506,626,12,1
54,1,54.0,0.019,1.0,1.0,54.0,54,54,1,1
8,117,936.0,14.625,0.201,0.698,1.45,188,653,130,0
2,14,28.0,7.0,0.464,0.536,13.0,13,15,1,1
7,4,28.0,0.571,0.714,0.929,10.0,20,26,2,0
3,14,42.0,4.667,0.381,0.881,3.2,16,37,5,0
1,104,104.0,104.0,0.971,1.0,50.5,101,104,2,1
9,37,333.0,4.111,0.39,0.811,2.03,130,270,64,0
2,20,40.0,10.0,0.725,0.875,29.0,29,35,1,1
2,64,128.0,32.0,0.531,0.586,17.0,68,75,4,1
7,156,1092.0,22.286,0.473,0.991,2.37,517,1082,218,0
7,40,280.0,5.714,0.229,0.686,1.28,64,192,50,0
1,20,20.0,20.0,0.55,1.0,1.38,11,20,8,1
17,342,5814.0,20.118,0.916,0.996,30.27,5328,5790,176,1
10,40,400.0,4.0,0.333,0.783,1.82,133,313,73,0
4,194,776.0,48.5,0.263,0.273,34.0,204,212,6,1
