Attr0,Attr1,Attr2,Attr3,Attr4,Attr6,Attr7,Attr9,Attr10,Attr11,Attr12,class
0,6,1,-1.885,2.214,0.147,-0.148,0.252,-0.098,-0.874,0.245,0
0,2,0,-3.545,1.926,1.732,-1.109,0.021,0.82,0.731,-0.639,0
1,13,1,-3.483,2.628,0.838,0.2,-0.162,-0.547,-0.791,1.018,0
0,7,1,-4.475,4.064,-0.678,0.599,0.224,0.103,-1.336,-0.192,0
0,0,0,-3.665,0.337,1.791,-0.194,-0.359,0.57,-0.676,-0.841,1
0,7,1,-5.04,5.074,-0.264,0.279,0.003,-0.609,-0.177,0.422,0
0,7,1,-5.124,2.319,1.804,-0.277,-0.746,0.221,0.06,0.46,1
0,3,0,-3.246,0.712,0.82,-1.352,0.197,0.857,-0.056,0.485,0
0,7,1,-5.131,2.192,1.936,-0.591,-0.677,0.15,0.178,0.38,1
0,3,0,-1.507,-0.457,0.256,-0.081,0.556,1.291,0.121,-0.456,1
1,14,1,-2.627,2.089,0.937,-0.615,-0.311,-0.203,0.038,0.933,0
0,2,0,-1.384,-0.321,0.937,-0.289,0.463,1.096,-1.436,-0.701,1
0,7,1,-2.813,2.327,-0.184,-0.755,1.202,-0.558,-0.669,0.054,0
0,2,0,-1.384,-0.321,0.937,-0.289,0.463,1.096,-1.436,-0.701,1
1,8,0,-1.149,-0.904,0.739,-0.06,0.864,1.196,-0.3,-0.467,1
0,2,0,-2.607,2.406,1.586,-1.477,-0.527,1.551,0.033,0.522,0
0,5,1,-3.347,-0.159,0.922,0.973,0.929,-1.211,-1.268,0.278,1
0,7,1,-4.393,2.137,1.397,0.293,-0.966,-0.461,-0.277,1.184,0
1,9,0,-3.73,1.872,0.555,-0.427,0.196,0.65,-0.744,-0.372,0
1,9,0,-3.055,0.088,1.562,0.186,0.054,0.639,-1.121,-0.757,1
0,3,0,-1.548,-0.4,0.244,-0.101,0.551,1.248,0.129,-0.456,1
1,12,1,-2.883,3.576,-0.562,-0.162,0.764,-0.03,-1.023,0.346,0
1,10,0,-2.316,2.007,0.181,0.206,0.037,0.814,-0.332,-0.753,0
0,7,1,-5.143,2.051,1.898,-0.555,-0.842,0.011,0.461,0.193,1
1,14,1,-4.047,0.913,1.479,0.258,-1.117,-0.423,-0.336,0.982,1
1,14,1,-3.5,0.068,1.876,0.363,-0.982,-0.671,-1.006,1.101,1
