Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,class
0.3783878,0.7143636,0.33804518,0.153881,0.5,0.0,0.5457468,0.17733781,1.0
0.40066817,0.42781535,0.48632732,0.19449694,0.5,0.0,0.46100548,0.38301036,1.0
0.47878414,0.51139885,0.4957291,0.4773878,0.5,0.0,0.4555619,0.3235491,1.0
0.39732328,0.31079972,0.5500618,0.3612329,0.5,0.0,0.66343105,0.36682987,1.0
0.36472633,0.4798721,0.50457114,0.004030493,0.5,0.0,0.6439751,0.26751924,1.0
0.5635871,0.56072795,0.55727607,0.16743687,0.5,0.0,0.45917335,0.22,1.0
0.43278915,0.47135022,0.6027009,0.13229142,0.5,0.0,0.5024199,0.2711461,1.0
0.6220748,0.7808004,0.5572178,0.19208634,0.5,0.0,0.5014835,0.22,1.0
0.500795,0.48140374,0.53981197,0.16184397,0.5,0.0,0.5078847,0.22,1.0
0.5265796,0.47092426,0.58045226,0.20962283,0.5,0.0,0.5222545,0.39316967,1.0
0.3782136,0.43367314,0.35469627,0.16570294,0.5,0.0,0.6562192,0.22,1.0
0.49134907,0.449799,0.49101752,0.15945908,0.5,0.0,0.661113,0.5558304,1.0
0.33660153,0.5141359,0.5048476,0.017670166,0.5,0.0,0.3951252,0.36355728,1.0
0.4828409,0.52932227,0.46236238,0.12355219,0.5,0.0,0.5089124,0.28741398,1.0
0.49474236,0.5489396,0.50608164,0.21562268,0.5,0.0,0.51,0.23758085,1.0
0.54178286,0.5188014,0.60303754,0.31945485,0.5,0.0,0.5232383,0.49439028,1.0
0.47453243,0.45326656,0.6228726,0.760926,0.5,0.0,0.64604104,0.46027836,1.0
0.40939403,0.55736226,0.54228544,0.36646166,0.5,0.0,0.5326235,0.16416337,1.0
0.55155104,0.37418783,0.51277286,0.19788824,0.5,0.0,0.46270397,0.27292207,1.0
0.60713655,0.7232012,0.49031016,0.15876529,0.5,0.0,0.49466679,0.29512316,1.0
0.4458657,0.31868893,0.6124865,0.1730037,0.5,0.0,0.5366012,0.22,1.0
0.55939996,0.4828715,0.5477085,0.2515736,0.5,0.0,0.51,0.34357813,1.0
0.57394886,0.4451128,0.5558596,0.23782682,0.5,0.0,0.54039204,0.24411194,1.0
0.48767856,0.44097131,0.54214877,0.28231046,0.5,0.0,0.51,0.22,1.0
0.37739742,0.21451187,0.54294,0.7148584,0.5,0.0,0.4957851,0.34059736,1.0
0.32565886,0.41625357,0.5641697,0.16694412,0.5,0.0,0.48738375,0.43218535,1.0
0.35957003,0.27440226,0.5471555,0.13968803,0.5,0.0,0.49288812,0.514446,1.0
0.5055306,0.6489117,0.3473283,0.176476,0.5,0.0,0.46863565,0.19818112,1.0
0.34314027,0.45969617,0.56398034,0.16919616,0.5,0.0,0.44722173,0.36613736,1.0
0.5173309,0.37662977,0.53625387,0.2569768,0.5,0.0,0.51322514,0.38178518,1.0
0.48657668,0.49154973,0.57458997,0.19914961,0.5,0.0,0.290055,0.780697,1.0
0.5371138,0.7157759,0.54445887,0.30261773,0.5,0.0,0.51542693,0.33128238,1.0
0.57776743,0.5492343,0.4971525,0.10036407,0.5,0.0,0.5114688,0.86597544,1.0
0.41082215,0.29329762,0.55231553,0.058947593,0.5,0.0,0.46745527,0.315507,1.0
0.48597145,0.38098928,0.5415829,0.25034812,0.5,0.0,0.51,0.2648703,1.0
0.38536257,0.470278,0.53991216,0.22888233,0.5,0.0,0.5293221,0.17068243,1.0
0.2855216,0.34405681,0.53862655,0.28974423,0.5,0.0,0.50923574,0.90479976,1.0
0.5432791,0.5435066,0.5743251,0.24448445,0.5,0.0,0.52962506,0.2228038,1.0
0.48385438,0.38547492,0.41563764,0.29449922,0.5,0.0,0.25255564,0.40397054,1.0
0.48731756,0.52393883,0.5315023,0.20079577,0.5,0.0,0.4878606,0.23428221,1.0
0.406954,0.46142372,0.35854438,0.26789594,0.5,0.0,0.45415962,0.21680078,1.0
