Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,class
0.52,0.55,0.51,0.78,0.5,0,0.48,0.25,1
0.41,0.42,0.47,0.12,0.5,0,0.45,0.3,1
0.35,0.46,0.53,0.14,0.5,0,0.51,0.7,1
0.3,0.35,0.58,0.08,0.5,0,0.5,0.5,1
0.27,0.31,0.45,0.16,0.5,0,0.4,0.35,1
0.5,0.53,0.5,0.82,0.5,0,0.49,0.28,1
0.39,0.4,0.46,0.11,0.5,0,0.44,0.32,1
0.34,0.45,0.52,0.13,0.5,0,0.52,0.68,1
0.29,0.34,0.56,0.07,0.5,0,0.49,0.48,1
0.26,0.3,0.44,0.15,0.5,0,0.39,0.37,1
0.48,0.51,0.49,0.75,0.5,0,0.47,0.23,1
0.38,0.39,0.45,0.1,0.5,0,0.43,0.29,1
0.32,0.44,0.51,0.12,0.5,0,0.5,0.65,1
0.28,0.33,0.54,0.06,0.5,0,0.48,0.45,1
0.24,0.29,0.43,0.14,0.5,0,0.38,0.4,1
0.55,0.57,0.52,0.88,0.5,0,0.5,0.2,1
0.43,0.43,0.48,0.14,0.5,0,0.47,0.26,1
0.36,0.47,0.54,0.15,0.5,0,0.54,0.72,1
0.31,0.36,0.59,0.08,0.5,0,0.51,0.52,1
0.26,0.32,0.47,0.17,0.5,0,0.41,0.34,1
0.53,0.56,0.53,0.84,0.5,0,0.51,0.24,1
0.42,0.41,0.47,0.13,0.5,0,0.46,0.31,1
0.37,0.49,0.56,0.17,0.5,0,0.55,0.78,1
0.32,0.38,0.6,0.1,0.5,0,0.53,0.58,1
0.27,0.34,0.49,0.19,0.5,0,0.43,0.36,1
0.51,0.54,0.54,0.8,0.5,0,0.52,0.26,1
0.4,0.45,0.5,0.16,0.5,0,0.48,0.33,1
0.35,0.5,0.57,0.18,0.5,0,0.56,0.8,1
0.3,0.39,0.62,0.11,0.5,0,0.54,0.6,1
0.25,0.35,0.5,0.2,0.5,0,0.44,0.38,1
