attribute,idx1,val1,idx2,val2,diff
Attr0,0,28.0,1,28.0,0.0
Attr1,0,31.0,1,32.0,1.0
Attr3,0,1.107,1,1.143,0.03600000000000003
Attr4,0,0.492,1,0.481,0.01100000000000001
Attr9,0,57.0,1,58.0,1.0
Attr0,0,28.0,2,29.0,1.0
Attr1,0,31.0,2,31.0,0.0
Attr3,0,1.107,2,1.069,0.038000000000000034
Attr4,0,0.492,2,0.463,0.02899999999999997
Attr8,0,647.0,2,653.0,6.0
Attr9,0,57.0,2,60.0,3.0
Attr0,0,28.0,3,28.0,0.0
Attr1,0,31.0,3,32.0,1.0
Attr3,0,1.107,3,1.143,0.03600000000000003
Attr4,0,0.492,3,0.488,0.0040000000000000036
Attr9,0,57.0,3,62.0,5.0
Attr0,0,28.0,4,28.0,0.0
Attr1,0,31.0,4,32.0,1.0
Attr3,0,1.107,4,1.143,0.03600000000000003
Attr4,0,0.492,4,0.462,0.02999999999999997
Attr8,0,647.0,4,647.0,0.0
Attr9,0,57.0,4,59.0,2.0
Attr0,0,28.0,5,28.0,0.0
Attr1,0,31.0,5,31.0,0.0
Attr2,0,868.0,5,868.0,0.0
Attr3,0,1.107,5,1.107,0.0
Attr4,0,0.492,5,0.508,0.016000000000000014
Attr9,0,57.0,5,59.0,2.0
Attr0,0,28.0,6,29.0,1.0
Attr1,0,31.0,6,32.0,1.0
Attr3,0,1.107,6,1.103,0.0040000000000000036
Attr4,0,0.492,6,0.476,0.016000000000000014
Attr9,0,57.0,6,61.0,4.0
Attr0,0,28.0,7,29.0,1.0
Attr1,0,31.0,7,32.0,1.0
Attr3,0,1.107,7,1.103,0.0040000000000000036
Attr4,0,0.492,7,0.432,0.06
Attr8,0,647.0,7,639.0,8.0
Attr9,0,57.0,7,64.0,7.0
Attr3,0,1.107,8,1.033,0.07400000000000007
Attr4,0,0.492,8,0.587,0.09499999999999997
Attr3,0,1.107,9,1.795,0.688
Attr4,0,0.492,9,0.388,0.10399999999999998
Attr3,0,1.107,10,0.979,0.128
Attr4,0,0.492,10,0.675,0.18300000000000005
Attr3,0,1.107,11,1.118,0.01100000000000012
Attr4,0,0.492,11,0.451,0.04099999999999998
Attr3,0,1.107,12,0.863,0.244
Attr4,0,0.492,12,0.798,0.30600000000000005
Attr3,0,1.107,13,0.733,0.374
Attr4,0,0.492,13,0.899,0.40700000000000003
Attr3,0,1.107,14,4.144,3.037
Attr4,0,0.492,14,0.37,0.122
Attr3,0,1.107,15,2.711,1.6039999999999999
Attr4,0,0.492,15,0.399,0.09299999999999997
Attr3,0,1.107,16,0.804,0.30299999999999994
Attr4,0,0.492,16,0.82,0.32799999999999996
Attr3,0,1.107,17,2.707,1.5999999999999999
Attr4,0,0.492,17,0.339,0.15299999999999997
Attr3,0,1.107,18,1.333,0.22599999999999998
Attr4,0,0.492,18,0.488,0.0040000000000000036
Attr3,0,1.107,19,0.988,0.119
Attr4,0,0.492,19,0.523,0.031000000000000028
Attr3,0,1.107,20,2.522,1.4149999999999998
Attr4,0,0.492,20,0.378,0.11399999999999999
Attr3,0,1.107,21,1.141,0.03400000000000003
Attr4,0,0.492,21,0.403,0.08899999999999997
Attr3,0,1.107,22,1.048,0.05899999999999994
Attr4,0,0.492,22,0.491,0.0010000000000000009
Attr3,0,1.107,23,0.769,0.33799999999999997
Attr4,0,0.492,23,0.454,0.03799999999999998
Attr3,0,1.107,24,1.254,0.14700000000000002
Attr4,0,0.492,24,0.338,0.15399999999999997
Attr3,0,1.107,25,0.787,0.31999999999999995
Attr4,0,0.492,25,0.574,0.08199999999999996
Attr3,0,1.107,26,2.843,1.736
Attr4,0,0.492,26,0.359,0.133
Attr3,0,1.107,27,0.754,0.353
Attr4,0,0.492,27,0.415,0.07700000000000001
Attr0,1,28.0,2,29.0,1.0
Attr1,1,32.0,2,31.0,1.0
Attr2,1,896.0,2,899.0,3.0
Attr3,1,1.143,2,1.069,0.07400000000000007
Attr4,1,0.481,2,0.463,0.01799999999999996
Attr9,1,58.0,2,60.0,2.0
Attr0,1,28.0,3,28.0,0.0
Attr1,1,32.0,3,32.0,0.0
Attr2,1,896.0,3,896.0,0.0
Attr3,1,1.143,3,1.143,0.0
Attr4,1,0.481,3,0.488,0.007000000000000006
Attr8,1,665.0,3,666.0,1.0
Attr9,1,58.0,3,62.0,4.0
Attr0,1,28.0,4,28.0,0.0
Attr1,1,32.0,4,32.0,0.0
Attr2,1,896.0,4,896.0,0.0
Attr3,1,1.143,4,1.143,0.0
Attr4,1,0.481,4,0.462,0.01899999999999996
Attr9,1,58.0,4,59.0,1.0
Attr0,1,28.0,5,28.0,0.0
